Department,Merchant Name,Merchant Location,MCC,MCC Description,Net Amount,Date
Finance,"Amazon Svcs Europe,SAR","AMAZON.CO.UK,  ",5942,Book Stores,128.04,25/08/2015
DCLS,Amazon UK Marketplace,"800-279-6620,  ",5999,Miscellaneous and Specialty Retail Stores,160.11,21/08/2015
DCLS,Amazon UK Marketplace,"800-279-6620,  ",5999,Miscellaneous and Specialty Retail Stores,13.84,28/08/2015
DCLS,Amazon UK Retail,"AMAZON.CO.UK,  ",5969,Direct Marketers - Other,103.29,28/08/2015
Communities,CIEH LIMITED,"LONDON,  ",8699,Membership Organizations-Not Elsewhere Classified,450,14/08/2015
Finance,COMPANYSEARCHESMAD,"0207 6085500,  ",7392,"Management, Consulting and Public Relations Servic",12.54,17/08/2015
DCLS,DISCLOSURE SCOT,"EDINBURGH,  ",9399,Government Services-Not Elsewhere Classified,25,07/08/2015
Finance,HAYLING RUBBER STAMPS,"HAYLING ISLAN,  ",7399,Business Services-Not Elsewhere Classified,40,31/08/2015
DCLS,PAYPAL  NEA,"35314369001,  ",8398,Charitable and Social Service Organizations,360,26/08/2015
DCLS,ST JOHN AMBULANCE,"01142387310,  ",8398,Charitable and Social Service Organizations,348,31/08/2015
Communities,"STK SHUTTERSTOCK, INC.","866-663-3954, NY 10004",7333,"Commercial Photography, Art, Graphics",32.27,21/08/2015
Communities,WWW.GO-DISPLAYS.CO.UK,"PETERBOROUGH,  ",5085,Industrial Supplies Not Elsewhere Classified,282,17/08/2015
DCLS,WWW.SURE-GREEN.COM,"01376 503869,  ",5261,"Lawn and Garden Supply Stores, Nurseries",100.94,26/08/2015
DCLS,WWW.VIKING-DIRECT.CO.U,"GROSSOSTHEIM,  ",5111,"Stationary, Office Supplies, Printing and Writing",53.06,03/08/2015
