Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/04/2013,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"27,708.96",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/04/2013,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"31,733.51",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/04/2013,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"31,875.50",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/04/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/04/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"38,008.85",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/04/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"32,643.12",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/04/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/04/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,CELGENE LIMITED,"34,776.00",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/04/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,CELGENE LIMITED,"26,208.00",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/04/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,CELGENE LIMITED,"34,875.00",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/04/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"50,110.32",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/04/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/04/2013,CLINICAL SERVICE CONTRACT,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"106,187.90",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/04/2013,EQUIPMENT >5K,CAPITAL PROGRAM,IMAGING EQUIPMENT LTD,"27,550.78",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/04/2013,ENGIN AND MAINT EQUIP AND MATS,DIRECTOR OF FACILITIES MANAGEMENT,SEYMOUR & CASTLE LTD,"40,572.44",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,11/04/2013,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"156,585.00",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/04/2013,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"32,890.00",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/04/2013,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"48,978.79",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/04/2013,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"147,046.15",Apr-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/04/2013,EXTERNAL CONTRACTS,DIRECTOR OF SERVICE DELIVERY,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"37,783.25",Apr-13
