Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",170,161.97,321,307.06,976,943.76,548,525.29,93,90.23,0,0,2108,2028.31,18,18,10,10,58,58,2,2,88,88,2196,2116.31,"£6,901,348",£0,"£1,149","£39,997","£1,295,858","£560,637","£8,798,989","£769,154","£17,939","£787,093","£9,586,082",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",831,759.1,553,519.94,742,696.03,177,172.31,9,9,0,0,2312,2156.38,51,51,0,0,35,35,0,0,86,86,2398,2242.38,"£5,305,206","£117,752",£0,"£279,954","£1,052,433","£444,241","£7,199,586","£229,425",£0,"£229,425","£7,429,011",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",84,78.61,131,125.27,243,228.74,90,85.42,3,3,0,0,551,521.04,0,0,0,0,0,0,0,0,0,0,551,521.04,"£1,306,575","£50,378",£0,"£19,792","£250,519","£105,893","£1,733,157",£0,£0,£0,"£1,733,157",
Food and Environment Research Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",154,141.37,135,124.72,212,195.15,76,73.19,4,4,16,16,597,554.43,15,15,3,3,6,6,2,2,26,26,623,580.43,"£1,302,416","£15,864","£9,406","£7,015","£93,742","£244,254","£1,672,698","£58,215","£37,101","£95,316","£1,768,014",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",775,685.81,651,600.39,577,553.34,170,168.4,16,16,0,0,2189,2023.94,48,48,55,55,0,0,0,0,103,103,2292,2126.94,4893866.14,81985.08,11500,26745.5,861007.94,341203.41,"£6,216,308",58677.13,-99058.09,"-£40,381","£6,175,927",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",37,35.54,29,27.96,49,48.09,40,39.7,3,3,0,0,158,154.29,7,5.5,0,0,2,0.4,0,0,9,5.9,167,160.19,"£456,664","£9,508",£0,"£1,059","£93,015","£39,234","£599,480","£35,057",£0,"£35,057","£634,537",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,389,378.7,389,378.7,15,15,0,0,6,6,0,0,21,21,410,399.7,"£1,096,221","£42,245",£0,£130,"£94,793","£119,712","£1,353,101","£36,654",£0,"£36,654","£1,389,755",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",11,10.42,29,27.79,19,18.81,8,8,4,4,0,0,71,69.02,1,1,1,1,0,0,0,0,2,2,73,71.02,"£180,932",£417,£0,£0,"£33,209","£14,866","£229,424","£10,156",£0,"£10,156","£239,580",
