"Reference Number","Decision","Decision Date","Officer Making Decision","Reason for Decision","Alternative Options Considered","Other Background Documents"
"FV/2014/0421/","APPCOND","01/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0476/","APPCOND","01/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0539/","ACCEPTED","06/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0540/","ACCEPTED","06/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0434/    *","REFUSED","12/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0547/","ACCEPTED","12/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0399/","APPCOND","12/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0493/","APPCOND","13/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0558/","ACCEPTED","15/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0505/","APPCOND","19/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0569/","ACCEPTED","19/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0511/","APPCOND","20/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0515/","APPCOND","20/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0503/","APPROVED","21/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0578/","ACCEPTED","21/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0579/","ACCEPTED","21/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0582/","ACCEPTED","21/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0517/","APPROVED","26/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0584/","ACCEPTED","26/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0361/","APPCOND","28/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0596/","APPCOND","29/08/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
