"Spend over £25,000 - Publication template",,,,,,,,
,,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,VAT registration number
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),09/04/2010,Waste Collection,Estates,Metropolitan Borough of Rotherham,133383," 53,993.00 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),01/04/2010,Drugs-April-10,PCT Wide ,Rotherham GP Practice,133582," 49,113.77 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),01/04/2010,Salary Costs J Stewart,Public Health,Metropolitan Borough of Rotherham,133640," 25,093.82 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),01/04/2010,Obesity - Carnegie Club,Public Health,Leisure & Community Partnership Ltd,133669," 70,000.00 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),07/04/2010,Chlamydia Screening,Hospital & Community Services,Doncaster Primary Care Trust,133728," 28,408.20 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),07/04/2010,Chlamidia Screen  Q4 09/10,Hospital & Community Services,Doncaster Primary Care Trust,133729," 111,021.00 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),01/04/2010,Rent,Estates,WM Morrison PLC,133770," 477,331.79 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),01/04/2010,HCHS-Rotherham Hospice,Hospital & Community Services,The Rotherham Hospice Trust,133775," 697,436.00 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),07/04/2010,Mental Capacity Act Contrib,Public Health,Metropolitan Borough of Rotherham,133897," 58,000.00 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),09/04/2010,Health Promotion - CVD Lifestyle,Public Health,Leisure & Community Partnership Ltd,134354," 50,000.00 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),09/04/2010,Healthcare Contract,Hospital & Community Services,The Leeds Teaching Hospitals NHS Trust,134379," 63,812.00 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),09/04/2010,Healthcare Contract,Hospital & Community Services,Sheffield Childrens NHS Foundation Trust,134386," 37,958.00 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),19/04/2010,Healthcare Contract,Hospital & Community Services,Rotherham Crossroads CAS,134966," 87,686.00 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),19/04/2010,Healthcare Contract,Hospital & Community Services,The Sheffield Teaching Hospital NHS Trust,135080,"-123,178.00 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),19/04/2010,Healthcare Contract,Hospital & Community Services,The Sheffield Teaching Hospital NHS Trust,135081,"-339,209.00 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),19/04/2010,Healthcare Contract,Hospital & Community Services,The Sheffield Teaching Hospital NHS Trust,135083," 58,108.00 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),21/04/2010,PCT Wide Rates,Estates,Metropolitan Borough of Rotherham,135464," 489,182.45 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),23/04/2010,Opthalmic,PCT Wide ,"Vision Plus- College St, Rotherham",135606," 65,756.26 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),27/04/2010,Barley - PMS-Quality Achievement,Primary Care PMS ,Dinnington Group Practice,135995," 60,000.00 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),27/04/2010,Drugs ND,PCT Wide ,Rotherham GP Practice,136000," 39,454.68 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/04/2010,Primary Care PMS Contract,Primary Care PMS ,Rotherham GP Practice,PMS," 188,492.41 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/04/2010,Primary Care PMS Contract,Primary Care PMS ,Rotherham GP Practice,PMS," 96,851.27 ",
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/04/2010,Primary Care PMS Contract,Primary Care PMS ,Rotherham GP Practice,PMS," 161,879.41 ",
