Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/04/2013,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L632856,2973.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/04/2013,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L635372,36.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/04/2013,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L632857,72.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/04/2013,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L637581,1588.40,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L639352,4087.82,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L639044,4267.06,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L636407,17011.61,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/04/2013,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L643304,67262.38,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/04/2013,Plant and Machinery,Business Support Directorate,Balfour Beatty WorkPlace Ltd,M119390,190045.67,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/04/2013,IP Base Project,Innovation Directorate,Leasedrive Velo Rental Management Ltd,RHI00929228,43.73,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,IP Base Project,Innovation Directorate,Leasedrive Velo Rental Management Ltd,RHI00902279,84.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,IP Base Project,Innovation Directorate,Leasedrive Velo Rental Management Ltd,RHI00907625,155.52,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/04/2013,IP Base Project,Innovation Directorate,Peyton & Byrne Ltd,BLI4598,396.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/04/2013,IP Base Project,Innovation Directorate,Peyton & Byrne Ltd,BLI4597,408.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/04/2013,IP Base Project,Innovation Directorate,Peyton & Byrne Ltd,BLI4110FNAL PAYMENT,612.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/04/2013,IP Base Project,Innovation Directorate,Peyton & Byrne Ltd,BLI4115FINAL PAYMENT,690.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,India Project,International Policy Directorate,Narendra Chaudhari,51811,123.06,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/04/2013,India Project,International Policy Directorate,S Khanna,51853,126.90,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,India Project,International Policy Directorate,Uday Shanker Racherla,51818,130.92,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,India Project,International Policy Directorate,AS Rao,51814,180.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/04/2013,India Project,International Policy Directorate,E Chirnside,51827,188.99,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,India Project,International Policy Directorate,Padma Satish,51817,194.79,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/04/2013,India Project,International Policy Directorate,HRG UK,452297846,203.58,Not applicable,
