Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Contr Other External,NP - Evaluation Pathway,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,15300560,131209.5,Evaulation Patherways External Assessment Centre Quarter 1,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Contr Other External,NP - BNF,WILMINGTON HEALTHCARE LTD,15300568,38400,BNF Mailing data,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Other recvables - Current,Balance Sheet,CSA (WAVERLEY ) LTD,15300579,52901.28,HP Server kit,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Contr Other External,NP - Evaluation Pathway,UNIVERSITY OF BIRMINGHAM,15312610,126684.5,Evaulation Patherways External Assessment Centre Quarter 1 Year 2,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Contr Other External,NP - BNF,RPS PUBLISHING,15312631,146270.15,BNF printing costs,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Contr Other External,NP-Scientific Advice,UNIVERSITY OF SHEFFIELD,15319168,110032.02,Sourcing Expertise to support NICE's Scientific Advice Programme,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Contr Other External,NP- PH Programmes,CHILDRENS & WOMENS HEALTH CENTRE OF BRITISH COLUMBIA,15325811,42423.5,Qualitative and Effectiveness Evidence Review for the Domestic Violence Programme Development Group,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Computer Maintenance,NP - IM&T,LOGICA UK LTD,15325813,66231.41,Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Contr Other External,NP- PH Programmes,BAZIAN LTD,15325888,36667,Qualitative and Effectiveness Evidence for the Behaviour Change Programme Development Group,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Contr Other External,NP- PH Programmes,MATRIX EVIDENCE LTD,15331751,22473.4,To undertake an Economic Analysis and provide and executable model,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Contr Other External,NP - Evaluation Pathway,KING'S COLLEGE LONDON,15331753,120150,Evaulation Patherways External Assessment Centre Quarter 1 Year 2,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Computer Software/License,NP - Commissioned Content - Core,EDUSERV,15345470,72633.75,Provision of Athens Service from 01/04/2012 to 30/06/2012,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Contr Other External,NP-CP Guidelines,UNIVERSITY OF BRISTOL,15345477,37500,Clinical guidelines Technical support unit Year 2 quarter 1,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,15371769,88863.29,"Rail, hotel & flight costs for July 2012",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Contr Other External,NP-CP Guidelines,VELINDRE NHS TRUST,15395942,444672,National Clinical Guidelines Centre for Acute and Chronic Conditions (Cancer) Q1 & Q2 2012/13,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Contr Other External,NP- PH Programmes,NCSCT COMMUNITY INTEREST CO,15401259,26214.3,Effectiveness and Barriers/ Facilitators reviews - Mental Health Services,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Rent,NP- Facilities - Liverpool,LIVERPOOL PCT,15410195,35109.75,"Quarterly rent and service charge of office space at Vortex Court, Wavertree Technology Park, Liverpool",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Contr Other External,NP-IT,INSPIRED NETWORKS,15417396,23190.53,IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Rent,NP- Facilities - Manchester,BRUNTWOOD ESTATES ALPHA PORTFOLIO LTD,15423860,69437.5,"Quarterly rent of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Rent,NP- Facilities - Manchester,BRUNTWOOD ESTATES ALPHA PORTFOLIO LTD,15423861,51328.88,"Quarterly rent and service charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Service Charge,NP- Facilities - Manchester,BRUNTWOOD ESTATES ALPHA PORTFOLIO LTD,15423861,17513,"Quarterly rent and service charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Rent,NP - Facilities - London,AMAS LTD,7.21E+11,100000,"Quarterly rent of office space at 71 High Holborn, London",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Rent,NP - Facilities - London,AMAS LTD,7.21E+11,100000,"Quarterly rent of office space at 71 High Holborn, London",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/08/2012,Rent,NP - Facilities - London,AMAS LTD,7.21E+11,88000,"Quarterly rent of office space at 71 High Holborn, London",,,,,
