Merchant Category,Supplier Name,Service  ,Summary of Purpose of Expenditure ,Date,Net Amount
Childcare Provision,0-2-5 NURSERY,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,"24,228.85"
Social Care Services,24 Hour Home Care,Services to People,Care Payments,06/12/2016,"2,091.80"
Social Care Services,24 Hour Home Care,Services to People,Care Payments,07/12/2016,823.20
Transport and Travel,A AND G Duncan - Taxis,Services to People,Leasing /Transport Hire,08/12/2016,"2,076.80"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,07/12/2016,907.80
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,07/12/2016,751.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,07/12/2016,863.60
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,07/12/2016,414.80
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,07/12/2016,23.80
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,07/12/2016,918.00
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,07/12/2016,761.60
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,07/12/2016,819.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,07/12/2016,340.00
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,07/12/2016,37.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,21/12/2016,928.20
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,21/12/2016,754.80
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,21/12/2016,680.00
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,21/12/2016,431.80
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,21/12/2016,37.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,21/12/2016,877.20
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,21/12/2016,744.60
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,21/12/2016,785.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,21/12/2016,445.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Services to People,Care Payments,21/12/2016,40.80
Property Repairs and Maintenance,A Smith - Painter and decorator,Services to Place,Repairs and Maintenance,21/12/2016,"2,350.00"
Property Repairs and Maintenance,A Smith - Painter and decorator,Services to Place,Repairs and Maintenance,29/12/2016,840.00
Building Services,AB ELECTRICAL ENGINEERING LTD,Capital Expenditure,Capital Expenditure - Works,13/12/2016,"67,278.35"
Childcare Provision,ABACUS CHILDRENS SERVICES LTD,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,"57,623.55"
Social Care Services,Abacus Homecare,Services to People,Care Payments,07/12/2016,"8,778.80"
Social Care Services,Abacus Homecare,Services to People,Care Payments,07/12/2016,"4,103.80"
Social Care Services,Abacus Homecare,Services to People,Care Payments,07/12/2016,119.00
Social Care Services,Abacus Homecare,Services to People,Care Payments,07/12/2016,13.60
Social Care Services,Abacus Homecare,Services to People,Care Payments,07/12/2016,"8,557.80"
Social Care Services,Abacus Homecare,Services to People,Care Payments,07/12/2016,"4,267.00"
Social Care Services,Abacus Homecare,Services to People,Care Payments,07/12/2016,384.20
Social Care Services,Abacus Homecare,Services to People,Care Payments,07/12/2016,20.40
Social Care Services,Abacus Homecare,Services to People,Care Payments,21/12/2016,"8,619.00"
Social Care Services,Abacus Homecare,Services to People,Care Payments,21/12/2016,"4,430.20"
Social Care Services,Abacus Homecare,Services to People,Care Payments,21/12/2016,217.60
Social Care Services,Abacus Homecare,Services to People,Care Payments,21/12/2016,20.40
Social Care Services,Abacus Homecare,Services to People,Care Payments,21/12/2016,"8,472.80"
Social Care Services,Abacus Homecare,Services to People,Care Payments,21/12/2016,"4,416.60"
Social Care Services,Abacus Homecare,Services to People,Care Payments,21/12/2016,20.40
Social Care Services,Abacus Homecare,Services to People,Information and Communications Technology,07/12/2016,-546.08
Social Care Services,Abacus Homecare,Services to People,Information and Communications Technology,21/12/2016,-583.58
Social Care Services,ABBEYFIELD UK - BRAMHALL,Services to People,Care Payments,05/12/2016,"-1,724.80"
Social Care Services,ABBEYFIELD UK - BRAMHALL,Services to People,Care Payments,05/12/2016,"3,699.10"
Childcare Provision,Abbie Hodkinson Childminding Servic,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,837.00
Childcare Provision,ABC,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,"1,782.00"
Social Care Services,A-Best Nursing and Care Ltd,Services to People,Care Payments,07/12/2016,571.20
Social Care Services,A-Best Nursing and Care Ltd,Services to People,Care Payments,07/12/2016,646.00
Social Care Services,A-Best Nursing and Care Ltd,Services to People,Care Payments,21/12/2016,618.80
Mobility Equipment / Supplies,Ability Aware Limited,Services to People,Furniture and Equipment,13/12/2016,502.21
Mobility Equipment / Supplies,Ability Aware Limited,Services to People,Furniture and Equipment,21/12/2016,525.09
Financial Services,ABN AMRO Commercial Finance,Corporate and Support Services,Agency Staff,21/12/2016,"7,000.00"
Financial Services,ABN AMRO Commercial Finance,Corporate and Support Services,Agency Staff,02/12/2016,"5,000.00"
Social Care Services,Abney Court Care Home,Services to People,Care Payments,05/12/2016,"-1,876.90"
Social Care Services,Abney Court Care Home,Services to People,Care Payments,05/12/2016,"3,540.00"
Social Care Services,Abney Court Care Home,Services to People,Care Payments,21/12/2016,"2,700.00"
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,663.00
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,204.00
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,163.20
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,176.80
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,496.40
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,"4,498.20"
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,"1,805.40"
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,676.60
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,180.20
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,163.20
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,170.00
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,496.40
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,"4,420.00"
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,07/12/2016,"1,802.00"
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,591.60
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,204.00
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,156.40
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,176.80
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,486.20
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,"4,229.60"
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,"1,825.80"
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,510.00
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,200.60
