Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2012,Plant and Machinery,Business Support Directorate,Balfour Beatty WorkPlace Ltd,M114629,115562.40,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2012,Vouchers,Business Support Directorate,Park Retail Ltd t/a Love2reward,20570716,4850.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/06/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,CRD00009539,-433.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,637878,94.32,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,636309,194.93,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,635500,229.51,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,637889,229.51,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,637890,229.51,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637887,261.90,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637891,261.90,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,637893,262.42,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,637892,263.17,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,637885,268.38,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,637888,268.38,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637881,270.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637883,270.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637884,270.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,637877,286.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,637882,289.25,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,637895,289.25,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,638703,291.29,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,637894,301.82,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,637082,341.46,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,635498,358.42,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,635501,358.61,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637085,360.36,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637086,360.36,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637088,360.36,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2012,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,634714,370.99,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,636305,370.99,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637896,372.61,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,637094,380.42,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,637898,380.98,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,637092,383.57,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637879,385.27,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637098,405.41,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637897,410.22,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/06/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,638690,416.14,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,636295,416.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,638694,419.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/06/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,636311,428.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,637095,428.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,637100,428.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,636310,429.44,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,638699,430.68,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/06/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,636303,433.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/06/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,636304,433.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,636307,433.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,636301,436.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637089,436.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637099,436.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,638704,436.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,638700,439.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/06/2012,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,637093,440.16,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/06/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,636308,441.34,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/06/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,637096,441.34,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/06/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,636302,447.30,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/06/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,637090,447.30,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/06/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,638692,447.30,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/06/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,638695,447.30,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/06/2012,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,636306,449.59,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/06/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,638693,450.29,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637084,450.46,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,638686,450.46,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,638687,450.46,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,638689,450.46,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,638691,450.46,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,636296,450.48,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,636297,450.48,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,636298,450.48,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,636300,450.48,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/06/2012,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,638697,452.74,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/06/2012,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,635499,471.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/06/2012,Agency Staff,#N/A,Acorn Recruitment Ltd,637083,471.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,637880,476.51,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,635492,487.32,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,637087,487.32,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,638688,487.32,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,637097,503.04,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/06/2012,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5304921,540.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/06/2012,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,637899,555.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/06/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,638685,589.48,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/06/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,636299,616.22,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2012,Agency Staff,Copyright and IP Enforcement Directorate,Josephine Sammons Ltd,390092,654.44,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,637886,715.68,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/06/2012,Agency Staff,Copyright and IP Enforcement Directorate,Josephine Sammons Ltd,390243,872.59,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/06/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,637091,881.10,Not applicable,
