Body,Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Expense Code,Extended Description,Service Code,Service Label,Service Division Label,Service Division Code
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/12/2014,139829,1222.14,LOCAL GOVERNMENT ASSOCIATION,LOC005,Engineering Manager,Legal and court costs,2046,PROPERY SEARCHES FEES 1/4 - 30/10/14,LANDCH,Land Charges,01002,Land Charges
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/12/2014,139884,38185.63,AMEY PLC,TFE001,Engineering Manager,Building works,5502,MATERIALS FOR REPLACEMENT STREET LIGHTS,FOOLIG,Footway Lighting,06149,Cap Footway Lighting
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/12/2014,139895,1314.51,TANGIBLE BENEFIT,TAN002,Information Technology Manager,Computer equipment,2061,LENOVO THINK PADS/DATA TRAVELLER/HANDSET,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/12/2014,139904,1877.4,GLASDON UK LTD,GLA003,Engineering Manager,Litter bins,2022,TOPSY 20000,PROAME,Provision of Ameneties,02252,Provision of Amenities
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/12/2014,139747,624,ELECTRICITY NORTH WEST LTD,ELE005,Engineering Manager,Professional fees,2045,POLE 44 YEW TREE BUNGALOW SHAP,FOOLIG,Footway Lighting,02258,Footway lighting
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/12/2014,139748,624,ELECTRICITY NORTH WEST LTD,ELE005,Engineering Manager,Professional fees,2045,POLE 13 THE VICARAGE SHAP,FOOLIG,Footway Lighting,02258,Footway lighting
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/12/2014,139749,624,ELECTRICITY NORTH WEST LTD,ELE005,Engineering Manager,Professional fees,2045,POLE 12 1 PENNINE VIEW GAMBLESBY,FOOLIG,Footway Lighting,02258,Footway lighting
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/12/2014,139754,796,LOAVES AND FISHES,LOA001,Communities Manager,Community engagement development,2042,CONFERENCE RATE FOR 80 PEOPLE,COMDEV,Community Development & Engagement,01056,Consultation
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/12/2014,139522,511.9,NPOWER LTD,NPO001,Engineering Manager,Electricity,1022,CASTLE PARK PCS,PUBCON,Public Conveniences,02290,Penrith Castle Park Public Convenience
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/12/2014,139592,1285,THE SALUTATION INN,SAL004,Legal Services Manager,Professional fees,2045,BEST BAR NONE AWARDS,CRDRPA,Crime & Disorder Reduction Partnership,09256,Best Bar None Scheme
