Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,02/05/2014,Temporary Staff,Clinical Practice Research Datalink,ROBERT HALF LIMITED,600087602,29736,655320254
Dept of Health,MHRA,09/05/2014,Capital Expenditure,Information Management,ACCENTURE,600087937,48736.6,788629066
Dept of Health,MHRA,09/05/2014,UK Miscellaneous T&S,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600087911,19.12,413640679
Dept of Health,MHRA,09/05/2014,UK Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600087911,92.36,413640679
Dept of Health,MHRA,09/05/2014,UK Rail/Tube/Tram,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600087911,281.96,413640679
Dept of Health,MHRA,09/05/2014,Overseas Air,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600087911,13708.1,413640679
Dept of Health,MHRA,09/05/2014,Overseas Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600087911,3.02,413640679
Dept of Health,MHRA,09/05/2014,UK Miscellaneous T&S,Communications,HOGG ROBINSON LTD,600087911,9.56,413640679
Dept of Health,MHRA,09/05/2014,UK Hotel/Accommodation,Communications,HOGG ROBINSON LTD,600087911,3.02,413640679
Dept of Health,MHRA,09/05/2014,UK Rail/Tube/Tram,Communications,HOGG ROBINSON LTD,600087911,432.22,413640679
Dept of Health,MHRA,09/05/2014,UK Hotel/Accommodation,Directorate,HOGG ROBINSON LTD,600087911,138.83,413640679
Dept of Health,MHRA,09/05/2014,UK Rail/Tube/Tram,Directorate,HOGG ROBINSON LTD,600087911,165.47,413640679
Dept of Health,MHRA,09/05/2014,UK Rail/Tube/Tram,Human Resources,HOGG ROBINSON LTD,600087911,110.79,413640679
Dept of Health,MHRA,09/05/2014,UK Rail/Tube/Tram,Information Management,HOGG ROBINSON LTD,600087911,170.87,413640679
Dept of Health,MHRA,09/05/2014,Passport/Visa,Information Management,HOGG ROBINSON LTD,600087911,232.89,413640679
Dept of Health,MHRA,09/05/2014,UK Miscellaneous T&S,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600087911,190.66,413640679
Dept of Health,MHRA,09/05/2014,UK Air,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600087911,1736.69,413640679
Dept of Health,MHRA,09/05/2014,UK Hotel/Accommodation,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600087911,19629.99,413640679
Dept of Health,MHRA,09/05/2014,UK Parking,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600087911,8.44,413640679
Dept of Health,MHRA,09/05/2014,UK Rail/Tube/Tram,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600087911,17609.5,413640679
