CPS outcomes by principal offence category Greater Manchester October 2010,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,100.00%,0,0.00%
B Offences Against The Person,575,74.20%,200,25.80%
C Sexual Offences,54,72.00%,21,28.00%
D Burglary,151,91.50%,14,8.50%
E Robbery,63,95.50%,3,4.50%
F Theft And Handling,663,95.00%,35,5.00%
G Fraud And Forgery,59,85.50%,10,14.50%
H Criminal Damage,188,86.20%,30,13.80%
I Drugs Offences,338,95.80%,15,4.20%
J Public Order Offences,415,87.90%,57,12.10%
K All Other Offences (excluding Motoring),113,89.70%,13,10.30%
L Motoring Offences,"1,266",91.10%,123,8.90%
Admin Finalisations,0,0.00%,39,100.00%
TOTAL,"3,886",87.40%,560,12.60%
