CPS outcomes by principal offence category durham,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,100.0%,0,0.0%
B Offences Against The Person,80,76.9%,21,23.1%
C Sexual Offences,8,56.3%,6,43.8%
D Burglary,22,84.0%,8,16.0%
E Robbery,8,50.0%,1,50.0%
F Theft And Handling,134,92.3%,8,7.7%
G Fraud And Forgery,6,91.7%,0,8.3%
H Criminal Damage,36,92.6%,2,7.4%
I Drugs Offences,25,97.1%,0,2.9%
J Public Order Offences,69,81.7%,7,18.3%
K All Other Offences (excluding Motoring),46,72.4%,4,27.6%
L Motoring Offences,135,91.9%,8,8.1%
Admin Finalisations,0,0.0%,1,100.0%
TOTAL,570,89.6%,66,10.4%
