Department Family Name:,Department of Business Innovation & Skills,,,,,
,,,,,,
Entity:,Technology Strategy Board,,,,,
,,,,,,
,,,,,,
Expense Type,Expense Area,Transaction Reference 1,Transaction Reference 2,Vendor Name,Entry Date, Amount
Grant Expense,Programme & Support Costs,DINV/00005708,ZA556B,NOTTINGHAM COMMUNITY HOUSING ASSOCIATION LTD,08/02/2011,"25,000.00"
Grant Expense,Programme & Support Costs,10021,ZA241K,ROLAND HILL (PARSONBY) LTD,22/02/2011,"25,013.40"
Monitoring Contract - MNT Centres,Programme & Support Costs,GB10300001099,OCT 10 - MNT MONITORING,ERNST & YOUNG,22/02/2011,"25,222.55"
Grant Expense,Programme & Support Costs,1,BG052C,QUEENS UNIVERSITY BELFAST,15/02/2011,"25,265.06"
Grant Expense,Programme & Support Costs,4,BH064B,JOHNSON MATTHEY FUEL CELLS LTD,21/02/2011,"25,354.92"
Grant Expense,Programme & Support Costs,3,BH004K,ULTRA ELECTRONICS PRECISION AIR SYSTEMS,08/02/2011,"25,365.30"
Grant Expense,Programme & Support Costs,25945,RENT - 08/11/10 - 08/01/11,DTZ LTD,16/02/2011,"25,500.00"
Grant Expense,Programme & Support Costs,4,F0205E,LOUGHBOROUGH UNIVERSITY,21/02/2011,"25,523.00"
Grant Expense,Programme & Support Costs,3,KTP007006,"Univ of Wales Inst, Cardiff",03/02/2011,"25,624.00"
Grant Expense,Programme & Support Costs,15,H0101B,DOOSAN BABCOCK ENERGY LTD,22/02/2011,"25,672.13"
Grant Expense,Programme & Support Costs,8,KTP006324,University of Sheffield,10/02/2011,"25,766.99"
Grant Expense,Programme & Support Costs,2,370-11297,UNIVERSITY COLLEGE LONDON,17/02/2011,"25,843.87"
Grant Expense,Programme & Support Costs,CLAIM  6,E!4885,SILSON LTD,08/02/2011,"25,869.00"
Grant Expense,Programme & Support Costs,9,AB154E,TEER COATINGS LTD,21/02/2011,"25,948.37"
Grant Expense,Programme & Support Costs,8,AF060G,HEWLETT-PACKARD LTD,21/02/2011,"26,016.07"
Grant Expense,Programme & Support Costs,5,BD202A,UNIVERSITY OF DURHAM,21/02/2011,"26,284.53"
