Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,01/02/2014,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,BMJ PUBLISHING GROUP LTD,17258959," 210,900.00 ",Library service - access to BMJ Journals online,,,,,
Department of Health,National Institute for Health & Care Excellence,01/02/2014,Service Charge,NP - Facilities - London,BRITISH COUNCIL,17273502," 29,235.70 ",Managed services for office space at 10 Spring Gardens 30/1/12-31/03/13,,,,,
Department of Health,National Institute for Health & Care Excellence,01/02/2014,Service Charge,NP - Facilities - London,BRITISH COUNCIL,17273503," 65,187.56 ",Service charge payment for office space at 10 Spring Gardens 01/04/13-30/06/13,,,,,
Department of Health,National Institute for Health & Care Excellence,01/02/2014,Service Charge,NP - Facilities - London,BRITISH COUNCIL,17273504," 89,411.38 ",Service charge payment for office space at 10 Spring Gardens30/11/12-31/03/13,,,,,
Department of Health,National Institute for Health & Care Excellence,01/02/2014,Contr Other External,NP - Commissioned Content - Core,CLARITY INFORMATICS LTD,17220699," 157,500.00 ",Evidence Based Resource for Primary Care Year 2 Quarter 3,,,,,
Department of Health,National Institute for Health & Care Excellence,01/02/2014,"Books, Journals & Subscr",NP - Commissioned Content - Core,EBSCO INFORMATION SERVICES,17248381," 73,460.25 ",National subscription fees for Lancet medical journal,,,,,
Department of Health,National Institute for Health & Care Excellence,01/02/2014,Computer Software/License,NP - Commissioned Content - Core,EDUSERV,17235049," 68,750.00 ",Provision of Athens Service from 01/10/2013 to 31/12/2013,,,,,
Department of Health,National Institute for Health & Care Excellence,01/02/2014,Meeting expense/Room Hire,Fully Recovered: International Commercial Activity,HEALTH INTERVENTION & TECHNOLOGY ASSESSMENT PROGRAMME,17266106," 30,561.58 ",Methods for Economic Evaluation Programme,,,,,
Department of Health,National Institute for Health & Care Excellence,01/02/2014,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,17248385," 34,473.02 ","Network and Data, including inter site telecoms supply to NICE’s 3 sites and organisational external telephone connection provision",,,,,
Department of Health,National Institute for Health & Care Excellence,01/02/2014,Contr Other External,NP - NPC,KEELE UNIVERSITY,17258972," 25,209.60 ",Provision of Specialist Medicines Information Unit,,,,,
