Newcastle City Council Invoices over £250 paid in June 2014,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Children's Services,Benfield Secon/High School             ,Supplies & Services,04/06/2014,3663,6261241,Revenue,1E371,Benfield Sports Partner Contrb,255.80 
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,19/06/2014,3663,6273334,Revenue,1KF07,Banqueting Suite,303.43 
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,17/06/2014,3663,6273335,Revenue,1KF07,Banqueting Suite,312.00 
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,17/06/2014,3663,6273338,Revenue,1KF07,Banqueting Suite,269.86 
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,27/06/2014,3663,6277885,Revenue,1KF07,Banqueting Suite,252.18 
Environment & Regeneration,Cityworks Cems & Crems     ,Supplies & Services,18/06/2014, CORE CATERING MAINTENANCE CONTRACTS LTD,6271657,Revenue,1KE27,Bereavement Services Overhead,255.13 
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,09/06/2014, CORE CATERING MAINTENANCE CONTRACTS LTD,6158964,Revenue,1KF07,Banqueting Suite,481.80 
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,18/06/2014, REHABILITATION FOR ADDICTED PRISONER,6275330,Revenue,1MP27,DAT Residential Rehab,358.72 
Environment & Regeneration,Highways                               ,Premises,05/06/2014, THOMPSONS OF PRUDHOE LTD,6226936,Revenue,1KEMC,Highways,302.87 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/06/2014,14 EIGHTH ROW,6259412,Revenue,1MH20,Ind Res Care PD,"9,800.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/06/2014,18 SEA VIEW VILLAS,6259330,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 "
Environment & Regeneration,E&R Development Mngmt   ,Supplies & Services,20/06/2014,5 STAR EASY OFFICE SUPPLIES,6278244,Revenue,1V030,Development Management,"1,069.23 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/06/2014,93 WINGROVE ROAD,6259423,Revenue,1MK34,Shared Lives - Adult LD,"4,510.00 "
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,03/06/2014,A S PNEUMATICS,6258858,Revenue,1KENB,Fleet Workshops OH,388.50 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/06/2014,A&J KEITH LTD,6282634,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2014,A&J KEITH LTD,6283648,Revenue,1KVWC,Minor Works Contracts,"1,260.80 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2014,A&J KEITH LTD,6283680,Revenue,1KVWC,Minor Works Contracts,397.94 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2014,A&J KEITH LTD,6283682,Revenue,1KVWC,Minor Works Contracts,"1,137.46 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2014,A&J KEITH LTD,6283690,Revenue,1KVWC,Minor Works Contracts,"1,036.30 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2014,A&J KEITH LTD,6283691,Revenue,1KVWC,Minor Works Contracts,397.94 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2014,A&J KEITH LTD,6283692,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2014,A&J KEITH LTD,6283696,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2014,A&J KEITH LTD,6283699,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2014,A&J KEITH LTD,6283703,Revenue,1KVWC,Minor Works Contracts,933.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,24/06/2014,A&J KEITH LTD,6281082,Revenue,1KVWC,Minor Works Contracts,"2,225.00 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,24/06/2014,A&J KEITH LTD,6281084,Revenue,1KVWC,Minor Works Contracts,538.51 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,24/06/2014,A&J KEITH LTD,6281090,Revenue,1KVWC,Minor Works Contracts,"1,317.00 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,24/06/2014,A&J KEITH LTD,6281116,Revenue,1KVWC,Minor Works Contracts,"1,410.00 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,24/06/2014,A&J KEITH LTD,6281119,Revenue,1KVWC,Minor Works Contracts,940.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,24/06/2014,A&J KEITH LTD,6281120,Revenue,1KVWC,Minor Works Contracts,"4,700.00 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,18/06/2014,A&J KEITH LTD,6275806,Revenue,1KVWC,Minor Works Contracts,944.85 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,18/06/2014,A&J KEITH LTD,6275807,Revenue,1KVWC,Minor Works Contracts,"1,002.96 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,18/06/2014,A&J KEITH LTD,6275808,Revenue,1KVWC,Minor Works Contracts,470.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,18/06/2014,A&J KEITH LTD,6275810,Revenue,1KVWC,Minor Works Contracts,"1,295.19 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,18/06/2014,A&J KEITH LTD,6275811,Revenue,1KVWC,Minor Works Contracts,"1,587.57 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,18/06/2014,A&J KEITH LTD,6275846,Revenue,1KVWC,Minor Works Contracts,"1,225.97 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,18/06/2014,A&J KEITH LTD,6275848,Revenue,1KVWC,Minor Works Contracts,"1,614.41 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,18/06/2014,A&J KEITH LTD,6275856,Revenue,1KVWC,Minor Works Contracts,"1,252.62 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,18/06/2014,A&J KEITH LTD,6275886,Revenue,1KVWC,Minor Works Contracts,315.19 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,18/06/2014,A&J KEITH LTD,6275887,Revenue,1KVWC,Minor Works Contracts,"1,268.88 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,20/06/2014,A&J KEITH LTD,6277058,Revenue,1KVWC,Minor Works Contracts,510.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,20/06/2014,A&J KEITH LTD,6278441,Revenue,1KVWC,Minor Works Contracts,"2,279.81 "
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,18/06/2014,A&J KEITH LTD,6275809,Revenue,1KEYU,Solar PV YHN Buildings,450.00 
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,10/06/2014,A&J KEITH LTD,6267251,Revenue,1KBRM,Sub Contractors R & M,"84,762.75 "
Environment & Regeneration,CW School Security                     ,Supplies & Services,26/06/2014,A&J KEITH LTD,6283693,Revenue,1KVWC,Minor Works Contracts,397.94 
Environment & Regeneration,NS: Asset Man              ,Premises,09/06/2014,A&S LOCKSMITHS,6265782,Revenue,1DY54,Blackfriars,337.33 
Environment & Regeneration,NS: Asset Man              ,Premises,09/06/2014,A&S LOCKSMITHS,6265858,Revenue,1DR03,Grainger Market,326.29 
Environment & Regeneration,Cityworks Elswick          ,Supplies & Services,02/06/2014,AAA CHEMICALS LTD,6257000,Revenue,1KL1E,Elswick Pool,320.10 
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",18/06/2014,ABBEYFIELD CASTLE FARM,6275554,Revenue,1MG20,Ind Res Care Elderly,-495.80 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,18/06/2014,ABBEYFIELD CASTLE FARM,6275554,Revenue,1MG20,Ind Res Care Elderly,"1,969.28 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",18/06/2014,ABBEYFIELD THE GROVE,6275545,Revenue,1MG20,Ind Res Care Elderly,"-2,080.48 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,18/06/2014,ABBEYFIELD THE GROVE,6275545,Revenue,1MG20,Ind Res Care Elderly,"3,938.56 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",18/06/2014,ABBEYMOOR,6275555,Revenue,1MM10,Ind Nursing Care MH,-397.20 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,18/06/2014,ABBEYMOOR,6275555,Revenue,1MG10,Ind Nursing Care Elderly,"3,462.52 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,18/06/2014,ABBEYMOOR,6275555,Revenue,1MM10,Ind Nursing Care MH,"2,010.56 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,18/06/2014,ABBEYMOOR,6275555,Revenue,1MM20,Ind Res Care MH,"4,000.00 "
