Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,AHDB,21/06/2017,Invoice,,James Hutton Limited,SIJHL/00001285,25795,Research: AHDB Cereals & Oilseeds - Platform to test and demonstrate sustainable soil management,DD2 5DA,,,,,108249520
DEFRA,AHDB,21/06/2017,Invoice,,Phoenix Software,OP/1799471,92318.91,"IS - Visio Professional, server client access licence",YO42 1NS,,,,,755 3490 15
DEFRA,AHDB,21/06/2017,Invoice,,JONES LANG LASALLE,025/174019,99657.53,Rent: Services and Rental charge for Stoneleigh Park HQ building - period 01 Jul. to 30 sept 2017,E14 1HA,,,,,385839396
DEFRA,AHDB,22/06/2017,Invoice,,"Deutscher Raiffeisenverband e.V,",20170607,34759.42,Research: AHDB PorkEUPig Horizon 2020 project ref Grant Agreement 727933,,,,,,
DEFRA,AHDB,22/06/2017,Invoice,,ifip - Institute du Porc,17S009,51590.13,Research: AHDB Pork - EUPiG Horizon 2020 project ref Grant agreement 727933,,,,,,
DEFRA,AHDB,23/06/2017,Invoice,,Vivactis,17FA085,41820.01,Export Market Development: AHDB Beef & Lamb - French supply chain development  JUL 17,,,,,,
DEFRA,AHDB,30/06/2017,Invoice,,NIAB,NI14658,25354.58,"Research: AHDB Cereals & Oilseeds - RL Pathology tests, April to June 17 WB691,WB882,WO705, WR886, WR887, WW825",CB3 0LE,,,,,100132207
DEFRA,AHDB,30/06/2017,Invoice,,NIAB,NI14398,30074,Research: AHDB Potatoes -  Evaluation of methods to assess varietal tolerance of potato cyst nematode June 2016 to March 2017,CB3 0LE,,,,,100132207
DEFRA,APHA,01/06/2017,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - COURIER COSTS,LAB SERVICES,TOPSPEED COURIERS LIMITED,1025142,32385,"Collections from various laboratory locations (613 collections + 4 weekend surcharges)
during April 2017",WA16 8XN,SUPPLIER(1),,0,Expense,413638853
DEFRA,APHA,08/06/2017,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,SAFETY,HEALTH MANAGEMENT LTD,1025703,26463.37,"Monthly retainer for occupational health service, May 2017",BN8 5NN,SUPPLIER,,0,Expense,"792250621	"
DEFRA,APHA,08/06/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,TB,THERMO FISHER SCIENTIFIC LELYSTAD BV,20000574,188573.7,Purchase of Specialist Laboratory Kits,HOLLAND,SUPPLIER,,APSB4011,Expense,
DEFRA,APHA,09/06/2017,EXP - PURCHASE OF GOODS/SERVICES - CONTRACTORS - VETERINARY SERVICES,SOUTH WEST FIELD OPERATIONS,XL FARMCARE DEVON & CORNWALL LTD,1025763,384545.5,Providing services for the Veterinary Delivery Partnership Project,EX22 6HB,SUPPLIER(1),,0,Expense,179923008
DEFRA,APHA,09/06/2017,EXP - PURCHASE OF GOODS/SERVICES - CONTRACTORS - VETERINARY SERVICES,NORTH FIELD OPERATIONS,XL FARMCARE NORTH LTD. ~175942866,1025876,256416.22,Providing services for the Veterinary Delivery Partnership Project,ST15 8NA,CUSTOMER,,0,Expense,
DEFRA,APHA,09/06/2017,EXP - PURCHASE OF GOODS/SERVICES - CONTRACTORS - VETERINARY SERVICES,SOUTH WEST FIELD OPERATIONS,XL FARMCARE WESSEX LTD,1025764,332244.6,Providing services for the Veterinary Delivery Partnership Project,ST15 8NA,SUPPLIER(1),,0,Expense,172798072
DEFRA,APHA,13/06/2017,EXP - PURCHASE OF GOODS/SERVICES - CONTRACTORS - VETERINARY SERVICES,WALES FIELD OPERATIONS,IECHYD DA (GWLEDIG) LTD,1026131,301045.32,Providing services for the Veterinary Delivery Partnership Project,SY23 2WD,SUPPLIER(1),,0,Expense,185 4883 60
DEFRA,APHA,13/06/2017,EXP - PURCHASE OF GOODS/SERVICES - CONTRACTORS - VETERINARY SERVICES,SOUTH EAST FIELD OPERATIONS,XL FARMCARE SOUTH EAST LIMITED~178831566,1026119,93133.26,Providing services for the Veterinary Delivery Partnership Project,BN7 2AH,CUSTOMER,,0,Expense,
