Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Sussex Community NHS Trust,16/01/2013,AUC Additions,Balance Sheet,A & F PILBEAM LTD,16052251,25927.87
Department of Health,Sussex Community NHS Trust,02/01/2013,Equip Maint Contracts,Wheelchair Serv Adults WS,AJ MOBILITY LTD,15961630,33790.34
Department of Health,Sussex Community NHS Trust,09/01/2013,Wheelchairs,Wheelchairs Services,AJ MOBILITY LTD,16002460,24969.98
Department of Health,Sussex Community NHS Trust,02/01/2013,Wheelchairs,Wheelchairs Services,AJ MOBILITY LTD,15961619,25444.04
Department of Health,Sussex Community NHS Trust,23/01/2013,Social Worker Qualified,Comm Short Term Service,BRIGHTON & HOVE CITY COUNCIL,16070316,20936.62
Department of Health,Sussex Community NHS Trust,23/01/2013,Social Worker Qualified,Rapid Response Service,BRIGHTON & HOVE CITY COUNCIL,16070316,8374.65
Department of Health,Sussex Community NHS Trust,23/01/2013,PAMs band 3,Knoll House 1,BRIGHTON & HOVE CITY COUNCIL,16070311,30752.68
Department of Health,Sussex Community NHS Trust,03/01/2013,Other NHS Payables <1Yr,Balance Sheet,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,15937257,65191.50
Department of Health,Sussex Community NHS Trust,03/01/2013,Services Received - NHSTs,Provider to Provider,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,15937222,29632.75
Department of Health,Sussex Community NHS Trust,03/01/2013,Services Received - NHSTs,Provider to Provider,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,15937223,35559.00
Department of Health,Sussex Community NHS Trust,03/01/2013,Other NHS Payables <1Yr,Balance Sheet,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,15937259,-65191.50
Department of Health,Sussex Community NHS Trust,02/01/2013,AUC Additions,Balance Sheet,EDBURTON CONTRACTORS LTD,15976880,104500.00
Department of Health,Sussex Community NHS Trust,16/01/2013,External Consultancy Fees,Chief Executive,KPMG LLP,16039169,124149.00
Department of Health,Sussex Community NHS Trust,09/01/2013,Other NHS Payables <1Yr,Balance Sheet,NHS PROFESSIONALS LTD,16002364,50112.86
Department of Health,Sussex Community NHS Trust,30/01/2013,Other NHS Payables <1Yr,Balance Sheet,NHS PROFESSIONALS LTD,16076742,46050.28
Department of Health,Sussex Community NHS Trust,03/01/2013,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,15937227,51449.94
Department of Health,Sussex Community NHS Trust,03/01/2013,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,15937245,61400.93
Department of Health,Sussex Community NHS Trust,15/01/2013,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,16002392,57686.65
