CPS outcomes by principal offence category thames_valley,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,7,50.0%,7,50.0%
B Offences Against The Person,324,70.1%,138,29.9%
C Sexual Offences,23,71.9%,9,28.1%
D Burglary,73,90.1%,8,9.9%
E Robbery,36,80.0%,9,20.0%
F Theft And Handling,397,93.0%,30,7.0%
G Fraud And Forgery,38,88.4%,5,11.6%
H Criminal Damage,73,79.3%,19,20.7%
I Drugs Offences,185,95.4%,9,4.6%
J Public Order Offences,73,80.2%,18,19.8%
K All Other Offences (excluding Motoring),168,78.5%,46,21.5%
L Motoring Offences,765,89.6%,89,10.4%
Admin Finalisations,0,0.0%,51,100.0%
TOTAL,"2,162",83.2%,438,16.8%
