Date,Supplier,Amount,Description
06-Oct-11,ERNEST DOE & SONS        FAKENHAM     ,788.44,Fencing materials and reserve equipment repairs
06-Oct-11,ERNEST DOE & SONS        FAKENHAM     ,557.72,Purchase of reserve equipment
06-Oct-11,FARMSERVE LTD            CARDINGTON   ,678.00,Parts for reserve equipment
06-Oct-11,FRANCOTYP                DARTFORD     ,1036.00,Franking machine Top Up
06-Oct-11,FRANCOTYP                DARTFORD     ,1036.00,Franking machine Top Up
06-Oct-11,PAYPAL  FAVERSHAMHO      35314369001  ,528.00,Edie Environmental Excellence event
06-Oct-11,PRONTAPRINT - TAUNTON    BARNSTAPLE   ,1020.43,Document printing
06-Oct-11,PRONTAPRINT - TAUNTON    BARNSTAPLE   ,662.95,Document printing
06-Oct-11,THE OASIS GUEST HOUSE    FALMOUTH     ,551.25,"Staff subsistence costs for overnight bed, breakfast and evening meal for 2 staff for 7 nights"
10-Oct-11,BRITISH RED CROSS SOCI   INTERNET     ,928.80,First aid training for 3 staff
10-Oct-11,COTSWOLD FARM PARK LTD   CHELTENHAM   ,789.45,Staff training and subsistence costs for all day training event
10-Oct-11,COVERS ALDERSHOT12       ALDERSHOT    ,2462.40,Purchase of timber
10-Oct-11,DEREK FOX & SONS (TIMB   PRESTON      ,924.37,Fencing materials
10-Oct-11,FRANCOTYP                DARTFORD     ,2072.00,Franking machine Top Up
10-Oct-11,H L HUTCHINSON LTD       WISBECH      ,814.32,Purchase of herbicides
10-Oct-11,MASONS MOWERS            PETERBOROUGH ,767.45,Agricultural supplies and services for National Nature Reserve
10-Oct-11,PERTEMPS LTD             COVENTRY     ,30698.02,Agency staff costs
10-Oct-11,PERTEMPS LTD             COVENTRY     ,29131.82,Agency staff costs
10-Oct-11,PERTEMPS LTD             COVENTRY     ,28056.68,Agency staff costs
10-Oct-11,PERTEMPS LTD             COVENTRY     ,23147.18,Agency staff costs
10-Oct-11,PRINCE REGENT HOTEL      WOODFORD     ,1049.60,"Staff subsistence costs for overnight bed, breakfast and evening meal for 5 days"
10-Oct-11,QUEST WORLDWIDE COLL     GODALMING    ,2105.60,Survey services
