CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,760,72.3%,291,27.7%
P01-Avon&Somerset,29,70.7%,12,29.3%
P02-Bedfordshire,10,76.9%,3,23.1%
P03-Cambridgeshire,8,88.9%,1,11.1%
P04-Cheshire,12,75.0%,4,25.0%
P06-Cleveland,17,81.0%,4,19.0%
P07-Cumbria,10,90.9%,1,9.1%
P08-Derbyshire,18,72.0%,7,28.0%
P09-Devon&Cornwall,23,79.3%,6,20.7%
P10-Dorset,6,60.0%,4,40.0%
P11-Durham,8,53.3%,7,46.7%
P12-DyfedPowys,2,33.3%,4,66.7%
P13-Essex,12,63.2%,7,36.8%
P14-Gloucestershire,11,91.7%,1,8.3%
P15-GreaterManchester,40,75.5%,13,24.5%
P16-Gwent,5,71.4%,2,28.6%
P17-Hampshire,25,65.8%,13,34.2%
P18-Hertfordshire,9,75.0%,3,25.0%
P19-Humberside,20,69.0%,9,31.0%
P20-Kent,26,74.3%,9,25.7%
P21-Lancashire,39,83.0%,8,17.0%
P22-Leicestershire,17,68.0%,8,32.0%
P23-Lincolnshire,3,50.0%,3,50.0%
P24-Merseyside,19,76.0%,6,24.0%
P25-Metropolitan&City,119,67.6%,57,32.4%
P26-Norfolk,14,73.7%,5,26.3%
P27-Northamptonshire,13,72.2%,5,27.8%
P28-Northumbria,20,71.4%,8,28.6%
P29-NorthWales,5,71.4%,2,28.6%
P30-NorthYorkshire,9,75.0%,3,25.0%
P31-Nottinghamshire,12,80.0%,3,20.0%
P32-SouthWales,12,50.0%,12,50.0%
P33-SouthYorkshire,14,77.8%,4,22.2%
P34-Staffordshire,18,85.7%,3,14.3%
P35-Suffolk,5,50.0%,5,50.0%
P36-Surrey,15,83.3%,3,16.7%
P37-Sussex,17,70.8%,7,29.2%
P38-ThamesValley,15,78.9%,4,21.1%
P39-Warwickshire,1,25.0%,3,75.0%
P40-WestMercia,18,94.7%,1,5.3%
P41-WestMidlands,45,75.0%,15,25.0%
P42-WestYorkshire,29,64.4%,16,35.6%
P43-Wiltshire,10,100.0%,0,0.0%
