,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,Grand Total (workforce numbers),,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,,,,
Organisation name,Organisation type,"Main, parent or sponsoring department: ",AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,Total Employees,,Agency staff (clerical/admin),,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total Employees,,,,,,,,,,,,,,,Comments(NB: These will be published alongside your row of information),Notes for Cabinet Office(Not for publication),,
,,,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Salary,Allowances,Non-consolidated performance payments,Overtime, Employer pension contributions, Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Total monthly cost of consultants/consultancy,Total non-payroll (CCL) staff costs,,,,,
Advisory Conciliation and Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",53,47.30,255,232.90,491,451.00,39,36.50,3,3.00,2,1.20,843,771.90,16,16.00,0,0.00,0,0.00,4,4.00,20,20,863,792,"£2,145,846.66","£17,490.52",£0.00,"£14,698.52","£431,222.66","£162,107.71","£2,771,366.07","£11,968.49","£41,477.55","£53,446.04","£2,824,812.11",,,,
Arts and Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",6,5.68,33,31.07,52,49.56,9,9.00,2,2.00,0,0.00,102,97.31,0,0.00,0,0.00,3,3.00,0,0.00,3,3,105,100,"£312,252.99","£3,340.00","£37,849.28","£4,164.44","£82,113.24","£29,019.73","£468,739.68","£23,776.20",£0.00,"£23,776.20","£492,515.88",Payment of arrears has meant a significant increase in basic pay for the month,,,
Biotechnology and Biological Sciences Research Council,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",34,29.41,56,50.91,159,153.37,42,40.62,12,11.31,0,0.00,303,285.62,2,1.40,0,0.00,0,0.00,0,0.00,2,1,305,287,"£1,025,892.29","£27,963.89","£121,544.98",£0.00,"£264,033.89","£104,888.50","£1,544,323.55","£5,356.25",£0.00,"£5,356.25","£1,549,679.80",Higher payroll staff costs are due to the pay rise and buy out costs backdated from 1st July 2015 paid in this month,,,
"Business, Innovation and Skills ",Ministerial Department,"Department for Business, Innovation and Skills",105,98.72,323,312.31,930,905.90,975,934.26,197,187.95,0,0.00,"2,530","2,439.14",13,13.00,2,2.00,21,21.00,9,9.00,45,45,"2,575","2,484","£8,748,148.90","£389,372.29","£85,965.72","£47,727.78","£1,946,358.48","£849,416.03","£12,066,989.20","£658,527.00","£1,108,127.00","£1,766,654.00","£13,833,643.20",,,,
Companies House,Executive Agency,"Department for Business, Innovation and Skills",470,412.00,259,248.00,135,132.00,34,33.00,5,5.00,0,0.00,903,830.00,5,5.00,0,0.00,0,0.00,19,19.00,24,24,927,854,"£1,818,649.00","£28,421.00","£1,400.00","£44,601.00","£380,205.00","£130,485.00","£2,403,761.00","£38,752.00","£194,253.00","£233,005.00","£2,636,766.00",,,,
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",4,4.00,1,1.00,6,5.60,4,4.00,1,1.00,0,0.00,16,15.60,0,0.00,0,0.00,0,0.00,0,0.00,0,0,16,16,"£56,068.12",£0.00,"£1,800.00",£0.00,"£12,139.15","£5,238.96","£75,246.23",£0.00,"£1,900.00","£1,900.00","£77,146.23",,,,
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",452,421.90,638,623.14,297,291.06,20,20.00,5,5.00,0,0.00,"1,412","1,361.10",79,57.09,2,1.07,85,42.02,2,1.00,168,101,"1,580","1,462","£3,496,421.00","£175,151.14","£469,190.00","£32,689.37","£445,793.84","£359,427.98","£4,978,673.33","£500,477.70","£2,138.40","£502,616.10","£5,481,289.43",,,,
ECITB,NDPB,BIS,19,16.00,41,39.00,20,20.00,5,5.00,0,0.00,1,0.01,86,80.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0,86,80,"£274,789.00","£23,108.00",£0.00,£0.00,"£63,271.00","£28,043.00","£389,211.00",£0.00,£0.00,£0.00,"£389,211.00",,,,
Economic and Social Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",16,12.85,34,32.06,73,68.96,16,15.91,2,1.95,0,0.00,141,131.73,0,0.00,0,0.00,0,0.00,0,0.00,0,0,141,132,"£441,580.03","£3,709.51","£60,984.06",£0.00,"£110,728.50","£45,698.05","£662,700.15",£0.00,£0.00,£0.00,"£662,700.15",Payment of arrears has meant a significant increase in basic pay for the month.,,,
Engineering and Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",42,39.31,31,30.35,139,130.96,31,29.91,2,2.00,0,0.00,245,232.53,1,1.00,0,0.00,4,4.00,0,0.00,5,5,250,238,"£752,525.66","£14,295.66","£104,643.67",£971.15,"£193,942.78","£72,085.89","£1,138,464.81","£25,167.42",£0.00,"£25,167.42","£1,163,632.23",Payment of arrears has meant a significant increase in basic pay for the month,,,
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",27,22.74,9,8.01,153,137.83,83,75.37,32,30.80,0,0.00,304,274.75,8,8.00,0,0.00,0,0.00,0,0.00,8,8,312,283,"£931,855.00","£2,706.80","£116,750.00","£2,393.92","£167,214.34","£92,636.36","£1,313,556.42","£105,930.67",£0.00,"£105,930.67","£1,419,487.09",,,,
Insolvency Service,Executive Agency,"Department for Business, Innovation and Skills",514,475.45,217,204.07,643,615.66,96,95.86,8,7.69,0,0.00,"1,478","1,398.74",108,108.00,0,0.00,35,35.00,0,0.00,143,143,"1,621","1,542","£3,659,250.34","£8,599.38",£0.00,"£5,306.46","£963,975.54","£636,947.49","£5,274,079.21","£629,497.35",£0.00,"£629,497.35","£5,903,576.56",,,,
Land Registry,Non-Ministerial Department,"Department for Business, Innovation & Skills",307,285.70,"2,255","1,982.50","1,714","1,571.50",194,179.40,16,16.00,0,0.00,"4,486","4,035.10",0,0.00,15,15.00,0,0.00,0,0.00,15,15,"4,501","4,050","£9,853,592.68","£208,066.14","£7,577.30","£579,471.79","£2,068,713.30","£780,634.00","£13,498,055.21","£357,317.98","£350,000.00","£707,317.98","£14,205,373.19",Agreed overtime to address operations backlog,,,
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",222,204.00,382,364.00,"1,057","1,035.00",138,132.00,89,84.00,32,21.00,"1,920","1,840.00",7,7.00,17,17.00,4,4.00,0,0.00,28,28,"1,948","1,868","£5,486,765.00","£332,660.00",£0.00,"£13,924.00","£723,290.00","£546,612.00","£7,103,251.00","£524,385.00",£0.00,"£524,385.00","£7,627,636.00",,,,
Met Office,Executive Agency,BIS,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"2,167","2,085.00","2,167","2,085.00",131,82.50,0,0.00,0,0.00,0,0.00,131,83,"2,298","2,168","£5,701,160.00","£427,893.00","£912,164.00","£160,122.00","£1,273,937.00","£484,214.00","£8,959,490.00","£601,781.00",£0.00,"£601,781.00","£9,561,271.00",,"Met Office does not have grades, instead we have generic roles",,
