"Department Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","Amount","Invoice Number"
"Department of Health","Portsmouth Hospitals Trust","03/10/2011","Blood Products","BLOOD TRANSFUSION SERVICE","NHS BLOOD & TRANSPLANT",13683713,219541.33,"807353"
"Department of Health","Portsmouth Hospitals Trust","25/10/2011","CAPD Fluids","RENAL PD UNIT","BAXTER HEALTHCARE LTD",13781590,82357.06,"001066836"
"Department of Health","Portsmouth Hospitals Trust","14/10/2011","Capital Non Pay Costs","Balance Sheet","BAUSCH & LOMB LTD",13715646,180000,"04965361"
"Department of Health","Portsmouth Hospitals Trust","28/10/2011","Capital Non Pay Costs","Balance Sheet","IMOTECH MEDICAL",13854194,29820,"IM35116"
"Department of Health","Portsmouth Hospitals Trust","14/10/2011","Capital Non Pay Costs","Balance Sheet","OLYMPUS KEYMED",13612357,88200.36,"CD1689814"
"Department of Health","Portsmouth Hospitals Trust","07/10/2011","Capital Non Pay Costs","Balance Sheet","OLYMPUS KEYMED",13730002,36372.48,"CD1696636"
"Department of Health","Portsmouth Hospitals Trust","11/10/2011","Capital Non Pay Costs","Balance Sheet","SIEMENS HEALTHCARE",13669270,76283,"1020216071"
"Department of Health","Portsmouth Hospitals Trust","04/10/2011","Commercial Sector","B`STOKE DIALYSIS","FRESENIUS MEDICALCARE RENAL SERVICES LTD",13668766,49773.31,"1060018306"
"Department of Health","Portsmouth Hospitals Trust","04/10/2011","Commercial Sector","CHANDLERS FORD DIALYSIS","FRESENIUS MEDICAL CARE LTD",13668781,79911.8,"1060018311"
"Department of Health","Portsmouth Hospitals Trust","04/10/2011","Commercial Sector","CHANDLERS FORD DIALYSIS","FRESENIUS MEDICAL CARE LTD",13668783,46830.49,"1160001931"
"Department of Health","Portsmouth Hospitals Trust","05/10/2011","Commercial Sector","MILFORD DIALYSIS","RENAL SERVICES MILFORD OPERATIONS LTD",13729215,25133.46,"315"
"Department of Health","Portsmouth Hospitals Trust","05/10/2011","Commercial Sector","SALISBURY DIALYSIS","RENAL SERVICES SALISBURY OPERATIONS LTD",13729239,50851.41,"86"
"Department of Health","Portsmouth Hospitals Trust","28/10/2011","Computer Maintenance","ICT SERVICES DISTRICT","TAYLOR MADE COMPUTER SOLUTIONS LTD",13788804,17839.05,"SIN031187"
"Department of Health","Portsmouth Hospitals Trust","28/10/2011","Computer Maintenance","ICT SERVICES PHT","TAYLOR MADE COMPUTER SOLUTIONS LTD",13788804,17839.03,"SIN031187"
"Department of Health","Portsmouth Hospitals Trust","07/10/2011","Computer Network Costs","RESIDENCES","SOVISION LTD",13729449,60768,"25623"
"Department of Health","Portsmouth Hospitals Trust","25/10/2011","Drugs","Renal senior team","POLAR SPEED DISTRIBUTION LTD",13844774,31968.16,"0000132654"
"Department of Health","Portsmouth Hospitals Trust","14/10/2011","ERet Provn Staff O Bal NC","Balance Sheet","NHS PENSIONS AGENCY",13729049,28005.4,"886094"
"Department of Health","Portsmouth Hospitals Trust","05/10/2011","External Consultancy Fees","CHIEF EXECS TEAM","ONE-OFF SUPPLIER",13729676,59100.42,"113509-03-OCT-2011"
"Department of Health","Portsmouth Hospitals Trust","04/10/2011","External Consultancy Fees","FINANCE DIRECTORS BUDGET","DELOITTE & TOUCHE LLP",13729221,21916,"1110708820"
"Department of Health","Portsmouth Hospitals Trust","03/10/2011","FP10S","FP10S TO RECHARGE","NHS BUSINESS SERVICES AUTHORITY",13691439,67051.97,"PHS1000028875"
"Department of Health","Portsmouth Hospitals Trust","04/10/2011","Laboratory Test Kits","MICROBIOLOGY","BECTON DICKINSON UK LTD",13606682,36045.6,"110051526"
"Department of Health","Portsmouth Hospitals Trust","28/10/2011","Laboratory Test Kits","MICROBIOLOGY","ROCHE DIAGNOSTICS LTD",13759135,70696.49,"3571154159"
"Department of Health","Portsmouth Hospitals Trust","18/10/2011","Limbs","LIMBS","OTTO BOCK HEALTHCARE PLC",13737580,23868.48,"231000177"
"Department of Health","Portsmouth Hospitals Trust","11/10/2011","Med & Surg Equip General","RESPIRATORY MED STAFF","RESMED UK LTD",13678641,26880,"2020126445"
"Department of Health","Portsmouth Hospitals Trust","18/10/2011","Med & Surg Maint Contract","RADIOTHERAPY","VARIAN LTD",13789377,29390,"602100521"
"Department of Health","Portsmouth Hospitals Trust","03/10/2011","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",13661092,176386.03,"1012091459"
"Department of Health","Portsmouth Hospitals Trust","14/10/2011","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",13699632,153653.03,"1012095858"
"Department of Health","Portsmouth Hospitals Trust","14/10/2011","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",13729225,144407.54,"1012101092"
"Department of Health","Portsmouth Hospitals Trust","24/10/2011","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",13765212,164984.15,"1012103704"
"Department of Health","Portsmouth Hospitals Trust","24/10/2011","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",13788814,138694.21,"1012070402"
"Department of Health","Portsmouth Hospitals Trust","24/10/2011","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",13804503,161231.24,"1012108976"
