"#","Page","Popularity","Impressions","Sessions","Re-Visits"
"1","other directgov subsite > en > searchresults  search results : directgov - search results",0.06,"613,992","294,072",0.53
"2","other directgov subsite > en > directgov home page >  website of the uk government : directgov",0.05,"590,655","486,576",0.18
"3","employment > en > jobseekers/lookingforwork/ dg_10030134 find a job now : directgov - employment",0.03,"319,248","284,597",0.12
"4","motoring > en >  dg_174859 did you know... : directgov - motoring",0.02,"215,319","189,583",0.13
"5","education and learning > en > universityandhighereducation/studentfinance/  student finance : directgov - education and learning",0.02,"191,103","144,159",0.25
"6","other directgov subsite > other dg_186302 book your dsa practical driving test online : directgov - motoring",0.02,"175,129","94,294",0.47
"7","motoring > en >   motoring : directgov",0.01,"166,628","125,082",0.26
"8","employment > en > jobseekers/  jobseekers : directgov - employment",0.01,"166,542","142,398",0.15
"9","other directgov subsite > other dg_186303 check, change or cancel your dsa practical driving test online : directgov - motoring",0.01,"156,472","137,226",0.13
"10","employment > en >   employment : directgov",0.01,"132,548","104,899",0.22
"11","other directgov subsite > other dg_186295 book your dsa driving theory test online : directgov - motoring",0.01,"121,934","57,607",0.53
"12","motoring > en > learnerandnewdrivers/  learners and new drivers and riders : directgov - motoring",0.01,"98,443","76,953",0.23
"13","employment > en > jobseekers/contactjobcentreplus/ dg_186347 how to contact jobcentre plus : directgov - employment",0.01,"94,959","78,665",0.18
"14","money tax and benefits > en >   money, tax and benefits : directgov",0.01,"94,801","73,362",0.23
"15","travel and transport > en > passports/  passports : directgov - travel and transport",0.01,"91,988","67,688",0.27
"16","directories > en >   directories : directgov - directories",0.01,"84,122","61,194",0.28
"17","employment > en > jobseekers/lookingforwork/  looking for work : directgov - employment",0.01,"80,139","65,326",0.19
"18","motoring > en > learnerandnewdrivers/practicaltest/  practical test : directgov - motoring",0.01,"75,759","56,204",0.27
"19","money tax and benefits > en > benefitstaxcreditsandothersupport/  benefits and financial support : directgov - money, tax and benefits",0.01,"73,657","51,910",0.30
"20","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022088 change of name and address on your driving licence : directgov - motoring",0.01,"71,674","54,839",0.24
"21","money tax and benefits > en > benefitstaxcreditsandothersupport/employedorlookingforwork/ dg_10018757 jobseeker's allowance : directgov - money, tax and benefits",0.01,"63,750","51,526",0.20
"22","motoring > en > owningavehicle/howtotaxyourvehicle/ dg_10012524 the cost of vehicle tax for cars, motorcycles, light goods vehicles and trade licences : directgov - motoring",0.01,"61,297","54,341",0.12
"23","do it online > en >  dg_178228 apply for jobseeker's allowance online : directgov - do it online",0.01,"57,109","49,786",0.14
"24","do it online > en > doitonlinebycategory/ dg_172666 benefits adviser service : directgov - do it online",0.01,"56,256","47,807",0.16
"25","do it online > en >   do it online : directgov - do it online",0.00,"54,985","45,592",0.18
"26","motoring > en > learnerandnewdrivers/theorytest/  theory test : directgov - motoring",0.00,"53,072","38,188",0.29
"27","motoring > en > owningavehicle/mot/ dg_10020539 check your vehicle's mot status and history online : directgov - motoring",0.00,"52,052","44,102",0.16
"28","do it online > en >  dg_4017669 take an official practice theory driving test : directgov - do it online",0.00,"52,019","47,837",0.09
"29","government citizens and rights > en > other  dg_073741 bank holidays and british summer time : directgov - government, citizens and rights",0.00,"50,735","47,856",0.07
"30","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022085 replacing your driving licence if lost, stolen, defaced or destroyed : directgov - motoring",0.00,"50,560","38,090",0.25
"31","motoring > en > owningavehicle/howtotaxyourvehicle/  how to tax your vehicle : directgov - motoring",0.00,"49,675","39,948",0.20
"32","pensions and retirement planning > en >   pensions and retirement planning : directgov",0.00,"46,844","33,501",0.29
"33","motoring > en > motoringtransactions/beforeyouapplyc/ dg_066944 apply online to change the address on your driving licence : directgov - motoring",0.00,"46,141","34,232",0.27
"34","pensions and retirement planning > en > statepension/statepensionforecast/ dg_10014008 getting a state pension forecast : directgov - pensions and retirement planning",0.00,"46,077","31,900",0.31
"35","directories > en > localcouncils/atozoflocalcouncils/  a to z of local councils : directgov - directories",0.00,"42,748","8,472",0.80
"36","pensions and retirement planning > en > statepension/ dg_4017919 calculating your state pension age : directgov - pensions and retirement planning",0.00,"39,532","25,073",0.37
"37","motoring > en > motoringtransactions/beforeyouapplya/ dg_10032690 apply online for a first provisional driving licence : directgov - motoring",0.00,"39,118","29,610",0.25
"38","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_10012514 applying for a provisional driving licence : directgov - motoring",0.00,"38,632","28,994",0.26
"39","motoring > en > motoringtransactions/beforeyouapplyd/ dg_174531 what you need to know : directgov - motoring",0.00,"38,531","29,979",0.23
"40","pensions and retirement planning > en > benefits/benefitsinretirement/ dg_10018657 winter fuel payment : directgov - pensions and retirement planning",0.00,"38,481","28,295",0.27
"41","other directgov subsite > other dg_187178 car theory test one: directgov - practical theory test",0.00,"38,407","32,982",0.15
"42","directories > en > usefulcontactsbycategory/educationandlearningcontacts/ dg_172310 student finance england : directgov - directories",0.00,"38,332","29,784",0.23
"43","travel and transport > en > passports/howlongittakesandurgentappplications/ dg_174109 table of passport fees, how to pay and refunds : directgov - travel and transport",0.00,"38,197","33,277",0.14
"44","education and learning > en >   education and learning : directgov",0.00,"36,776","28,775",0.23
"45","motoring > en > motoringtransactions/beforeyouapplyc/ dg_067507 apply online to replace your driving licence : directgov - motoring",0.00,"35,964","27,296",0.25
"46","travel and transport > en > passports/renewingorextendingyourpassport/ dg_174097 the application form, fee and supporting documents for renewing an adult passport : directgov - travel and transport",0.00,"34,612","26,999",0.23
"47","motoring > en > driverlicensing/needaneworupdatedlicence/  need a new or updated licence : directgov - motoring",0.00,"34,107","24,934",0.28
