Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"46,464.24",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"53,397.36",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2013,CONSULTANCY FEES,DIRECTOR OF FACILITIES MANAGEMENT,TOPSCAN UK LTD,"41,086.99",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2013,MINOR CLINICAL EQUIPMENT,DIRECTOR OF SERVICE DELIVERY - GENERAL MEDICINE & A&E LINCOLN,MEDTRONIC LTD,"30,000.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/08/2013,AGENCY STAFF CONSULTANTS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,NL MANAGED SERVICES LTD,"26,586.71",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"58,309.44",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"35,924.23",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"51,557.28",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"32,175.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"47,905.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"25,354.08",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"43,840.32",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,CELGENE LIMITED,"52,416.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"28,755.92",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"27,243.40",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"55,607.90",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"37,895.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"28,600.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"26,718.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"75,189.60",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"37,895.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/08/2013,SW SUPPORT,DIRECTOR OF NURSING & PATIENT SERVICES,ACCENTURE UK LTD,"77,718.83",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/08/2013,SW SUPPORT,DIRECTOR OF NURSING & PATIENT SERVICES,ACCENTURE UK LTD,"82,894.59",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/08/2013,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"116,216.84",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/08/2013,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,EDF ENERGY 1 LIMITED,"71,857.44",Aug-13
