Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (œ)",Total Cost of Use of Official Secure Car,Book through
"Montgomery, Sir Charles Percival",03/01/2016,,Ankara Esenboga,EXTERNAL MEETING,Air Tickets,Economy,,,171.43,,Redfern
"Montgomery, Sir Charles Percival",03/01/2016,,Istanbul,EXTERNAL MEETING,Air Tickets,Business,,,884.64,,Redfern
"Duffy, Mr. Philip",04/01/2016,,,To travell accros London to waterloo,"T&S - Planes, Trains and Automobiles",,,,1.50,,
"Duffy, Mr. Philip",04/01/2016,,Portsmouth Harbour,CONFERENCE/EVENT,Rail,Standard,,,73.83,,Redfern
"Martin, Mr. Ian Richard",04/01/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,8.07,,Redfern
"Cunningham, Mr. Michael Bernard",05/01/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,179.48,,Redfern
"Cunningham, Mr. Michael Bernard",05/01/2016,,,INTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Hepple, Mr. Tyson Julian",05/01/2016,,,Train fare - Victoria to East Croydon,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,6.10,,
"Hepple, Mr. Tyson Julian",05/01/2016,,,Train fare - Victoria to East Croydon,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,6.10,,
"Hepple, Mr. Tyson Julian",05/01/2016,,East Croydon,INTERNAL MEETING,Rail,Standard,,,6.76,,Redfern
"Martin, Mr. Ian Richard",05/01/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,61.35,,Redfern
"Montgomery, Sir Charles Percival",05/01/2016,,Istanbul,EXTERNAL MEETING,Air Tickets,Economy,,,174.08,,Redfern
"Montgomery, Sir Charles Percival",05/01/2016,,Izmir,EXTERNAL MEETING,Air Tickets,Economy,,,171.43,,Redfern
"Webb, Mr. Stephen",05/01/2016,,,visit to Sussex police HQ,Taxis,,,,6.00,,
"Webb, Mr. Stephen",05/01/2016,,Lewes,EXTERNAL MEETING,Rail,Standard,,,28.29,,Redfern
"Wilkinson, Miss Sarah Fay",05/01/2016,,,Visit Chief Constable Giles York,T&S - Employee Reimbursed Mileage,,,,54.40,,
"Cunningham, Mr. Michael Bernard",06/01/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,314.14,,Redfern
"Hills, Mr. Gareth David",06/01/2016,,Sheffield,CONFERENCE/EVENT,,,Hotel Standard,,75.35,,Redfern
"Hills, Mr. Gareth David",06/01/2016,,Sheffield,CONFERENCE/EVENT,Rail,Standard,,,28.07,,Redfern
"Spencer, Dr. Fiona Margaret",06/01/2016,,,MPLA PAC with Tony Meggs,T&S - Employee Reimbursed Mileage,,,,43.20,,
"Hills, Mr. Gareth David",07/01/2016,,Stevenage,CONFERENCE/EVENT,Rail,Standard,,,70.51,,Redfern
"Otter, Mr. Stephen Anthony",07/01/2016,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,34.08,,Redfern
"Hepple, Mr. Tyson Julian",08/01/2016,,,Taxi from Leeds station to Quarry House,Taxis,,,,5.20,,
"Hepple, Mr. Tyson Julian",08/01/2016,,,Taxi from Leeds station to Quarry House,Taxis,,,,5.20,,
"Hepple, Mr. Tyson Julian",08/01/2016,,,Taxi from Quarry House to Leeds station,Taxis,,,,5.80,,
"Hepple, Mr. Tyson Julian",08/01/2016,,,Taxi from Quarry House to Leeds station,Taxis,,,,5.80,,
"Hepple, Mr. Tyson Julian",08/01/2016,,Leeds,INTERNAL MEETING,Rail,Standard,,,122.72,,Redfern
"Martin, Mr. Ian Richard",08/01/2016,,,Meeting with Neil Hughes - easiest and most time efficient place to meet.  Needed urgently to clarify key transformation issues.,T&S - Employee Reimbursed Mileage,,,,29.60,,
"Storr, Mr. Peter Richard",10/01/2016,,,Single ticket from Gatwick airport to London Victoria -,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,15.40,,
"Storr, Mr. Peter Richard",10/01/2016,,,Train ticket from London Victoria to Gatwick airport,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,15.40,,
"Storr, Mr. Peter Richard",10/01/2016,,Vienna,EXTERNAL MEETING,Air Tickets,Economy,,,202.58,,Redfern
"Storr, Mr. Peter Richard",10/01/2016,,Vienna,INTERNAL MEETING,,,Hotel (Foreign) Room,,244.40,,Redfern
"Cunningham, Mr. Michael Bernard",11/01/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,9.09,,Redfern
"Cunningham, Mr. Michael Bernard",11/01/2016,,London Heathrow,INTERNAL MEETING,,,Hotel Standard- One- Queen Size,,250.71,,Redfern
"Martin, Mr. Ian Richard",11/01/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.96,,Redfern
"Otter, Mr. Stephen Anthony",11/01/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,87.76,,Redfern
"Robbins, Mr. Oliver",11/01/2016,,,DETACHED DUTY,Air Fee,,,,"4,053.84",,Redfern
"Storr, Mr. Peter Richard",11/01/2016,,London Heathrow,EXTERNAL MEETING,Air Tickets,Economy,,,150.31,,Redfern
"Thomson, Mr. Mark David",11/01/2016,,,Breakfast and Dinner in Durham.  Dinner receipt attached.,T&S - Subsistence,,,,26.00,,
"Thomson, Mr. Mark David",11/01/2016,,Durham,CONFERENCE/EVENT,Rail,Standard,,,79.79,,Redfern
"Thomson, Mr. Mark David",11/01/2016,,Newcastle,CONFERENCE/EVENT,,,Hotel Room,,189.40,,Redfern
"Cunningham, Mr. Michael Bernard",12/01/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,209.73,,Redfern
"Foy, Mr. Timothy John",12/01/2016,,,Late night working. Taxi from 2MS to Waterloo,Taxis,,,,7.00,,
"Martin, Mr. Ian Richard",12/01/2016,,East Croydon,INTERNAL MEETING,Rail,Standard,,,41.20,,Redfern
"Montgomery, Sir Charles Percival",12/01/2016,,,TFL: St Pancras - Waterloo post EMA visit,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Montgomery, Sir Charles Percival",12/01/2016,,EAST MIDLANDS PARKWAY,EXTERNAL MEETING,Rail,Standard,,,76.49,,Redfern
"Otter, Mr. Stephen Anthony",12/01/2016,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,87.76,,Redfern
"Thomson, Mr. Mark David",12/01/2016,,,Breakfast and Dinner in Durham,T&S - Subsistence,,,,26.00,,
"Calam, Ms. Mary-Jane",13/01/2016,,,Business Travel,Taxis,,,,102.56,,
"Kershaw, Mr. Stephen Edward",13/01/2016,,Humberside,INTERNAL MEETING,,,Hotel Room,,80.88,,Redfern
"Kershaw, Mr. Stephen Edward",13/01/2016,,Lincoln Central,INTERNAL MEETING,Rail,Standard,,,78.52,,Redfern
"Martin, Mr. Ian Richard",13/01/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.96,,Redfern
