Bathing Waters (2006/7/EC) Directive,,,,,,,,,,,,,,,
5 year summary of compliance for the United Kingdom,,,,,,,,,,,,,,,
Excellent Standard,,,,,,,,,,,,,,,
,,Idenitfied Waters,,,,,Number complying,,,,,Percentage meeting standard,,,
Country,2015,2016,2017,2018,2019,2015,2016,2017,2018,2019,2015,2016,2017,2018,2019
England,415,,,,,264,,,,,63.6,,,,
Wales,102,,,,,82,,,,,80.4,,,,
Scotland,84,,,,,17,,,,,20.2,,,,
Northern Ireland,23,,,,,14,,,,,60.9,,,,
UK,624,,,,,377,,,,,60.4,,,,
Good Standard,,,,,,,,,,,,,,,
,,Idenitfied Waters,,,,,Number complying,,,,,Percentage meeting standard,,,
Country,2015,2016,2017,2018,2019,2015,2016,2017,2018,2019,2015,2016,2017,2018,2019
England,415,,,,,110,,,,,26.5,,,,
Wales,102,,,,,16,,,,,15.7,,,,
Scotland,84,,,,,38,,,,,45.2,,,,
Northern Ireland,23,,,,,7,,,,,30.4,,,,
UK,624,,,,,171,,,,,27.4,,,,
Sufficient Standard,,,,,,,,,,,,,,,
,,Idenitfied Waters,,,,,Number complying,,,,,Percentage meeting standard,,,
Country,2015,2016,2017,2018,2019,2015,2016,2017,2018,2019,2015,2016,2017,2018,2019
England,415,,,,,29,,,,,7,,,,
Wales,102,,,,,4,,,,,3.9,,,,
Scotland,84,,,,,12,,,,,14.3,,,,
Northern Ireland,23,,,,,2,,,,,8.7,,,,
UK,624,,,,,47,,,,,7.5,,,,
Poor Standard,,,,,,,,,,,,,,,
,,Idenitfied Waters,,,,,Number complying,,,,,Percentage meeting standard,,,
Country,2015,2016,2017,2018,2019,2015,2016,2017,2018,2019,2015,2016,2017,2018,2019
England,415,,,,,12,,,,,2.9,,,,
Wales,102,,,,,0,,,,,0,,,,
Scotland,84,,,,,17,,,,,20.2,,,,
Northern Ireland,23,,,,,0,,,,,0,,,,
UK,624,,,,,29,,,,,4.6,,,,
