CPS outcomes by principal offence category wiltshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,84,79.3%,29,20.7%
C Sexual Offences,11,63.6%,1,36.4%
D Burglary,10,82.6%,2,17.4%
E Robbery,8,100.0%,2,0.0%
F Theft And Handling,75,91.1%,8,8.9%
G Fraud And Forgery,9,73.3%,5,26.7%
H Criminal Damage,26,93.1%,4,6.9%
I Drugs Offences,27,97.8%,1,2.2%
J Public Order Offences,19,88.0%,10,12.0%
K All Other Offences (excluding Motoring),22,74.3%,5,25.7%
L Motoring Offences,123,80.5%,23,19.5%
Admin Finalisations,0,0.0%,6,100.0%
TOTAL,414,81.2%,96,18.8%
