PlaceRef,PropDesc,RateableVal,AccountName,LiabStart,PropAddress1,PropAddress2,PropAddress3,PropAddress4,PropAddress5,PropPostCode,Address1,Address2,Address3,Address4,Address5,PostCode,MandRlfCd,DiscRlfCd,AddRlfCd,MandRlf,DiscRlf,AdditionalRlf,SBRRlf,TRDisc/SSBCd,TRDisc/SSBAmt
0023005009,SHOP AND PREMISES,98000,MOTHERCARE LTD,01/04/1990,5-7 ADLINGTON WALK,STOCKPORT,,,,SK1 1PR,C/O R2G LIMITED,UNIT 8 THAME BUSINESS PARK,WENMAN ROAD,THAME,OXON,OX9 3XA,,,,0,0,0,0,,0
0030357119,WAREHOUSE AND PREMISES,21500,RICK CHARNOCK (COMPONENTS) LTD,14/09/2001,UNITS 1 & 2,ADSWOOD ROAD IND ESTATE,ADSWOOD ROAD,ADSWOOD,STOCKPORT,SK3 8LF,UNIT 1 ADSWOOD RD IND ESTATE,ADSWOOD ROAD,ADSWOOD,STOCKPORT,,SK3 8PA,,,,0,0,0,0,,0
0030357069,GARAGE AND PREMISES,18000,ELITE SERVICES LTD,01/04/1990,UNIT 6,ADSWOOD RD IND ESTATE,ADSWOOD ROAD,ADSWOOD,STOCKPORT,SK3 8PA,1A CONWAY ROAD,SALE MOOR,SALE,CHESHIRE,,M33 2TA,,,,0,0,0,0,,0
0030357039,WORKSHOP AND PREMISES,12000,ELITE SERVICES LTD,01/08/1998,UNIT 3,ADSWOOD ROAD INDUSTRIAL  ESTATE,ADSWOOD ROAD,ADSWOOD,STOCKPORT,SK3 8PA,1A CONWAY ROAD,SALE MOOR,SALE,CHESHIRE,,M33 2TA,,,,0,0,0,0,,0
0030357109,WORKSHOP AND PREMISES,10500,POLI-CHROME ENGINEERS (MOULDS) LTD,01/04/1990,UNIT 10,ADSWOOD ROAD INDUSTRIAL  ESTATE,ADSWOOD ROAD,ADSWOOD,STOCKPORT,SK3 8PA,UNIT 10,ADSWOOD ROAD INDUSTRIAL  ESTATE,ADSWOOD ROAD,ADSWOOD,STOCKPORT,SK3 8PA,,,,0,0,0,5040,,0
0030358159,WORKSHOP AND PREMISES,13000,ROCKVALE MOTOR CO LTD,01/10/1991,UNIT 4,ADSWOOD ROAD INDUSTRIAL ESTATE,ADSWOOD ROAD,ADSWOOD,STOCKPORT,SK3 8LF,ROCKVALE HOUSE,ADSWOOD ROAD,STOCKPORT,,,SK3 8LF,,,,0,0,0,0,,0
7371002009,GARAGE AND PREMISES,14750,MOTOR MOVE UK LTD,17/06/1997,2 STANLEY STREET,STOCKPORT,,,,SK1 2NE,BOROUGH PARK,STANLEY STREET,STOCKPORT,,,SK1 2NE,,,,0,0,0,0,,0
0137061009,SHOP AND PREMISES,4650,L ROWLAND & CO (RETAIL) LTD,01/04/1990,61 ARUNDEL AVENUE,HAZEL GROVE,STOCKPORT,,,SK7 5LD,RIVINGTON ROAD,WHITEHOUSE IND ESTATE,RUNCORN,,,WA7 3DJ,,,,0,0,0,0,,0
0205171069,WORKSHOP AND PREMISES,19250,OMNEX PRO FILM LTD,02/12/1993,UNIT 6,AVONDALE IND ESTATE,AVONDALE ROAD,EDGELEY,STOCKPORT,SK3 0UD,UNIT 6 AVONDALE IND EST,171 AVONDALE ROAD,EDGELEY,STOCKPORT,,SK3 0UD,,,,0,0,0,0,,0
0572011009,OFFICES AND PREMISES,10000,LBS MANCHESTER LTD,01/04/1990,11-13 BAMFORD STREET,STOCKPORT,,,,SK1 3NZ,11-13 BAMFORD STREET,STOCKPORT,,,,SK1 3NZ,,,,0,0,0,4800,,0
0652107029,SPORTS GROUND AND PREMISES,13500,STOCKPORT CRICKET CLUB,01/04/1990,CRICKET CLUB,BEECH ROAD,CALE GREEN,STOCKPORT,,SK3 8HD,CRICKET CLUB,BEECH ROAD,CALE GREEN,STOCKPORT,,SK3 8HD,CASC80,CASC20,,5324.4,1331.1,0,0,,0
0740099009,SHOP AND PREMISES,3750,LLOYDS PHARMACY LTD,01/04/1990,99 BLOOM STREET,EDGELEY,STOCKPORT,,,SK3 9LQ,SAPPHIRE COURT,WALSGRAVE TRIANGLE,COVENTRY,,,CV2 2TX,,,,0,0,0,0,,0
0768003009,FACTORY OFFICE AND PREMISES,13000,W THATCHER LTD,01/04/1990,FACTORY,BORRON STREET,PORTWOOD,STOCKPORT,,SK1 2JD,FACTORY,BORRON STREET,PORTWOOD,STOCKPORT,,SK1 2JD,,,,0,0,0,0,,0
