,,,,,
Department for Work and Pensions,,,,"Spending data
(in £m)",
Quarterly Data Summary Quarter 4 2012/13,,,,Actual,Comments
,,,,,
,,,Total Spend,"£41,976.42m",
,,,,,
"(A) Spend 
By Budget Type",,,"(A1) Organisation's own budget (DEL), Sub-Total","£2,068.20m",
,,Of which,Resource (excl. depreciation)*,"£1,959.42m",
,,,Capital*,£108.78m,
,,,"(A2) Expenditure managed by the organisation (AME), Sub-Total","£39,908.22m",
,,Of which the main components are:,State Pension,"£19,745.23m",
,,,Housing Benefits,"£7,051.27m",
,,,Disability Living Allowance,"£3,302.26m",
,,,Pension Credit,"£1,768.46m",
,,,Employment and Support Allowance,"£1,983.29m",
,,,Attendance Allowance,"£1,302.22m",
,,,Other AME Expenditure,"£4,755.49m",
,,,(A3) Other expenditure outside DEL and AME ,£0.00m,
,,,(A1 + A2 + A3) Total Spend,"£41,976.42m",
,,,,,
"(B) Spend 
by type of internal operation",,,"(B1) Cost of running the estate, Sub-Total",£60.25m,
,,"Of which, major components are:",Benchmarked Estates Cost,£60.25m,Figures produced in line with ePIMS guidance. By Agreement with cabinet office; only includes offices exceeding 500 sqm in size and also excludes all jobcentres.
,,,Size in m2 *,"683,144m2",
,,,"(B2) Cost of running IT, Sub-Total",£144.91m,
,,"Of which, major components are:",Desktop *,£14.89m,Cost of Department's Desktop PC solution
,,,Back office systems,£114.63m,IT expenditure not covered in Desktop or Telecommunications definitions.
,,,Telecommunications,£15.38m,"Spend related to fixed and mobile telecoms including equipment and call charges, but excluding voice networks."
,,,"(B3) Cost of corporate services, Sub-Total",£48.85m,
,,"Of which, major components are:",HR *,£16.50m,These figures represent the costs of staff and their associated overheads who undertake specific functions defined in the Common Areas of spend document.  They do not represent the totality of corporate support costs in DWP.  The remaining corporate costs are detailed within section B4 below.  These figures have increased since Quarter 2 as they now include Child Maintenance Group costs.
,,,Finance *,£15.93m,
,,,Procurement *,£5.72m,
,,,Other,£10.70m,
,,,"(B4) Policy and policy implementation, Sub-Total","£41,722.42m",
,,"Of which, major components are:",Operations,"£1,134.55m",Less proportion of accomodation cost
,,,Strategy,£167.60m,
,,,Professional Services,£9.74m,
,,,Finance and Commercial,£51.71m,Excluding Finance and Procurement detailed at B3 above
,,,Human Resources,£47.01m,HR expenditure not covered within the Cabinet Office definition of corporate services
,,,Change Programmes,£190.91m,Excludes depreciation of £66m
,,,Other,-£36.34m,Includes Shared Services and Corporate recoveries
,,,AME Spend,"£39,908.22m",
,,,Child Maintenance Enforcement Commission,£126.82m,
,,,Health and Safety Executive,£46.73m,
,,,Independent Living Fund,£75.48m,
,,,(B5) Other Costs,£0.00m,
,,,(B1 + B2 + B3 + B4 + B5)  Total Spend,"£41,976.42m",
,,,,,
"(C)  Spend 
by type of transaction",,,"(C1) Procurement Costs, Sub-Total",£905.90m,
,,"Of which, major component categories are:",Consultancy & Contingent Labour *,£2.55m,
,,,Construction *,£0.00m,
,,,Marketing and media *,£2.54m,
,,,IS/IT,£210.17m,
,,,Estates,£160.83m,
,,,Employment and Other Programmes,£290.59m,
,,,Pension Programmes,£36.62m,
,,,Other Goods and Services ,£202.61m,
,,,Total Goods & Services spend by major component categories,£905.90m,
,,,,,
,,,"Of which, spend through Govt Procurement Service",£101.84m,
,,,,,
,,"Of which, by supplier type:",SME suppliers*,£233.22m,Includes estimate of indirect spend
,,,Voluntary and Charity Sector suppliers*,£42.34m,Direct spend only
,,,,,
,,,,,
,,,"(C2) People costs, Sub-Total",£794.42m,
,,"Of which, major component costs are:",Payroll Paybill Costs*,£748.58m,
,,,Non Payroll Paybill Costs,£0.00m,
,,,Paid exits,£45.85m,
,,,,,
,,,"(C3) Grants, Sub-Total","£40,276.10",
,,Of which the main components are:,AME Spend,"£39,908.22m",
,,,Housing Benefit,£129.38m,
,,,Independent Living Fund,£72.32m,
,,,Remploy,£45.51m,
,,,Pension Protection Fund,£6.58m,
,,,Financial Assistance Scheme,£29.19m,
,,,EU Grants to Central Government,£29.79m,
,,,Other,£55.11m,
,,,Total by main components (equal to the total by recipient sectors) ,"£40,276.10m",
,,,,,
,,Of which the recipient sectors are:,Central Govt,£28.48m,
,,,Local Govt,£157.34m,
,,,Public corporations,£54.96m,
,,,Voluntary sector,£0.00m,
,,,Private sector,£127.11m,
,,,Other,"£39,908.22m",
,,,Total by recipient sectors (equal to the total by main components) ,"£40,276.10m",
,,,(C4) Other Costs,£0.00m,
,,,(C1 + C2 + C3 + C4) Total Spend,"£41,976.42m",

,* - Items covered by a centrally agreed strategy for which there is cabinet consensus. ,,,,
