CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,5751,84.30%,1073,15.70%
P01-Avon&Somerset,134,79.80%,34,20.20%
P02-Bedfordshire,39,72.20%,15,27.80%
P03-Cambridgeshire,85,87.60%,12,12.40%
P04-Cheshire,100,90.10%,11,9.90%
P06-Cleveland,129,70.50%,54,29.50%
P07-Cumbria,75,87.20%,11,12.80%
P08-Derbyshire,68,87.20%,10,12.80%
P09-Devon&Cornwall,212,80.60%,51,19.40%
P10-Dorset,57,85.10%,10,14.90%
P11-Durham,73,89.00%,9,11.00%
P12-DyfedPowys,56,78.90%,15,21.10%
P13-Essex,152,88.90%,19,11.10%
P14-Gloucestershire,33,82.50%,7,17.50%
P15-GreaterManchester,444,84.70%,80,15.30%
P16-Gwent,69,92.00%,6,8.00%
P17-Hampshire,184,84.00%,35,16.00%
P18-Hertfordshire,65,85.50%,11,14.50%
P19-Humberside,137,87.80%,19,12.20%
P20-Kent,114,85.10%,20,14.90%
P21-Lancashire,348,85.90%,57,14.10%
P22-Leicestershire,97,90.70%,10,9.30%
P23-Lincolnshire,63,76.80%,19,23.20%
P24-Merseyside,269,80.80%,64,19.20%
P25-Metropolitan&City,770,81.10%,179,18.90%
P26-Norfolk,79,86.80%,12,13.20%
P27-Northamptonshire,49,90.70%,5,9.30%
P28-Northumbria,181,87.90%,25,12.10%
P29-NorthWales,157,91.30%,15,8.70%
P30-NorthYorkshire,139,91.40%,13,8.60%
P31-Nottinghamshire,115,87.10%,17,12.90%
P32-SouthWales,245,91.40%,23,8.60%
P33-SouthYorkshire,128,87.70%,18,12.30%
P34-Staffordshire,86,81.10%,20,18.90%
P35-Suffolk,57,93.40%,4,6.60%
P36-Surrey,80,84.20%,15,15.80%
P37-Sussex,142,88.80%,18,11.30%
P38-ThamesValley,71,80.70%,17,19.30%
P39-Warwickshire,39,100.00%,0,0.00%
P40-WestMercia,86,84.30%,16,15.70%
P41-WestMidlands,198,82.80%,41,17.20%
P42-WestYorkshire,99,68.30%,46,31.70%
P43-Wiltshire,27,73.00%,10,27.00%
