Body Name,Service Area,Expense Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Legal Services,05/01/2016,5100089189,"2,037.50",ADDLESHAW GODDARD LLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Community Engagement Services,05/01/2016,5100089015,"43,687.08",AECOM LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Corporate Services,IS Support Services,05/01/2016,5100089121,"10,725.00",AMBERSAIL LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Corporate Services,IS Software & Maintenance,05/01/2016,5100089178,"19,500.00",APPLIED CARD TECHNOLOGIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Project Support Services,05/01/2016,5100089172,"14,049.09",ATKINS LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,05/01/2016,5100089173,"8,642.55",ATKINS LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - IS Support Services,05/01/2016,5100089118,"3,200.00",BT ENGAGE IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Corporate Services,IS Software & Licences,05/01/2016,5100089119,"2,063.70",BT ENGAGE IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - IS Support Services,05/01/2016,5100089122,"3,200.00",BT ENGAGE IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Corporate Services,IS Consumables,05/01/2016,5100089123,"1,600.00",BT ENGAGE IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Corporate Services,CCTV Support Services,05/01/2016,5100089169,"6,662.20",BT ENGAGE IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Computer and Communications Equipment,05/01/2016,5100089170,"7,389.94",BT ENGAGE IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Capital Project Main Contract Works,05/01/2016,1900044788,"50,678.63",C SPENCER LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Corporate Services,Employee Reimbursed Costs,05/01/2016,5100089125,"9,914.00",CHILDCARE VOUCHERS LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Postage Costs,05/01/2016,5100088709,421.65,CITY SPRINT UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Corporate Services,Procurement Services,05/01/2016,5100089149,"14,400.00",CNC PERFORMANCE CONSULTANTS LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Concessionary Reimbursement,05/01/2016,1900044779,956.00,CONNECT CARS LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Corporate Services,IS Consumables,05/01/2016,5100088976,"2,000.00",CORPORATE DIRECT (EUROPE) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Corporate Services,Other Equipment,05/01/2016,5100089017,960.00,DIGITAL HEARING CARE SOLUTIONS LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Print & Media,05/01/2016,5100088801,"8,795.00",DIVA CREATIVE LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Planning Support Services,05/01/2016,5100088802,"6,467.50",DIVA CREATIVE LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Legal Services,05/01/2016,5100089105,"35,264.50",DLA PIPER UK LLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Programme Management Services,05/01/2016,5100089204,"4,800.00",EDGERTON MANAGEMENT SERVICES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Training,05/01/2016,1900044790,"2,785.30",FIONA COFFEY CONSULTING LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,05/01/2016,5100089176,"3,960.00",FIRCROFT ENGINEERING SERVICES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,05/01/2016,5100089198,"8,470.00",FIRCROFT ENGINEERING SERVICES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Engineering Support Services,05/01/2016,5100088496,"9,801.13",GUTTERIDGE HASKINS AND DAVEY LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,"Rent, Rates & Service Charges",05/01/2016,1900044733,"1,125.00",JEAN HUANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Street Furniture Equipment,05/01/2016,5100089099,"3,989.49",JONES LIGHTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Concessionary Reimbursement,05/01/2016,1900044775,"1,463.00",METRO TAXIS LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Metrolink Operating Costs,05/01/2016,5100089127,"1,255,411.80",METROLINK RATP DEV LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
