CPS outcomes by principal offence category gloucestershire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,75,85.2%,13,14.8%
C Sexual Offences,9,81.8%,2,18.2%
D Burglary,16,100.0%,0,0.0%
E Robbery,1,100.0%,0,0.0%
F Theft And Handling,92,94.8%,5,5.2%
G Fraud And Forgery,3,42.9%,4,57.1%
H Criminal Damage,19,95.0%,1,5.0%
I Drugs Offences,38,95.0%,2,5.0%
J Public Order Offences,26,81.3%,6,18.8%
K All Other Offences (excluding Motoring),15,93.8%,1,6.3%
L Motoring Offences,141,92.2%,12,7.8%
Admin Finalisations,0,0.0%,5,100.0%
TOTAL,435,89.5%,51,10.5%
