Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/11/2016,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1010916,"£26,333.80",CHC VARIOUS CLIENTS SEPTEMBER 2016,
Department of Health,03F,30/11/2016,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH OF ENGLAND CSU,7310006714,"£30,796.00",LOT 2A MEDICINE OPTIMISATION SERVICE OCTOBER 2016,
Department of Health,03F,30/11/2016,Seconded-Basic Sal-Staff fm oth org,CEO/ BOARD OFFICE,NHS ENGLAND,7000021387,"£28,547.00",GEOFF DAY SALARY RECHARGE JULY TO SEPTEMBER 2016,
Department of Health,03F,30/11/2016,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010009100,"£37,668.54",CQUIN QTR 4 ,
Department of Health,03F,30/11/2016,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010009358,"£2,784,701.54",NOVEMBER 2016  BLOCK CONTRACT PAYMENT,
Department of Health,03F,30/11/2016,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010042779,"£36,197.05",NCA SEPTEMBER FLEX 2016,
Department of Health,03F,30/11/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410055903,"£53,062.17",NOVEMBER 2016 BLOCK,
Department of Health,03F,30/11/2016,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410057071,"£54,636.22",Q2 2016-17 ACTUAL ACTIVITY REC,
Department of Health,03F,30/11/2016,Hcare Srv Rec NHS Trust-Prior Year,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810013763,"£30,179.00",A&E CQUINS ESTIMATE Q4 2015/16,
Department of Health,03F,30/11/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810016406,"£824,459.00",CORE A&E CONTRACT EXCLUDING CQUINS NOVEMBER 2016,
Department of Health,03F,30/11/2016,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810016459,"£58,757.45",NHS 111 CONTRACT NOVEMBER 2016,
Department of Health,03F,30/11/2016,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810016501,"£117,810.00",PTS CONTRACT  BLOCK NOVEMBER 16,
Department of Health,03F,30/11/2016,Hcare Srv Rec NHS Trust-Contract Penalties,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,9772,"-£59,003.00",A&E CONTRACT CREDIT IN RESPECT OF ESTIMATED A&E PENALTY CREDIT Q4 2015/16,
Department of Health,03F,30/11/2016,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,9810010770,"£70,171.16",NCA MENTAL HEALTH Q2 JULY TO SEPT 2016,
Department of Health,03F,30/11/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0003692,"£14,383,333.00",MONTHLY BLOCK CONTRACT NOVEMBER 2016,
Department of Health,03F,30/11/2016,CHC RISK POOL CON,BALANCE SHEET,PRIVATE INDIVIDUAL,103320-26-OCT-2016,"£29,738.90",REIMBURSEMENT OF CARE FEES,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,1035780,"£29,501.30",NON PTS SERVICE/PATHOLOGY FEE,
Department of Health,03F,30/11/2016,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HOME-START (HULL),320162017,"£27,191.00",FAMILY SUPPORT SERVICE Q3,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF161708,"£654,604.00",1/12 ESTIMATED ANNUAL CONTRACT NOVEMBER 2016,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULREC161704,"£40,762.69",SAC ACTIVITIES JULY 2016/17,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULREC161705,"£34,178.82",SAC ACTIVITIES AUG 16,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULREC161705A,"£33,038.38",SAC ACTIVITIES AUGUST 2016,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULREC161705CR,"-£34,178.82",CREDIT INV 03FHULREC161705,
Department of Health,03F,30/11/2016,Clinical&Medical-Othe Public Sector,REABLEMENT,HULL CITY COUNCIL,1000236080,"£432,305.00",2016-17 BETTER CARE FUND,
Department of Health,03F,30/11/2016,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000237113,"£40,320.00",2016-17 CONTRIBUTION TO HULL YOUTH JUSTICE SERVICE PARTNERSHIP BUDGET,
Department of Health,03F,30/11/2016,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HULL CITY COUNCIL,1000237525,"£44,442.86",RECHARGE LAC011,
Department of Health,03F,30/11/2016,Clinical&Medical-Othe Public Sector,COLLABORATIVE COMMISSIONING,HULL CITY COUNCIL,1000238082,"£113,397.13",RECHARGE OF COLLAB SERVICES JUL - SEPT 16,
Department of Health,03F,30/11/2016,Training Expenses,NON RECURRENT PROGRAMMES,COMMON PURPOSE CUSTOMISED LTD,10148,"£30,000.00",HULL CCG LEADERSHIP PROGRAMME-INTERIM 50% INSTALMENT,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,1014HC07,"£32,189.02",INTERPRETING SERVICES,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,122364,"£50,226.08",IVF ACTIVITY FOR SEPTEMBER 2016,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,122575,"£45,043.59",ACTIVITY OCT 16,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,1228HC08,"£33,458.04",INTERPRETING SERVICES ,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,1566,"-£54,537.80",CREDIT 2015/16 TEAR END REC WESTBOURNE HC,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800094394,"£314,058.80",EQUIPMENT PURCHASES AND ACTIVITY ,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800094494,"£260,703.58",EQUIPMENT PURCHASE OCT 16,
Department of Health,03F,30/11/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,2134,"£42,110.57",CHC FEES FOR OCTOBER 2016,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,CHILD AND ADOLESCENT MENTAL HEALTH,BLUE MOUNTAIN HOMES LTD,2619,"£25,774.28",LAC AUG 16,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,CHILD AND ADOLESCENT MENTAL HEALTH,BLUE MOUNTAIN HOMES LTD,2651,"£25,104.86",RESPITE YOUNG PERSONS SEPT 16,
Department of Health,03F,30/11/2016,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,301007282,"£69,834.83",HULL CITY EA INVOICE NOV 16,
Department of Health,03F,30/11/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,EAST RIDING OF YORKSHIRE COUNCIL,37818380,"£82,008.74",CHC RECHARGE 09/05/16 - 03/07/16,
Department of Health,03F,30/11/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,48405370,"£78,080.92",WESTBOURNE HC RENTAL SUBSIDY Q1,
Department of Health,03F,30/11/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,48413425,"£50,158.80",15/16 YEAR END RECONCILLIATION,
Department of Health,03F,30/11/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,48447996,"£31,991.25",MARMADUKE HC RENTAL CHARGE APRIL 16 TO MARCH 17 Q1 (APR-JUNE),
Department of Health,03F,30/11/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,48451640,"£31,991.25",MARMADUKE HC RENTAL CHARGE Q2,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410011263,"£48,257.19",WESTBOURNE HC FACILITIES MANAGEMENT QTR 1-3 2015/16,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410011264,"£60,503.64",WESTBOURN HC SERVICE CHARGE QTR 1 - 3 2015/16,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410011265,"£30,280.02",WESTBOURN HC RENT Q1-3 2015/16,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410012304,"£33,630.21",EXPRESSIVE ARTS CENTRE RENT QTR - 3 ,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014449,"£49,687.81",RECHARGE 2015/16 YEAR END REC WESTBOURNE HC,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410015289,"£71,068.77",CQUIN QTR 4 ,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410015300,"£30,255.32",LONGHILL HC RENT APRIL 2016/17,
Department of Health,03F,30/11/2016,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410016138,"£48,005.64",NIGHT SITS JULY 2016,
