Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Health Authorities,27.08.2014,2210503414,6267.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Health Authorities,22.08.2014,2210502094,4373.00,R,L.H.MEDICAL
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Other Local Authorities,11.08.2014,2210480780,2208.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Other Local Authorities,11.08.2014,2210497744,839.60,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Other Local Authorities,11.08.2014,2210497829,533.30,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Other Local Authorities,26.08.2014,2210497428,1372.90,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Other Local Authorities,26.08.2014,2210497434,835.10,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Other Local Authorities,11.08.2014,2210481332,519.70,R,Featherstone Social Work Services
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Other Local Authorities,26.08.2014,2210498609,1023.40,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Other Local Authorities,27.08.2014,2210500666,885.90,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Other Local Authorities,27.08.2014,2210500688,500.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Other Local Authorities,11.08.2014,2210482432,2118.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Other Local Authorities,12.08.2014,2210480371,4194.00,R,SWA SOLUTIONS
Hampshire County Council,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Payments to Other Local Authorities,29.08.2014,2210503124,3994.00,R,SWA SOLUTIONS
Hampshire County Council,ADULT SERVICES,ACM-Mental Health-Winchester,Payments to Health Authorities,18.08.2014,2210486920,2010.18,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
Hampshire County Council,ADULT SERVICES,ACM-Mental Health-Winchester,Payments to Health Authorities,18.08.2014,2210486926,2581.00,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
Hampshire County Council,ADULT SERVICES,ACM-MH Staff North,Payments to Health Authorities,18.08.2014,2210486931,2956.11,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
Hampshire County Council,ADULT SERVICES,ACM-MH Staff North,Payments to Health Authorities,18.08.2014,2210486940,4795.29,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
Hampshire County Council,ADULT SERVICES,ACM-MH Staff North,Payments to Health Authorities,18.08.2014,2210486974,3714.20,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
Hampshire County Council,ADULT SERVICES,ACM-MH-Access & Assessment Team,Payments to Health Authorities,18.08.2014,2210486901,2446.11,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
Hampshire County Council,ADULT SERVICES,ACM-MH-Crisis Resolution Team-MidHants,Payments to Health Authorities,18.08.2014,2210486914,1951.92,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
Hampshire County Council,ADULT SERVICES,ACM-O.T. Staffing-E'leigh & TV Sth,Payments to Voluntary bodies,18.08.2014,9400043935,876.38,R,DEPENDABILITY LTD
Hampshire County Council,ADULT SERVICES,ACM-Occup Therapy-Win & TV Nrth,Payments to Voluntary bodies,18.08.2014,9400043935,2629.14,R,DEPENDABILITY LTD
Hampshire County Council,ADULT SERVICES,Adoption and Fostering Marketing,Adverstising (non staff),15.08.2014,2210484911,3500.00,R,KOOZAI LTD
Hampshire County Council,ADULT SERVICES,Adoption and Fostering Marketing,Adverstising (non staff),21.08.2014,2210498616,3500.00,R,KOOZAI LTD
Hampshire County Council,ADULT SERVICES,Adoption and Fostering Marketing,Adverstising (non staff),04.08.2014,2210462156,16475.39,R,M4C
Hampshire County Council,ADULT SERVICES,Adoption and Fostering Marketing,Adverstising (non staff),19.08.2014,2210491552,513.34,R,NEWSQUEST HAMPSHIRE & DORSET
Hampshire County Council,ADULT SERVICES,Adoption and Fostering Marketing,Adverstising (non staff),13.08.2014,2210481210,790.00,R,PARTRIDGE & PRINT LTD
Hampshire County Council,ADULT SERVICES,C&F Supported Lodgings Contract,Client Lodgings and Accommodation,18.08.2014,9400043874,7379.40,R,STONHAM HOUSING ASSOCIATION
Hampshire County Council,ADULT SERVICES,C&F Supported Lodgings Contract,Client Lodgings and Accommodation,18.08.2014,9400043875,12012.00,R,TWO SAINTS LTD
Hampshire County Council,ADULT SERVICES,C&F Supported Lodgings Contract,Client Lodgings and Accommodation,18.08.2014,9400043876,9609.60,R,TWO SAINTS LTD
Hampshire County Council,ADULT SERVICES,DAAT-Accommodation Based Recovery Servs,Payments to Voluntary bodies,18.08.2014,9400043835,5475.71,R,STEP BY STEP PARTNERSHIP LTD
Hampshire County Council,ADULT SERVICES,DAAT-Accommodation Based Recovery Servs,Payments to Voluntary bodies,18.08.2014,9400043807,5927.30,R,TWO SAINTS LTD
Hampshire County Council,ADULT SERVICES,DAAT-Carers Support Services,Payments to Voluntary bodies,19.08.2014,9400044131,4615.35,R,PARENT SUPPORT LINK
Hampshire County Council,ADULT SERVICES,DAAT-Carers Support Services,Payments to Voluntary bodies,19.08.2014,9400044131,4615.35,R,PARENT SUPPORT LINK
Hampshire County Council,ADULT SERVICES,DAAT-Carers Support Services,Payments to Voluntary bodies,19.08.2014,9400044131,4615.35,R,PARENT SUPPORT LINK
Hampshire County Council,ADULT SERVICES,DAAT-Carers Support Services,Payments to Voluntary bodies,19.08.2014,9400044131,4615.35,R,PARENT SUPPORT LINK
Hampshire County Council,ADULT SERVICES,DAAT-Carers Support Services,Payments to Voluntary bodies,19.08.2014,9400044131,4450.52,R,PARENT SUPPORT LINK
Hampshire County Council,ADULT SERVICES,DAAT-Carers Support Services,Payments to Voluntary bodies,19.08.2014,9400044131,4615.35,R,PARENT SUPPORT LINK
Hampshire County Council,ADULT SERVICES,DAAT-Community Drug & Alcohol Services,Payments to Health Authorities,18.08.2014,9400043653,191993.24,R,SOLENT NHS TRUST
Hampshire County Council,ADULT SERVICES,DAAT-Community Drug & Alcohol Services,Payments to Health Authorities,18.08.2014,9400043653,255971.08,R,SOLENT NHS TRUST
Hampshire County Council,ADULT SERVICES,DAAT-Community Treatment Services(Other),Payments to Private Contractors,18.08.2014,9400043914,1380.82,R,BREAKING FREE ONLINE LTD
Hampshire County Council,ADULT SERVICES,DAAT-Community Treatment Services(Other),Payments to Private Contractors,18.08.2014,9400044124,4219.79,R,INTUITIVE RECOVERY
Hampshire County Council,ADULT SERVICES,DAAT-Community Treatment Services(Other),Payments to Private Contractors,18.08.2014,9400044124,4219.79,R,INTUITIVE RECOVERY
Hampshire County Council,ADULT SERVICES,DAAT-Community Treatment Services(Other),Payments to Private Contractors,18.08.2014,9400044124,4219.79,R,INTUITIVE RECOVERY
Hampshire County Council,ADULT SERVICES,DAAT-Community Treatment Services(Other),Payments to Private Contractors,18.08.2014,9400044124,4219.79,R,INTUITIVE RECOVERY
Hampshire County Council,ADULT SERVICES,DAAT-Community Treatment Services(Other),Payments to Private Contractors,18.08.2014,9400044124,4219.79,R,INTUITIVE RECOVERY
Hampshire County Council,ADULT SERVICES,DAAT-Community Treatment Services(Other),Payments to Private Contractors,18.08.2014,9400044124,4069.08,R,INTUITIVE RECOVERY
