"Table 3.5. Total UK Bilateral, DAC Bilateral and Multilateral Net ODA (Europe) 2008 - 2012",,,,,
,,,,,
,,,,,£ thousands
,,UK Net Bilateral ODA,    of which: Debt Relief,"Total DAC Countries ODA1,2","Total DAC Multilateral Agencies ODA1,2"
,, , ,,
Europe,,,,,
Albania,2008,  1 533 , - ,  148 052 ,  47 593 
,2009,1 400 , - ,  157 214 ,  64 270 
,2010, 560 , - ,  146 800 ,  65 828 
,2011, 425 , - ,  128 972 ,  85 560 
,2012, 643 , - ,,
,,   ,   ,,
Armenia,2008,  3 647 ,   847 ,  115 448 ,  50 462 
,2009, 650 , - ,  150 453 ,  185 786 
,2010, 315 , - ,  133 255 ,  86 463 
,2011, 226 , - ,102 771 ,127 447 
,2012, 882 , - ,,
,,   ,   ,,
Azerbaijan,2008,  1 033 , - ,  66 346 ,  40 214 
,2009, 905 , - ,  79 378 ,  45 902 
,2010, 559 , - ,  39 139 ,  49 408 
,2011, 598 , - ,  109 855 ,  55 490 
,2012,1 335 , - ,,
,,   ,   ,,
Belarus,2008,   601 , - ,  32 228 ,  15 426 
,2009, 392 , - ,  39 148 ,  10 762 
,2010, 238 , - ,  52 264 ,  23 840 
,2011, 77 , - ,42 498 ,20 764 
,2012, 554 , - ,,
,,,,,
Bosnia-Herzegovina,2008,  5 161 , - ,  177 732 ,  66 810 
,2009,6 150 , - ,  176 964 ,  65 403 
,2010,6 268 , - ,  157 768 ,  154 388 
,2011,2 990 , - ,  157 895 ,  202 046 
,2012,2 256 , - ,,
,,   ,   ,,
Croatia,2008,   779 , - ,  27 193 ,  103 283 
,2009,1 200 , - ,  19 667 ,  85 627 
,2010, 679 , - ,  23 872 ,  70 684 
,2011, - , - ,-,-
,2012, - , - ,-,-
,,   ,   ,,
Georgia,2008,  7 090 ,   772 ,  319 737 ,  156 210 
,2009,4 638 , - ,  279 076 ,  276 227 
,2010,2 223 , - ,  226 639 ,  160 934 
,2011,1 989 , - ,  197 135 ,  160 270 
,2012,4 275 , - ,,
,,   ,   ,,
"Macedonia, FYR",2008,  1 181 , - ,  77 920 ,  27 342 
,2009,1 250 , - ,  85 358 ,  33 393 
,2010, 743 , - ,  61 503 ,  39 942 
,2011, 620 , - ,46 293 ,67 704 
,2012,1 373 , - ,,
,,   ,   ,,
Moldova,2008,  3 370 ,   173 ,  63 102 ,  88 963 
,2009,2 059 ,   297 ,  61 549 ,  88 392 
,2010,9 365 ,   365 ,  58 550 ,  225 228 
,2011,1 516 ,   378 ,  65 809 ,  209 696 
,2012,1 181 ,-,,
,,,,,
Montenegro,2008,   407 , - ,  33 527 ,  17 648 
,2009, 292 , - ,  29 981 ,  15 173 
,2010, 135 , - ,  27 867 ,  16 400 
,2011, 203 , - ,16 533 ,54 715 
,2012, 488 , - ,,
,,   ,   ,,
Serbia,2008,  6 660 , - ,  299 154 ,  213 309 
,2009,4 945 , - ,  174 435 ,  208 526 
,2010,3 498 , - ,  202 689 ,  217 471 
,2011,1 517 , - ,  158 126 ,  681 442 
,2012,3 280 , - ,,
,,,,,
Kosovo,2010,6 142 , - ,  180 831 ,  202 392 
,2011,  7 607 , - ,173 074 ,220 472 
,2012,10 291 , - ,,
,,   ,   ,,
States Ex-Yugoslavia,2008, - , - ,  14 392 ,  12 773 
,2009, - , - ,  5 871 ,  3 239 
,2010, - , - ,  3 982 ,  5 795 
,2011, - , - ,  8 644 ,   874 
,2012, - , - ,,
,,   ,   ,,
Turkey,2008, 2 515 , - ,  364 600 ,  248 074 
,2009,1 427 , - ,  357 321 ,  511 981 
,2010,2 429 , - ,  475 610 ,  191 793 
,2011,3 438 , - ,247 341 , 1 738 027 
,2012,8 617 , - ,,
,,   ,   ,,
Ukraine,2008,  1 773 , - ,  158 232 ,  160 355 
,2009,1 518 , - ,  254 121 ,  148 539 
,2010, 543 , - ,  254 202 ,  126 139 
,2011, 829 , - ,  303 982 ,  181 015 
,2012,3 041 , - ,,
,,   ,   ,,
"Europe, regional",2008,  6 449 , - ,  252 086 ,  201 161 
,2009,2 560 , - ,  265 625 ,  223 884 
,2010,6 106 , - ,  300 794 ,  330 195 
,2011, 131 , - ,294 357 ,276 167 
,2012, 139 , - ,,
,,   ,   ,,
TOTAL EUROPE,2008,  42 200 ,  1 791 , 2 149 749 , 1 449 622 
,2009,  36 924 ,   297 , 2 410 622 , 2 179 548 
,2010,  39 805 ,   365 , 2 345 765 , 1 966 900 
,2011,  22 167 ,   378 , 2 053 286 , 4 081 689 
,2012,38 355 ,-,,
,,,,,
1.   Data for 2012 is not yet available.,,,,,
2.   DAC Countries and DAC Multilaterals data sourced from the OECD DAC Online Database. DAC 2011 annual exchange rates were used to convert from USD.,,,,,
,,,,,
3.   Kosovo was added to the OECD DAC's list of ODA eligible countries from 2009.,,,,,
