Donor,2004,2005,2006,2007,2008,2009,2010,2011,2012 (preliminary),Notes
Canada,0.27,0.34,0.29,0.29,0.33,0.3,0.34,0.32,0.32,
France,0.41,0.47,0.47,0.38,0.39,0.47,0.5,0.46,0.46,
Germany,0.28,0.36,0.36,0.37,0.38,0.35,0.39,0.39,0.38,
Italy,0.15,0.29,0.2,0.19,0.22,0.16,0.15,0.2,0.13,
Japan,0.19,0.28,0.25,0.17,0.19,0.18,0.2,0.18,0.17,
Russia,,,,,,,0.03,0.03,0.03,
United Kingdom,0.36,0.47,0.51,0.36,0.43,0.51,0.57,0.56,0.56,
United States,0.17,0.23,0.18,0.16,0.18,0.21,0.21,0.2,0.19,
Total DAC,0.25,0.32,0.3,0.27,0.3,0.31,0.32,0.31,0.29,
,,,,,,,,,,
Spreadsheet title,,,,,,,,,,"G8 net ODA as a share of Gross National Income, 2004 to 2012 (%)"
Source,,,,,,,,,,"OECD Statistics and Development Finance Division, national data for Russia for 2012"
Note,,,,,,,,,,includes bilateral and imputed multilateral ODA
