Northern Ireland - 3. Radio and Audio,,,,,,,,,,,,,
,,,,,,,,,,,,,
ni-3.1,,,,,,,,,,,,,
,,,,,,,,,,,,,
Figure 3.1,,,,,,,,,,,,,
Number of community radio stations on air: 2006-2012,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,Northern Ireland,Wales,Scotland,,,,,,,,,,
2006,3,1,3,,,,,,,,,,
2007,6,4,8,,,,,,,,,,
2008,9,7,12,,,,,,,,,,
2009,11,8,18,,,,,,,,,,
2010,11,9,18,,,,,,,,,,
2011,12,8,18,,,,,,,,,,
2012,12,8,18,,,,,,,,,,
,,,,,,,,,,,,,
"Source: Ofcom, April 2012",,,,,,,,,,,,,
,,,,,,,,,,,,,
ni-3.2,,,,,,,,,,,,,
,,,,,,,,,,,,,
Figure 3.2,,,,,,,,,,,,,
Availability of radio stations in Northern Ireland,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,Digital ,Analogue,,,,,,,,,,,
BBC local/national,13,8,,,,,,,,,,,
National commercial,4,3,,,,,,,,,,,
Local commercial,5,10,,,,,,,,,,,
Community licences,,12,,,,,,,,,,,
,,,,,,,,,,,,,
"Source: Ofcom, April 2012",,,,,,,,,,,,,
Note: This chart shows the maximum number of stations available in each area; local variations along with reception issues mean that listeners may not be able to access all of these,,,,,,,,,,,,,
,,,,,,,,,,,,,
ni-3.3,,,,,,,,,,,,,
,,,,,,,,,,,,,
Figure 3.3,,,,,,,,,,,,,
Ownership of DAB digital radios,,,,,,,,,,,,,
,,,,,,,,,,,,,
UK 2012,N Ireland 2012,England 2012,Scotland 2012,Wales 2012,,NI urban 2012,NI rural 2012,,N Ireland 2008,N Ireland 2009,N Ireland 2010,N Ireland 2011,N Ireland 2012
38,22,40,29,29,,25,18,,19,19,22,28,22
,,,,,,,,,,,,,
Q4. You said earlier that you have (NUMBER) radio sets in your home that someone in the household listens to in most weeks. How many of these radio sets are digital radios? ,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2012",,,,,,,,,,,,,
"Base: Adults aged 16+ who listen to radio (n = 2963 UK, 405 Wales, 1790 England, 364 Scotland, 404 Northern Ireland, 191 Wales urban, 214 Wales rural, 638 Wales 2008, 848 Wales 2009, 854 Wales 2010, 397 Wales 2011, 405 Wales 2012)",,,,,,,,,,,,,
Note: Remaining percentages are Don’t know responses. ,,,,,,,,,,,,,
NB. Data in 2011 based on those who listen to radio and have any radio sets in the household that someone listens to in most weeks.,,,,,,,,,,,,,
,,,,,,,,,,,,,
ni-3.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Figure 3.4,,,,,,,,,,,,,
Share of radio listening hours via digital and analogue platforms: 2011,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,Not stated,Digital,Analogue,,,,,,,,,,
UK,8%,28%,65%,,,,,,,,,,
England,8%,29%,64%,,,,,,,,,,
Northern Ireland,7%,17%,76%,,,,,,,,,,
Scotland,5%,27%,68%,,,,,,,,,,
Wales,6%,25%,69%,,,,,,,,,,
,,,,,,,,,,,,,
"Source: RAJAR, All adults (15+), year ended Q4 2011",,,,,,,,,,,,,
,,,,,,,,,,,,,
ni-3.5,,,,,,,,,,,,,
,,,,,,,,,,,,,
Figure 3.5,,,,,,,,,,,,,
Average weekly reach and listening hours: year to Q4 2011,,,,,,,,,,,,,
,,,,,,,,,,,,,
,England,Scotland,Wales,Northern Ireland,UK total,,,,,,,,
Average weekly listening (hours),22.5,21.4,23.2,22,22.5,,,,,,,,
Reach,91.1,87.3,93.2,90.1,91,,,,,,,,
,,,,,,,,,,,,,
