Department Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount,VAT registration Number
Department of Health,Salisbury NHS Foundation Trust,07-May-10,INSURANCE COSTS,Nursing Directorate,NHS LITIGATION AUTHORITY,SICX/00047208,283917.6,
Department of Health,Salisbury NHS Foundation Trust,07-May-10,LAB EQUIP-ANALYSERS,Clinical Support and Family Services,ORTHO-CLINICAL DIAGNOSTICS,10004496,143041.44,
Department of Health,Salisbury NHS Foundation Trust,07-May-10,LAB EQUIP-ANALYSERS,Clinical Support and Family Services,ORTHO-CLINICAL DIAGNOSTICS,10004496,25032.25,
Department of Health,Salisbury NHS Foundation Trust,07-May-10,ETS UNITARY CHARGE,Facilities Directorate,SALISBURY HEALTHCARE FACILITIES LTD,57,251947.64,
Department of Health,Salisbury NHS Foundation Trust,07-May-10,ENERGY WATER - GAS MAINS,Facilities Directorate,TOTAL GAS AND POWER LTD,57964010/10,107341.55,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,BLOOD PRODUCTS,Clinical Support and Family Services,NATIONAL BLOOD SERVICE,793781,84836.26,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MED SURG EQUIP REP MAINT CLEANING,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,-121.16,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,PATIENTS BEDWEAR UNISEX,Surgery,NHS LOGISTICS,WSWI744916,-60.6,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Facilities Directorate,NHS LOGISTICS,WSWI744916,-23.83,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.05,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Human Resources,NHS LOGISTICS,WSWI744916,0.15,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Surgery,NHS LOGISTICS,WSWI744916,0.2,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Critical care,NHS LOGISTICS,WSWI744916,0.24,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Human Resources,NHS LOGISTICS,WSWI744916,0.27,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.3,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Medicine,NHS LOGISTICS,WSWI744916,0.3,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,SURGICAL INSTRUMENTS: GENERAL,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.35,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TISSUES HAND TOWELS & TOILET PAPER,Critical care,NHS LOGISTICS,WSWI744916,0.35,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Surgery,NHS LOGISTICS,WSWI744916,0.37,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Medicine,NHS LOGISTICS,WSWI744916,0.38,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Nursing Directorate,NHS LOGISTICS,WSWI744916,0.39,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.39,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Corporate Directorate,NHS LOGISTICS,WSWI744916,0.39,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Surgery,NHS LOGISTICS,WSWI744916,0.39,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.39,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Surgery,NHS LOGISTICS,WSWI744916,0.43,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.44,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Critical care,NHS LOGISTICS,WSWI744916,0.45,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Critical care,NHS LOGISTICS,WSWI744916,0.45,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Facilities Directorate,NHS LOGISTICS,WSWI744916,0.5,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Medicine,NHS LOGISTICS,WSWI744916,0.51,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.51,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Medicine,NHS LOGISTICS,WSWI744916,0.51,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Medicine,NHS LOGISTICS,WSWI744916,0.51,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.51,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.51,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Medicine,NHS LOGISTICS,WSWI744916,0.51,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Clinical Effctiveness Directorate,NHS LOGISTICS,WSWI744916,0.58,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,WSWI744916,0.6,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Medicine,NHS LOGISTICS,WSWI744916,0.6,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.61,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,BEVERAGES & AMBIENT FOOD,Facilities Directorate,NHS LOGISTICS,WSWI744916,0.64,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,COOKING & KITCHEN UTENSILS,Critical care,NHS LOGISTICS,WSWI744916,0.65,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.66,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,WSWI744916,0.66,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TISSUES HAND TOWELS & TOILET PAPER,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.66,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Surgery,NHS LOGISTICS,WSWI744916,0.66,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.68,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TOILETRIES PERSONAL HYGIENE PRODUCTS,Medicine,NHS LOGISTICS,WSWI744916,0.68,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,SURGICAL INSTRUMENTS: GENERAL,Medicine,NHS LOGISTICS,WSWI744916,0.68,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,WSWI744916,0.7,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,WSWI744916,0.7,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Medicine,NHS LOGISTICS,WSWI744916,0.71,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.71,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Surgery,NHS LOGISTICS,WSWI744916,0.76,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DISPOSABLE THEATRE DRAPES WIPES,Surgery,NHS LOGISTICS,WSWI744916,0.77,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.79,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Facilities Directorate,NHS LOGISTICS,WSWI744916,0.81,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,ELECTRICAL EQUIPMENT x,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.81,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TOILETRIES PERSONAL HYGIENE PRODUCTS,Critical care,NHS LOGISTICS,WSWI744916,0.81,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Human Resources,NHS LOGISTICS,WSWI744916,0.82,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Corporate Directorate,NHS LOGISTICS,WSWI744916,0.83,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Corporate Directorate,NHS LOGISTICS,WSWI744916,0.83,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Medicine,NHS LOGISTICS,WSWI744916,0.84,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Critical care,NHS LOGISTICS,WSWI744916,0.87,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,WSWI744916,0.87,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Medicine,NHS LOGISTICS,WSWI744916,0.89,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Corporate Directorate,NHS LOGISTICS,WSWI744916,0.89,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,0.9,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Corporate Directorate,NHS LOGISTICS,WSWI744916,0.9,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Surgery,NHS LOGISTICS,WSWI744916,0.9,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Critical care,NHS LOGISTICS,WSWI744916,0.9,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Surgery,NHS LOGISTICS,WSWI744916,1.05,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TISSUES HAND TOWELS & TOILET PAPER,Surgery,NHS LOGISTICS,WSWI744916,1.05,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Medicine,NHS LOGISTICS,WSWI744916,1.06,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Surgery,NHS LOGISTICS,WSWI744916,1.06,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,PAPER ITEMS GENERAL STATIONERY SUNDRIES,Corporate Directorate,NHS LOGISTICS,WSWI744916,1.07,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Surgery,NHS LOGISTICS,WSWI744916,1.07,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,SURGICAL INSTRUMENTS: GENERAL,Surgery,NHS LOGISTICS,WSWI744916,1.08,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,1.1,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Medicine,NHS LOGISTICS,WSWI744916,1.11,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Surgery,NHS LOGISTICS,WSWI744916,1.11,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Medicine,NHS LOGISTICS,WSWI744916,1.11,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Surgery,NHS LOGISTICS,WSWI744916,1.12,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Medicine,NHS LOGISTICS,WSWI744916,1.14,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Corporate Directorate,NHS LOGISTICS,WSWI744916,1.17,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Medicine,NHS LOGISTICS,WSWI744916,1.17,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,ANAESTHETIC EQUIPMENT ACCESSORIES,Critical care,NHS LOGISTICS,WSWI744916,1.19,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,WSWI744916,1.19,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,WSWI744916,1.23,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,SURGICAL INSTRUMENTS: GENERAL,Medicine,NHS LOGISTICS,WSWI744916,1.24,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,PAPER ITEMS GENERAL STATIONERY SUNDRIES,Clinical Effctiveness Directorate,NHS LOGISTICS,WSWI744916,1.26,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,WSWI744916,1.26,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Critical care,NHS LOGISTICS,WSWI744916,1.26,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,HEALTHCARE - WEAR,Surgery,NHS LOGISTICS,WSWI744916,1.27,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Medicine,NHS LOGISTICS,WSWI744916,1.28,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Medicine,NHS LOGISTICS,WSWI744916,1.28,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Medicine,NHS LOGISTICS,WSWI744916,1.28,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS  -  PROCEDURE PACKS,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,1.28,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,WSWI744916,1.28,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRUGS,Medicine,NHS LOGISTICS,WSWI744916,1.28,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,COOKING & KITCHEN UTENSILS,Surgery,NHS LOGISTICS,WSWI744916,1.29,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,COOKING & KITCHEN UTENSILS,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,1.29,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,1.3,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Human Resources,NHS LOGISTICS,WSWI744916,1.31,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,CLEANING MATERIALS PRODUCTS SUNDRIES,Critical care,NHS LOGISTICS,WSWI744916,1.33,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Surgery,NHS LOGISTICS,WSWI744916,1.34,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TOILETRIES PERSONAL HYGIENE PRODUCTS,Medicine,NHS LOGISTICS,WSWI744916,1.36,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TOILETRIES PERSONAL HYGIENE PRODUCTS,Medicine,NHS LOGISTICS,WSWI744916,1.36,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,SURGICAL INSTRUMENTS: GENERAL,Surgery,NHS LOGISTICS,WSWI744916,1.36,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TOILETRIES PERSONAL HYGIENE PRODUCTS,Medicine,NHS LOGISTICS,WSWI744916,1.36,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TOILETRIES PERSONAL HYGIENE PRODUCTS,Surgery,NHS LOGISTICS,WSWI744916,1.36,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,DRESSINGS - PRE STERILE,Surgery,NHS LOGISTICS,WSWI744916,1.36,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TOILETRIES PERSONAL HYGIENE PRODUCTS,Medicine,NHS LOGISTICS,WSWI744916,1.36,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,WSWI744916,1.37,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,BAGS SACKS - OTHER,Surgery,NHS LOGISTICS,WSWI744916,1.38,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Medicine,NHS LOGISTICS,WSWI744916,1.39,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,SURGICAL INSTRUMENTS: GENERAL,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,1.4,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,WSWI744916,1.4,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,TOILETRIES PERSONAL HYGIENE PRODUCTS,Critical care,NHS LOGISTICS,WSWI744916,1.42,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,STATIONERY SUNDRIES,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,1.43,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,PAPER ITEMS GENERAL STATIONERY SUNDRIES,Facilities Directorate,NHS LOGISTICS,WSWI744916,1.43,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,WSWI744916,1.45,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,WSWI744916,1.45,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,WSWI744916,1.45,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,1.45,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,ANAESTHETIC EQUIPMENT ACCESSORIES,Critical care,NHS LOGISTICS,WSWI744916,1.45,
Department of Health,Salisbury NHS Foundation Trust,14-May-10,MEDSURGCONS - OTHER,Clinical Support and Family Services,NHS LOGISTICS,WSWI744916,1.45,
