Department family,Entity,Date,Expense type,Expense area,Supplier,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
The National Archives,The National Archives,05/10/2015,IT Maintenance & Support - Software,"Central, ASD & Corporate",LUMESSE,12819.96,IT maintenance and support - software,LU1 3LU,,,,Administration
The National Archives,The National Archives,05/10/2015,IT Maintenance & Support - Software,"Central, ASD & Corporate",COMPUTACENTER (UK) LTD,40914.24,IT maintenance and support - software,AL10  9TW,,CM340,,Administration
The National Archives,The National Archives,14/10/2015,Govt Procurement Card (GPC) purchases,"Central, ASD & Corporate",ROYAL BANK OF SCOTLAND PLC,26667.67,Government Procurement Card,SS99 6YY,,,,Administration
The National Archives,The National Archives,30/10/2015,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,12105,Editorial,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,30/10/2015,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,14037.5,Editorial,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,30/10/2015,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,16000,Editorial,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,30/10/2015,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,13140,Editorial,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,14/10/2015,Travel & Subsistence,"Central, ASD & Corporate",REDFERN TRAVEL LTD,15292.09,Travel and subsistence provider,BD1 3AZ,,,,Administration
The National Archives,The National Archives,14/10/2015,Contracted Services,Customer & Business Development,Capita Business Services Ltd,19347.02,Digitisation service,DL1 9HN,,,,Programme
The National Archives,The National Archives,30/10/2015,Contracted Services,"Central, ASD & Corporate",AOC ARCHITECTURE LTD,29005,Architecture,E27RG,,CM810,,Programme
The National Archives,The National Archives,30/10/2015,Film Archive,Research & Collections,BRITISH FILM INSTITUTE,55000.02,Preservation work,W1T 1LN,,,,Programme
The National Archives,The National Archives,14/10/2015,Facilities Management,"Central, ASD & Corporate",BOUYGUES E&S FM UK LIMITED,118633.49,Core service fee,BN1 1HG,,CM440,,Programme
The National Archives,The National Archives,30/10/2015,Records Storage Space Rental,Public Engagement,DEEPSTORE,30081.07,Storage,CW7 2PA,,,,Programme
The National Archives,The National Archives,05/10/2015,Accomodation charge: rates,"Central, ASD & Corporate",LONDON BOROUGH OF RICHMOND UPON THAMES,179550,Rates,TW1 3BZ,,,,Programme
The National Archives,The National Archives,30/10/2015,Petty France Rent and SC,"Central, ASD & Corporate",MOJ LIBERATA,16754.72,Workstation occupancy,NP20   9FN,,,,Programme
The National Archives,The National Archives,05/10/2015,Repairs and Maintenance - Planned,"Central, ASD & Corporate",BOUYGUES E&S FM UK LIMITED,54240.65,Ceiling works,BN1 1HG,,,,Programme
The National Archives,The National Archives,05/10/2015,Education & Vistor Centre,"Central, ASD & Corporate",BOUYGUES E&S FM UK LIMITED,24345.29,Soundproofing,BN1 1HG,,,,Programme
The National Archives,The National Archives,14/10/2015,Electricity,"Central, ASD & Corporate",EDF ENERGY,61891.01,Energy cost,PL3 5XQ,,,,Programme
The National Archives,The National Archives,05/10/2015,Carbon Reduction Levy,"Central, ASD & Corporate",MOJ LIBERATA,50125.9,Carbon reduction levy,NP20   9FN,,,,Programme
