OrganisationLabel,OrganisationURI,Account Name 1,Account Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Address 6,Property Postcode,BA Reference,Account Address 1,Account Address 2,Account Address 3,Account Address 4,Account Postcode,Liability Start,Empty Prop,Empty From,Account Exemption,Property Exemption,2010 RV,2005 RV,VOA Description,Rv Chargeable,Charge 2015/16,MIN Date From   Sbrr,MAX Date To   Sbrr,Sbrr Relief,Lower Multiplier,Trans Relief,Charity Relief From,Mandatory,Mand Relief,Discretionary,Disc Relief,Retail Relief,ReOccupation Relief
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SHELLIE & STACEY'S FLOWER,FAIRIES LTD,,,161 LAIRD STREET,BIRKENHEAD,MERSEYSIDE,,CH41 0AA,0000666001610B,161 LAIRD STREET,BIRKENHEAD,MERSEYSIDE,,CH41 0AA,02/05/2014,,,,,2750,,SHOP AND PREMISES,1320,£0.00,27/05/2014,01/04/2016,"-£1,096.53",SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NORTH BIRKENHEAD DEVELOPMENT,TRUST,,,129-131 LAIRD STREET,BIRKENHEAD,MERSEYSIDE,,CH41 0AA,6660013109,ST JAMES CENTRE,344 LAIRD STREET,BIRKENHEAD,MERSEYSIDE,CH41 7AL,17/03/2011,,,,,3200,1650,SHOP AND PREMISES,1577,£0.00,,,£0.00,,£0.00,17/03/2011,80%,"-£1,233.92",20%,-£308.48,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MEMCOL LTD,,,,171A LAIRD STREET,BIRKENHEAD,MERSEYSIDE,,CH41 0AA,000066600171A4,,,,,,04/12/2009,,,,,4900,4300,WAREHOUSE AND PREMISES,2352,£0.00,04/12/2009,01/04/2016,"-£2,307.90",SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ZERO CENTRE (MERSEYSIDE),,,,169-171 LAIRD STREET,BIRKENHEAD,MERSEYSIDE,,CH41 0AA,000066600169AB,169-171,LAIRD STREET,BIRKENHEAD,MERSEYSIDE,CH41 0AA,01/12/2001,,,,,3550,1975,SHOP AND PREMISES,1750,£0.00,,,£0.00,,£0.00,01/12/2001,80%,"-£1,368.88",20%,-£342.22,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PORTLAND STREET PRIMARY SCHOOL,FAO THE GOVERNORS,,,PORTLAND PRIMARY SCHOOL,LAIRD STREET,BIRKENHEAD,MERSEYSIDE,CH41 0AB,36000003202,C/O THE ACCOUNTANCY DIVISION,CLEVELAND STREET,BIRKENHEAD,MERSEYSIDE,CH41 6BU,01/04/2000,,,,,19500,19750,SCHOOL AND PREMISES,9613,"£9,613.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,B J R FOODS LTD,,,,269 LAIRD STREET,BIRKENHEAD,MERSEYSIDE,,CH41 0AB,6660026908,456-458 LEYLAND ROAD,LOSTOCK HALL,PRESTON,LANCASHIRE,PR5 5RY,01/04/2000,,,,,7200,5000,SHOP AND PREMISES,3456,"£1,956.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,A 2 B PUBLIC HOUSES LTD,,,,THE OPEN ARMS,BIDSTON AVENUE,BIRKENHEAD,MERSEYSIDE,CH41 0BR,6080006506,WATERGATE BUILDING,CRAINE WHARF,NEW CRAINE STREET,CHESTER,CH1 4JE,01/04/2013,Y,17/05/2015,,,24000,40500,PUBLIC HOUSE AND PREMISES,7370,"£7,370.75",,,£0.00,,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE CURTAINSMITH LTD,,,,92 BIDSTON AVENUE,BIRKENHEAD,MERSEYSIDE,,CH41 0BS,6080009203,92 BIDSTON AVENUE,BIRKENHEAD,MERSEYSIDE,,CH41 0BS,02/01/2008,,,,,2425,2075,SHOP AND PREMISES,1164,£0.00,02/01/2008,01/04/2016,"-£1,142.18",SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NHS ENGLAND XXQ75 CHESH & MERSEY,,,,CLAUGHTON MEDICAL CENTRE,161 PARK ROAD NORTH,BIRKENHEAD,MERSEYSIDE,CH41 0DD,000171600161AA,X24 PAYABLES K005,PHOENIX HOUSE,TOPCLIFFE LANE,WAKEFIELD,WF3 1WE,01/04/2000,,,,,141000,62500,HEALTH CENTRE AND PREMISES,69513,"£69,513.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,REGENERATION DIRECTORATE,,,,CLUBROOM & PREMISES,PARK ROAD NORTH,BIRKENHEAD,MERSEYSIDE,CH41 0DD,36000031306,C/O THE ACCOUNTANCY DIVISION,MUNICIPAL BLDG CLEVELAND STREET,BIRKENHEAD,MERSEYSIDE,CH41 6BU,01/04/2000,,,,,1425,1425,COMMUNITY CENTRE AND PREMISES,684,£684.00,,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
