CPS outcomes by principal offence category north_yorkshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,86,87.3%,30,12.7%
C Sexual Offences,5,46.2%,1,53.8%
D Burglary,17,85.0%,1,15.0%
E Robbery,0,66.7%,0,33.3%
F Theft And Handling,130,90.6%,12,9.4%
G Fraud And Forgery,13,92.9%,1,7.1%
H Criminal Damage,32,95.9%,6,4.1%
I Drugs Offences,62,94.3%,5,5.7%
J Public Order Offences,101,89.4%,10,10.6%
K All Other Offences (excluding Motoring),17,66.7%,7,33.3%
L Motoring Offences,103,85.0%,14,15.0%
Admin Finalisations,0,0.0%,2,100.0%
TOTAL,566,86.4%,89,13.6%
