Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,invoice number - delete,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
The National Archives,The National Archives,11/06/2015,Accomodation charge: rates,Finance & Corporate Services,LONDON BOROUGH OF RICHMOND UPON THAMES,117927,29735,179550,LB of Richmond Rates,TW1 3BZ,,,,Programme
The National Archives,The National Archives,11/06/2015,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,118909,19528,19641.5,Room refurbishments,BN1 1HG,,,,Programme
The National Archives,The National Archives,11/06/2015,Plant and Equipment additions,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,118917,19531,47292.87,Ventilation works,BN1 1HG,,,,Programme
The National Archives,The National Archives,11/06/2015,Plant and Equipment additions,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,118920,19532,24748.54,Upgrade project management tool,BN1 1HG,,,,Programme
The National Archives,The National Archives,19/06/2015,Contracted Services,Technology & Preservation,UNIVERSITY OF BRIGHTON,118959,19547,12664.45,Reimbursement of project costs,BN2 4AT,,,,Programme
The National Archives,The National Archives,11/06/2015,PAS - Public Libraries,Information Policy & Services,LATITUDE MAPPING LTD,119311,19636,11685.3,Map charges,EN6 4PS,,,,Programme
The National Archives,The National Archives,11/06/2015,Records Storage Space Rental,Public Services,DEEPSTORE,119327,19638,29628.19,Storage,CW7 2PA,,CM499,,Programme
The National Archives,The National Archives,11/06/2015,Travel & Subsistence,Finance & Corporate Services,REDFERN TRAVEL LTD,119489,19671,10261.26,Business travel,BD1 3AZ,,,,Administration
The National Archives,The National Archives,11/06/2015,Electricity,Finance & Corporate Services,EDF ENERGY,119511,19678,59733.624,Energy charges,PL3 5XQ,,,,Programme
The National Archives,The National Archives,19/06/2015,Govt Procurement Card (GPC) purchases,Finance & Corporate Services,ROYAL BANK OF SCOTLAND PLC,119700,19724,29441.78,Monthly Govt procurement card bill,SS99 6YY,,,,Administration
The National Archives,The National Archives,25/06/2015,Health & Safety Services,Finance & Corporate Services,Riskex Limited,119896,19771,12690,Software purchase,MK17 9HD,,CM797,,Programme
