Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,Amount in Sterling,Supplier VAT Registration Number
Department of Health,Sandwell PCT,07/02/2011,POHC VOLUNTARY SECTOR,Health Promotion,Sandwell MBC (Boro.Treasu,    162226,"32,641.50",
Department of Health,Sandwell PCT,02/02/2011,POHC COMMERCIAL SECTOR,Non NHS,INHEALTH,    162270,"39,295.00",
Department of Health,Sandwell PCT,25/02/2011,POHC VOLUNTARY SECTOR,NHS PCT/Other,SANDWELL MIND,    162280,"94,500.00",
Department of Health,Sandwell PCT,19/01/2011,CONTINENCE PRODUCTS,Provider Services,ABENA UK LTD,    162296,"48,008.92",
Department of Health,Sandwell PCT,01/03/2011,POHC VOLUNTARY SECTOR,Non NHS,ACORNS CHILDRENS HOSPICE,    162321,"73,445.00",
Department of Health,Sandwell PCT,10/02/2011,AGENCY ADMIN & CLERICAL,Human Resources,JHP GROUP LTD,    162334,"23,782.50",
Department of Health,Sandwell PCT,22/02/2011,POHC VOLUNTARY SECTOR,NHS PCT/Other,SANDWELL MIND,    162338,"94,500.00",
Department of Health,Sandwell PCT,17/02/2011,HEALTHCARE SERVICE - PCT,Non NHS,MIDLAND FERTILITY SERVICE,    162346,"30,748.50",
Department of Health,Sandwell PCT,23/02/2010,ALS COURSES / TRAINING,Health Promotion - Cancer,PATHFINDER HCARE  DEV LTD,    162413,"-23,000.00",
Department of Health,Sandwell PCT,31/01/2011,HEALTHCARE SERVICE - PCT,Prescribing - Cost of drugs,HEART OF BIRMINGHAM PCT,    162430,"41,500.00",
Department of Health,Sandwell PCT,01/11/2010,HEALTHCARE SERVICE - NHS TRUST,Pooled Budgets,AVON & WILTSHIRE MENTAL H,    162458,"36,857.52",
Department of Health,Sandwell PCT,04/03/2011,LEASE RENTS,Premises,SANDWELL LIFT COMPANY,    162534,"22,187.30",
Department of Health,Sandwell PCT,04/03/2011,LEASE RENTS,Premises,SANDWELL LIFT COMPANY,    162535,"37,060.34",
Department of Health,Sandwell PCT,04/03/2011,LEASE RENTS,Premises,SANDWELL LIFT COMPANY,    162539,"58,611.65",
Department of Health,Sandwell PCT,04/03/2011,HEALTHCARE SERVICE - PCT,Foundation Trusts,SANDWELL MH NHS & SOC CAR,    162582,"48,860.00",
