CPS outcomes by principal offence category derbyshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,200,78.7%,54,21.3%
C Sexual Offences,18,72.0%,7,28.0%
D Burglary,20,80.0%,5,20.0%
E Robbery,6,85.7%,1,14.3%
F Theft And Handling,215,92.3%,18,7.7%
G Fraud And Forgery,12,85.7%,2,14.3%
H Criminal Damage,81,95.3%,4,4.7%
I Drugs Offences,76,91.6%,7,8.4%
J Public Order Offences,76,90.5%,8,9.5%
K All Other Offences (excluding Motoring),64,84.2%,12,15.8%
L Motoring Offences,282,94.6%,16,5.4%
Admin Finalisations,0,0.0%,2,100.0%
TOTAL,"1,050",88.5%,136,11.5%
