Title:,Status of UK Biodiversity Action Plan priority species,,,
Year:,1999 to 2008,,,
Geography:,United Kingdom,,,
Units:,Percent,,,
Source:,"Joint Nature Conservation Committee, the UK Biodiversity Partnership, Department for Environment, Food and Rural Affairs ",,,
URL:,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,
Nat. Statistic:,No,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,
Release Date:,20-May-10,,,
Notes:,,,,
,,,,
3  UK BAP Priority Species,,,,
,,,,
,,,,
,1999,2002,2005,2008
Increasing (1999),36,9,3,2
Increasing (2002),6,25,0,0
Increasing (2005),4,4,42,3
Increasing (2008),2,2,2,40
Stable (1999),48,20,5,2
Stable (2002),45,72,5,4
Stable (2005),45,45,132,19
Stable (2008),16,16,16,144
Decreasing (1999),51,12,3,2
Decreasing (2002),65,113,12,10
Decreasing (2005),17,17,115,10
Decreasing (2008),4,4,4,103
Unknown,32,32,32,32
Total ,371,371,371,371
,,,,
DATA FOR CHART,,,,
,,,,
,Earliest available assessment,Latest available assessment,,
Increasing,48,45,,
Stable,154,169,,
Decreasing,137,125,,
Unknown,32,32,,
Total increasing or stable,202,214,,
