Victim care measures,2009 - 10 Volume,2009 - 10 Percentage
Total victims,5765,100.00%
Support referrals offered,3550,61.60%
Support referrals made,1426,40.20%
Total support referrals,1574,100.00%
Hate crime agency support referrals,24,1.52%
Victim Support agency support referrals,179,11.37%
Witness Service agency support referrals,1151,73.13%
Other support referrals,220,13.98%
Total victims,5765,100.00%
Required to attend,5765,76.80%
Actual attendance,3922,88.60%
Pre-trial court visit accepted,905,20.40%
