CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,4809,93.1%,356,6.9%
P01-Avon&Somerset,135,97.8%,3,2.2%
P02-Bedfordshire,31,100.0%,0,0.0%
P03-Cambridgeshire,75,97.4%,2,2.6%
P04-Cheshire,55,93.2%,4,6.8%
P06-Cleveland,93,98.9%,1,1.1%
P07-Cumbria,90,97.8%,2,2.2%
P08-Derbyshire,58,95.1%,3,4.9%
P09-Devon&Cornwall,116,93.5%,8,6.5%
P10-Dorset,32,94.1%,2,5.9%
P11-Durham,38,100.0%,0,0.0%
P12-DyfedPowys,57,98.3%,1,1.7%
P13-Essex,97,96.0%,4,4.0%
P14-Gloucestershire,29,87.9%,4,12.1%
P15-GreaterManchester,312,92.9%,24,7.1%
P16-Gwent,66,86.8%,10,13.2%
P17-Hampshire,137,92.6%,11,7.4%
P18-Hertfordshire,71,89.9%,8,10.1%
P19-Humberside,70,98.6%,1,1.4%
P20-Kent,99,93.4%,7,6.6%
P21-Lancashire,143,96.0%,6,4.0%
P22-Leicestershire,46,95.8%,2,4.2%
P23-Lincolnshire,31,96.9%,1,3.1%
P24-Merseyside,250,84.2%,47,15.8%
P25-Metropolitan&City,1049,92.3%,87,7.7%
P26-Norfolk,63,96.9%,2,3.1%
P27-Northamptonshire,28,100.0%,0,0.0%
P28-Northumbria,161,95.8%,7,4.2%
P29-NorthWales,28,96.6%,1,3.4%
P30-NorthYorkshire,69,95.8%,3,4.2%
P31-Nottinghamshire,86,92.5%,7,7.5%
P32-SouthWales,175,94.1%,11,5.9%
P33-SouthYorkshire,112,91.1%,11,8.9%
P34-Staffordshire,51,91.1%,5,8.9%
P35-Suffolk,43,100.0%,0,0.0%
P36-Surrey,68,87.2%,10,12.8%
P37-Sussex,120,97.6%,3,2.4%
P38-ThamesValley,153,96.8%,5,3.2%
P39-Warwickshire,10,100.0%,0,0.0%
P40-WestMercia,44,95.7%,2,4.3%
P41-WestMidlands,266,93.7%,18,6.3%
P42-WestYorkshire,130,81.8%,29,18.2%
P43-Wiltshire,22,84.6%,4,15.4%
