Spending Control and Scope (Summary) - Recruitment,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Central Government departments, agencies and NDPBs (where applicable) should freeze external recruitment of permanent staff. Frontline and business critical posts and the Civil Service Fast Stream are exempt from the recruitment freeze.",,,,,,,,,,,,,,,,,,,,,,,,,
"However, Departmental Approval is required for these exemptions.  Civil Service posts should not be substituted through increased employment of agency, temporary or interim workers.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"The recruitment freeze applies to external recruitment into the entire Civil Service. Therefore the freeze does not apply to existing civil servants.  Government departments can continue to advertise posts to civil servants working in other departments, ",,,,,,,,,,,,,,,,,,,,,,,,,
agencies and accredited NDPBs. The decision to include NDPBs in the recruitment freeze rests with the relevant Department.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office recommend that the responsibility for approval rests with one Departmental Board member who is Director General or above. We also suggest that Departmental Approval Boards have an advisory function in the approval process.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Government departments are required to provide quarterly exemption reports to the Cabinet Office for their respective department, agencies and applicable NDPBs. Quarterly returns should be submitted to PSMGReporting@cabinet-office.x.gsi.gov.uk.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Departments should not commit to any use of temporary staff unless the assignment is of operational necessity and cannot be filled by in-house staff.  ,,,,,,,,,,,,,,,,,,,,,,,,,
Departments are also strongly encouraged to review all existing placements with a view to terminating any that are not of operational necessity or which can be transferred to in-house staff.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Period 1st November 2010 to 30th September 2011 inclusive ,,,,,,,,,,,,,,,,,,,,,,,,,
Department / organisation name,Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),SCS level (Headcount),SCS level (FTE),Unknown/Other (Headcount),Unknown/Other (FTE),Total exemptions (Headcount),Total exemptions (FTE),Date of Update,,,,,,,,,,
DFID,AA/AO,,EO,,HEO/SEO Inc B1(D),,Grade 6/7,,,,,,,,,,,,,,,,,,
,0,0,1,1,30,30,26,26,1,1,,,58,58,16/01/2012,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Period 1st October 2011 to 31st December 2011 inclusive ,,,,,,,,,,,,,,,,,,,,,,,,,
Department / organisation name,Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),SCS level (Headcount),SCS level (FTE),Unknown/Other (Headcount),Unknown/Other(FTE),Total exemptions (Headcount),Total exemptions (FTE),Date of Update,,,,,,,,,,
DFID,AA/AO,,EO,,HEO/SEO Inc B1(D),,Grade 6/7,,,,,,,,,,,,,,,,,,
,5,5,1,1,14,14,44,44,1,1,,,65,65,28/03/2012,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Period 1st January 2012 to 31st March 2012 inclusive ,,,,,,,,,,,,,,,,,,,,,,,,,
Department / organisation name,Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),SCS level (Headcount),SCS level (FTE),Unknown/Other (Headcount),Unknown/Other(FTE),Total exemptions (Headcount),Total exemptions (FTE),Date of Update,,,,,,,,,,
DFID,AA/AO,,EO,,HEO/SEO Inc B1(D),,Grade 6/7,,,,,,,,,,,,,,,,,,
,5,5,0,0,17,,28,28,1,1,1,1,52,52,07/06/2012,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Period 1st April 2012 to 30 June 2012 inclusive ,,,,,,,,,,,,,,,,,,,,,,,,,
Department / organisation name,Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),SCS level (Headcount),SCS level (FTE),Unknown/Other (Headcount),Unknown/Other(FTE),Total exemptions (Headcount),Total exemptions (FTE),Date of Update,,,,,,,,,,
DFID,AA/AO,,EO,,HEO/SEO Inc B1(D),,Grade 6/7,,,,,,,,,,,,,,,,,,
,3,3,6,6,16,16,24,23,1,1,,,50,50,08/10/2012,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Period 1st July 2012 to 30 September 2012 inclusive ,,,,,,,,,,,,,,,,,,,,,,,,,
Department / organisation name,Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),SCS level (Headcount),SCS level (FTE),Unknown/Other (Headcount),Unknown/Other(FTE),Total exemptions (Headcount),Total exemptions (FTE),Date of Update,,,,,,,,,,
DFID,AA/AO,,EO,,HEO/SEO Inc B1(D),,Grade 6/7,,,,,,,,,,,,,,,,,,
,1,1,2,2,7,7,17,17,1,1,,,28,28,08/10/2012,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Period 1st October  2012 to 31 December  2012 inclusive ,,,,,,,,,,,,,,,,,,,,,,,,,
Department / organisation name,Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),SCS level (Headcount),SCS level (FTE),Unknown/Other (Headcount),Unknown/Other(FTE),Total exemptions (Headcount),Total exemptions (FTE),Date of Update,,,,,,,,,,
DFID,AA/AO,,EO,,HEO/SEO Inc B1(D),,Grade 6/7,,,,,,,,,,,,,,,,,,
,0,0,0,0,3,3,10,10,1,1,,,14,14,14/01/2013,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Period 1st January 2013 to 31 March  2013 inclusive ,,,,,,,,,,,,,,,,,,,,,,,,,
Department / organisation name,Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),SCS level (Headcount),SCS level (FTE),Unknown/Other (Headcount),Unknown/Other(FTE),Total exemptions (Headcount),Total exemptions (FTE),Date of Update,,,,,,,,,,
DFID,AA/AO,,EO,,HEO/SEO Inc B1(D),,Grade 6/7,,,,,,,,,,,,,,,,,,
,2,2,7,7,16,16,21,21,2,2,0,0,48,48,09/05/2013,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Period  1st APRIL  TO 30TH JUNE 2013  INCLUSIVE ,,,,,,,,,,,,,,,,,,,,,,,,,
Department / organisation name,Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),Grade (Headcount),Grade (FTE),SCS level (Headcount),SCS level (FTE),Unknown/Other (Headcount),Unknown/Other(FTE),Total exemptions (Headcount),Total exemptions (FTE),Date of Update,,,,,,,,,,
DFID,AA/AO,,EO,,HEO/SEO Inc B1(D),,Grade 6/7,,,,,,,,,,,,,,,,,,
,5,5,9,9,9,9,33,32,1,1,0,0,57,56,19/08/2013,,,,,,,,,,
