DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-31,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701240,279190.83,CORE SERVICE CHARGE OCTOBER 2016,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analysis & Research Branch,NATIONAL CENTRE FOR SOCIAL RESEARCH,1011701041,193623,PROJECT NUMBER P11949.00,EC1V 0AX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-07,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,Security & Estates,LONDON BOROUGH OF CAMDEN,1011701059,105468,BUSINESS RATES,WC1H 8EQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - CONSULTANCY,Regulating our Future,COMOTION CONSULTING LTD,1011701093,88117.34,AUGUST CHARGES,EC1A 9PT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,ANIMAL AND PLANT HEALTH AGENCY,2012700064,85069.74,Deliveries 29 to 31 Draft final Report.,KT15 3NB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chemical Risk Assessment Unit,PUBLIC HEALTH ENGLAND,2012700072,79132.21,CUST NO 244687,SP4 0JG,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,GOVDELIVERY. INC,1011701134,77640,ANNUAL HOSTING,RH10 1JH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,PUBLIC HEALTH ENGLAND,2012700072,69696,CHARGES FOR DELEVERABLE 4 FOR FSA PROJECT FS102121,SP4 0JG,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700075,69649.85,CUST ID 1000079,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,AGRI-FOOD & BIOSCIENCES INSTITUTE,1011701200,61045,ACCOUNT REF 1283C,BT4 3SD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - CONSULTANCY,Regulating our Future,COMOTION CONSULTING LTD,1011701093,60000,JUNE/JULY CHARGES,EC1A 9PT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chemical Risk Assessment Unit,UNIVERSITY OF HULL,1011701144,50000,RETENTION PAYMENT ,HU6 7RX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-06,EXP - PURCHASE OF GOODS/SERVICES - CONSULTANCY,IT Strategy,RAINMAKER SOLUTIONS LTD,1011701052,40838.1,EVOLVE IT MOBILISATION,MK18 1HD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-05,EXP - RENTALS UNDER NON PFI OPERATING LEASES  -OTHER RENTAL- RENT OUTSIDE LONDON,Security & Estates,DEFRA C/O CAPITA,1011701046,38537.58,CAPITA INVOICE 100254/9615 - FOSS HOUSE RENT RATES AND UTLITIES AUGUST 2016,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,FERA SCIENCE LIMITED,1011701228,38400,CHARGES IN RESPECT OF ALL PROFESSIONAL SERVICES,YO41 1LZ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-05,EXP - RENTALS UNDER NON PFI OPERATING LEASES  -OTHER RENTAL- RENT OUTSIDE LONDON,Security & Estates,DEFRA C/O CAPITA,1011701046,38144.61,CAPITA INVOICE 100254/9517 - FOSS HOUSE RENT RATES AND UTILITIES - JUNE 2016,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-05,EXP - RENTALS UNDER NON PFI OPERATING LEASES  -OTHER RENTAL- RENT OUTSIDE LONDON,Security & Estates,DEFRA C/O CAPITA,1011701046,37605.22,CAPITA INVOICE 100254/9542 - FOSS HOUSE RENT RATES AND UTILITIES - JULY 2016,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700067,37434.75,PROJECT C6028 Q2,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,FOOD STANDARDS SCOTLAND,2012700071,34434,Q1 June 2016 FSA contributions to co-funded FSS project,AB11 5RL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,Security & Estates,EDF ENERGY PLC,1011701194,32502.32,EDF ENERGY INVOICE 2176826 - SEP 2016,EX1 3UT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Animal Feed     ,TRADING STANDARDS INSTITUTE (GRANTS),1011701214,32210,Feed Official Controls funding 2016/17,SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-13,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT Service Delivery,VODAFONE LTD,1011701104,31476.83,SERVICES,MK3 5JL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,AGRI-FOOD & BIOSCIENCES INSTITUTE,1011701200,29788,ACCOUNT REF 1283C,BT4 3SD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - LAUNDRY,Operational Delivery,APPARELMASTER UK LTD,1011701109,25621.92,September 2016 Laundry Spend,PR2 9ZD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Microbiological Food Safety Branch,UNIVERSITY OF LIVERPOOL,1011701108,23741,REF JXR11323,L69 7ZX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,EU Regulatory Reform Branch,ANIMAL AND PLANT HEALTH AGENCY,2012700074,23339.12,RETENTION PAYMENT,YO1 7PX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-17,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,Finance Director & Branch,SHARED SERVICES CONNECTED LTD,1011701138,23335.37,CUST NO 43164,HP2 7AH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - CONSULTANCY,Regulating our Future,COMOTION CONSULTING LTD,1011701093,17623.47,AUGUST CHARGES,EC1A 9PT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700075,17047,C6133 INVOICE FOR THE PERIOD SEPTEMBER 2016,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-21,"EXP - PURCHASE OF GOODS/SERVICES - TRICHINELLA TESTING, CARRIAGE & CONSUMABLES",Operational Delivery,TOPSPEED COURIERS LIMITED,1011701183,16830,TRICH,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011701183,16740,RIM BLOOD,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-21,EXP - PURCHASE OF GOODS/SERVICES - CONSULTANCY,OWOW,CARTER JONAS,1011701179,16366,ACCOMMODATION STRATEGY,W1G 0BG,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-12,EXP - PURCHASE OF GOODS/SERVICES - CONSULTANCY,Regulating our Future,COMOTION CONSULTING LTD,1011701093,12000,JUNE/JULY CHARGES,EC1A 9PT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-05,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,Security & Estates,DEFRA C/O CAPITA,1011701046,10714.49,CAPITA INVOICE 100254/9542 - FOSS HOUSE RENT RATES AND UTILITIES - JULY 2016,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-05,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,Security & Estates,DEFRA C/O CAPITA,1011701046,10714.49,CAPITA INVOICE 100254/9615 - FOSS HOUSE RENT RATES AND UTLITIES AUGUST 2016,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-10-05,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,Security & Estates,DEFRA C/O CAPITA,1011701046,8596.2,CAPITA INVOICE 100254/9517 - FOSS HOUSE RENT RATES AND UTILITIES - JUNE 2016,EC2V 7NQ,ADMIN
