objectid,eer17cd,eer17nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E15000001,North East,417313,600358,-1.7289,55.297031,8675727007.17662,795457.454485358
2,E15000002,North West,350015,506280,-2.77237,54.449451,14919475747.5142,1089510.2282931
3,E15000003,Yorkshire and The Humber,446903,448736,-1.28712,53.93264,15561839388.2762,964585.943035664
4,E15000004,East Midlands,477660,322635,-0.84967,52.795719,15810938695.0872,1070628.45770338
5,E15000005,West Midlands,386294,295477,-2.20358,52.556969,13003737755.9509,953904.342370437
6,E15000006,Eastern,571074,263229,0.504146,52.240669,19585389914.8508,1049499.48652422
7,E15000007,London,517516,178392,-0.30864,51.492271,1594697022.59185,256348.504064735
8,E15000008,South East,470062,172924,-0.99311,51.45097,19405472727.3147,1390518.59725649
9,E15000009,South West,285015,102567,-3.63343,50.811192,24388808580.4728,2212847.98427806
10,N07000001,Northern Ireland,86601,535325,-6.85481,54.614941,14333249704.4641,1143121.7562487
11,S15000001,Scotland,277746,700060,-3.97091,56.177429,80226459765.9601,17908880.7825847
12,W08000001,Wales,263406,242881,-3.99416,52.06741,21224771397.5076,2027623.53624958
