Publication of tenders- monthly and cumulative analysis,,,,,,,,,,,,,DATA PERIOD: July 2013-September 2013 
,Totals,,,,Cumulative totals since reporting began (Sept 2010),,,,,,,,
Organisation (core dept only),Number of new tenders issued this month ,Number of tenders published this month,Number of tenders being prepared for publication this month ,Number of tenders excluded from publication this month ,Total number of tenders issued ,Total number of tenders excluded from publication,Total number of tenders published ,Total number of tenders being prepared for publication ,% Of awarded tenders that have been published   ,% Of awarded eligible tenders that have been published ,% Of tenders being prepared for publication ,% Of eligible tenders published and in the pipeline for publication ,Departmental comment
HMT,8,7,2,1,94,1,91,2,96.81%,97.85%,2.13%,100.00%,Section 35 of FOI Act  - Policy Development
Home Office,48,42,6,0,541,178,357,6,65.99%,98.35%,1.11%,100.00%,
DfE,7,4,3,0,96,0,93,3,96.88%,96.88%,3.13%,100.00%,
Treasury Solicitors,0,0,0,0,34,3,30,1,88.24%,96.77%,2.94%,100.00%,
MoJ,69,59,5,8,1055,196,854,5,80.95%,99.42%,0.47%,100.00%,Tenders not required to be published as G-Cloud purchases
Cabinet Office,49,17,60,1,325,1,264,60,81.23%,81.48%,18.46%,100.00%,In preparation:  Waiting client/supplier agreement to redactions.  Excluded: Policy formulation (Section 35).
DH,37,9,91,6,668,28,549,91,82.19%,85.78%,13.62%,100.00%,Commerical confidentiality
DWP,21,9,15,0,191,0,176,15,92.15%,92.15%,7.85%,100.00%,
HMRC,0,0,0,0,74,0,74,0,100.00%,100.00%,0.00%,100.00%,
MoD,228,143,72,70,2770,851,1847,72,66.68%,96.25%,2.60%,100.00%,"Exemptions are on the basis of Warlike Stores (Article 346), Information exempt under Sect 23 FOI (Intelligence Agency or Special Forces). MoD is still experiencing technical issues with Contracts Finder in some areas and this affecting the rate at which "
DfID,30,27,17,2,294,21,256,17,87.07%,93.77%,5.78%,100.00%,Excluded from publishing due to security reasons.  Contracts are locally sensistive
DCMS,2,2,0,0,58,0,58,0,100.00%,100.00%,0.00%,100.00%,
DfT,10,5,5,0,143,6,87,50,60.84%,63.50%,34.97%,100.00%,
BIS,5,5,0,0,172,0,172,0,100.00%,100.00%,0.00%,100.00%,Tender information sourced from contracts finder
DEFRA,57,4,79,2,214,9,126,79,58.88%,61.46%,36.92%,100.00%,"Large increase in workload, tenders were published on Defra eSourcing site but not Contracts Finder. 
2 sensitive tenders could not be published."
DCLG,9,9,0,0,74,0,74,0,100.00%,100.00%,0.00%,100.00%,
DECC,14,5,9,0,125,6,110,9,88.00%,92.44%,7.20%,100.00%,
FCO,13,3,1,10,74,61,12,1,16.22%,92.31%,1.35%,100.00%,our policy is not to publish tenders produced at our Missions overseas
Crown Prosecution Service,0,0,0,0,11,0,11,0,100.00%,100.00%,0.00%,100.00%,
Northern Ireland Office,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,
Scotland Office,0,0,0,0,2,1,0,1,0.00%,0.00%,50.00%,100.00%,
Wales Office,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,
