Audit year(s),Cancer Alliance code,Cancer Alliance name,N EOX,% EOX,N ECX,% ECX,N HCX,% HCX,N CAPECITABINE + CISPLATIN,% CAPECITABINE + CISPLATIN,N CAPECITABINE + OXALIPLATIN,% CAPECITABINE + OXALIPLATIN,N Other combinations,% Other combinations
Apr 2014 - Mar 2016,A01,Cheshire and Merseyside,69,56.1%,7,5.7%,6,4.9%,11,8.9%,13,10.6%,17,13.8%
Apr 2014 - Mar 2016,A02,East Midlands,98,51.6%,22,11.6%,10,5.3%,19,10.0%,0,0.0%,41,21.6%
Apr 2014 - Mar 2016,A03,East of England,90,34.5%,69,26.4%,13,5.0%,9,3.4%,11,4.2%,69,26.4%
Apr 2014 - Mar 2016,A04,Greater Manchester,124,70.5%,11,6.3%,13,7.4%,0,0.0%,0,0.0%,28,15.9%
Apr 2014 - Mar 2016,A05,"Humber, Coast and Vale",57,55.9%,9,8.8%,4,3.9%,14,13.7%,9,8.8%,9,8.8%
Apr 2014 - Mar 2016,A06,Kent and Medway,6,6.8%,35,39.8%,0,0.0%,5,5.7%,0,0.0%,42,47.7%
Apr 2014 - Mar 2016,A07,Lancashire and South Cumbria,63,51.2%,13,10.6%,8,6.5%,0,0.0%,0,0.0%,39,31.7%
Apr 2014 - Mar 2016,A08,North Central and East London,30,50.0%,10,16.7%,1,1.7%,0,0.0%,5,8.3%,14,23.3%
Apr 2014 - Mar 2016,A09,North East and Cumbria,100,61.0%,10,6.1%,11,6.7%,1,0.6%,1,0.6%,41,25.0%
Apr 2014 - Mar 2016,A10,Peninsula,71,65.1%,10,9.2%,4,3.7%,4,3.7%,4,3.7%,16,14.7%
Apr 2014 - Mar 2016,A11,"Somerset, Wiltshire, Avon & Gloucestershire",72,52.2%,13,9.4%,15,10.9%,15,10.9%,10,7.2%,13,9.4%
Apr 2014 - Mar 2016,A12,South East London,9,27.3%,5,15.2%,0,0.0%,0,0.0%,0,0.0%,19,57.6%
Apr 2014 - Mar 2016,A13,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",47,72.3%,1,1.5%,6,9.2%,3,4.6%,5,7.7%,3,4.6%
Apr 2014 - Mar 2016,A14,Surrey and Sussex,35,35.4%,10,10.1%,1,1.0%,26,26.3%,3,3.0%,24,24.2%
Apr 2014 - Mar 2016,A15,Thames Valley,43,89.6%,1,2.1%,3,6.3%,0,0.0%,0,0.0%,1,2.1%
Apr 2014 - Mar 2016,A16,Wessex,71,52.6%,5,3.7%,20,14.8%,8,5.9%,13,9.6%,18,13.3%
Apr 2014 - Mar 2016,A17,West London,33,23.1%,43,30.1%,8,5.6%,3,2.1%,1,0.7%,55,38.5%
Apr 2014 - Mar 2016,A18,West Midlands,60,26.4%,86,37.9%,2,0.9%,11,4.8%,15,6.6%,53,23.3%
Apr 2014 - Mar 2016,A19,West Yorkshire,72,46.2%,4,2.6%,8,5.1%,0,0.0%,37,23.7%,35,22.4%
