Title:,Radioactive waste disposal:  1997 to 2006,
Year:,2006/07,
Geography:,United Kingdom,
Units:,Cubic metres,
Source:,Nuclear Development Authority,
URL:,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,
Nat. Statistic:,No,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",
Contact:,enviro.statistics@defra.gsi.gov.uk,
Release Date:,May-10,
Notes:,Responsibilites now transferred to DECC,
,,
,,
,,
,,
,,
,,
,,
,,Cubic metres
,Year,Total volume (m3)
,1997,"9,200"
,1998,"12,600"
,1999,"8,000"
,2000,"8,400"
,2001,"6,100"
,2002,"10,800"
,2003,"11,400"
,2004,"12,900"
,2005,"12,800"
,2006,"12,900"
