Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/09/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,442835,"80,046.00",BLOCK CONTRACT SEPTEMBER 2014,
Department of Health,03F,30/09/2014,Computer Software/License,COMMISSIONING SCHEMES,CAMBRIDGE COGNITION LTD,10810,"109,944.00",1 YEAR LICENCE ,
Department of Health,03F,30/09/2014,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102140,"47,988.08",COMMISSIONING SUPPORT PER SLA - PROGRAMME - SEPTEMBER 2014 MEDICINES MANAGEMENT PRACTICE,
Department of Health,03F,30/09/2014,Charges from CSU,PROGRAMME PROJECTS,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102144,"52,233.00",GP IT SLA PROGRAMME SEPTEMBER 2014,
Department of Health,03F,30/09/2014,Charges from CSU,FINANCE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102154,"236,587.00",COMMISSIONING SUPPORT PER SLA - ADMIN - SEPTEMBER 2014,
Department of Health,03F,30/09/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,HUMBER NHS FOUNDATION TRUST,1010003197,"463,250.32",CHARGE FOR THERAPY SERVICES BASELINE CONTRACT SEPTEMBER 2014,
Department of Health,03F,30/09/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010003199,"2,438,191.20",MENTAL HEALTH BASELINE CONTRACT SEP 14,
Department of Health,03F,30/09/2014,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010003200,"30,470.83",MENTAL HEALTH BASELINE CONTRACT SEP 14,
Department of Health,03F,30/09/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210011273,"14,094,283.00",BLOCK CONTRACT SEPTEMBER 2014,
Department of Health,03F,30/09/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810005825,"789,996.72",A&E BLOCK CONTRACT INVOICE SEPTEMBER 2014,
