Grade,Declared - Disabled Headcount,Declared - Disabled Percentage,Declared - Non Disabled Headcount,Declared - Non Disabled Percentage,Status Undeclared Headcount,Status Undeclared Percentage,Grand Total
A1/AA,13,10.32%,102,80.95%,11,8.73%,126
A2/AO,117,6.73%,1473,84.70%,149,8.57%,1739
Paralegal Assistant,9,3.75%,214,89.17%,17,7.08%,240
B1/EO/LT,46,5.50%,742,88.76%,48,5.74%,836
Paralegal Officer,38,4.85%,664,84.80%,81,10.34%,783
B2/HEO/LO,15,5.54%,248,91.51%,8,2.95%,271
Paralegal Business Manager,6,8.45%,65,91.55%,,0.00%,71
B3/SEO,10,7.25%,124,89.86%,4,2.90%,138
Associate Prosecutor,21,4.84%,374,86.18%,39,8.99%,434
Crown Prosecutor,,0.00%,18,81.82%,4,18.18%,22
Senior Crown Prosecutor,92,5.55%,1323,79.84%,242,14.60%,1657
Crown Advocate,37,5.61%,547,82.88%,76,11.52%,660
SP,3,2.34%,104,81.25%,21,16.41%,128
Senior Crown Advocate,,0.00%,34,87.18%,5,12.82%,39
Principle Crown Advocate,1,7.14%,12,85.71%,1,7.14%,14
D/G7,26,7.56%,290,84.30%,28,8.14%,344
E/G6,8,5.10%,139,88.54%,10,6.37%,157
CCP/SLM,2,3.70%,51,94.44%,1,1.85%,54
SCS,,0.00%,9,69.23%,4,30.77%,13
ALL CPS,444,5.75%,6533,84.56%,749,9.69%,7726
,,,,,,,
