OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate,Amount
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Printing Services,14043625,100472646,Ricoh UK Limited,R4304-SUP022,Photocopier Operating Lease,31/03/2016,897.77
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Printing Services,14043703,56901645,Ricoh UK Limited,R4300-SUP022,Printing - Services,31/03/2016,1455.30
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14043420,RSIN0167566,Rigby Taylor Limited,R2706-OPS001,Cleaning - reactive,31/03/2016,782.05
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Town Hall Chairs,14042985,550042,Robert Hall Business Equipment Limited,C4001-CAP124,Furniture,11/03/2016,67859.15
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14043759,184706,Rotadex Systems Limited,R4308-DEV001,Stationery,31/03/2016,1990.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Individual Electoral Registration,14042871,9051434121,Royal Mail,R4521-ELE010,Postages - franking machine,04/03/2016,911.23
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Green Waste,14042984,9051526561,Royal Mail,R4521-RYC002,Postages - franking machine,04/03/2016,659.07
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Individual Electoral Registration,14042984,9051526561,Royal Mail,R4521-ELE010,Postages - franking machine,04/03/2016,563.40
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Council Tax Collection,14042984,9051526561,Royal Mail,R4521-LTC001,Postages - franking machine,04/03/2016,869.17
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Council Tax Collection,14042983,9051566462,Royal Mail,R4521-LTC001,Postages - franking machine,04/03/2016,527.62
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Individual Electoral Registration,14043336,9051609990,Royal Mail,R4521-ELE010,Postages - franking machine,18/03/2016,775.90
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Council Tax Collection,14043389,9051708109,Royal Mail,R4521-LTC001,Postages - franking machine,18/03/2016,679.13
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Housing Benefit Administration,14043435,9051753111,Royal Mail,R4521-HBA001,Postages - franking machine,18/03/2016,2079.29
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Green Waste,14043435,9051753111,Royal Mail,R4521-RYC002,Postages - franking machine,18/03/2016,504.02
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14029632,33131,R-Tech Welding Equipment Limited,R4010-OPS001,Materials - Other Materials,07/03/2016,825.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sandford Lido car park,14043438,Sandford Lido Feb 16,Sandford Parks Lido (Trading) Limited,R5003-CPK103,TPP - Agency Fees,18/03/2016,23076.42
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sandford Lido car park,14043438,Sandford Lido Feb 16,Sandford Parks Lido (Trading) Limited,R5003-CPK103,TPP - Agency Fees,18/03/2016,-1683.33
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Rents, Rates, Taxes and Other Charges",14043483,6400925473 100216,Severn Trent Water,R2400-HRA120,Water Services - Unmetered,24/03/2016,833.32
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Rents, Rates, Taxes and Other Charges",14043499,6401427367,Severn Trent Water,R2400-HRA120,Water Services - Unmetered,24/03/2016,1470.68
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Rents, Rates, Taxes and Other Charges",14043482,6401427376 100216,Severn Trent Water,R2400-HRA120,Water Services - Unmetered,24/03/2016,1159.58
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Rents, Rates, Taxes and Other Charges",14043500,6401727385 040316,Severn Trent Water,R2400-HRA120,Water Services - Unmetered,24/03/2016,657.21
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Rents, Rates, Taxes and Other Charges",14043484,6503531176 110216,Severn Trent Water,R2400-HRA120,Water Services - Unmetered,24/03/2016,607.74
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14043386,986072824,Severn Trent Water,R2402-REC111,Sewerage and Environmental Services,18/03/2016,1691.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14043433,77639,Signcraft Limited,R2072-CPK001,Signs and Notices,18/03/2016,615.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14043491,72832 170216,Simon Bird QC,R4400-PLP101,Services - Professional Fees,24/03/2016,20450.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14043778,473044,Smith & Sons (Bletchington) Limited,R2706-OPS001,Cleaning - reactive,31/03/2016,665.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Soil Stacks,14043071,11792,Snape Contracting Limited (Snapecall),C1107-CAH024,Building Works,04/03/2016,19809.23
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bulking Facility,14042851,115965,South Wales Wood Recycling Ltd,R5005-RYC008,TPP - Minor Contract Fees,18/03/2016,1095.60
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bulking Facility,14042850,116027,South Wales Wood Recycling Ltd,R5005-RYC008,TPP - Minor Contract Fees,18/03/2016,2035.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bulking Facility,14043417,116218,South Wales Wood Recycling Ltd,R5005-RYC008,TPP - Minor Contract Fees,18/03/2016,994.40
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bulking Facility,14043416,116283,South Wales Wood Recycling Ltd,R5008-RYC008,Sub Contract Materials,18/03/2016,1914.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bulking Facility,14043650,116358,South Wales Wood Recycling Ltd,R5005-RYC008,TPP - Minor Contract Fees,31/03/2016,1903.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bulking Facility,14043649,116418,South Wales Wood Recycling Ltd,R5005-RYC008,TPP - Minor Contract Fees,31/03/2016,1040.60
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Public Art,14043164,GIVING GRANT 1,ST Pauls Road Area Residents Association (SPRA),R4400-PUB101,Services - Professional Fees,04/03/2016,2000.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Collection Schemes,14042427,22877,Straight Plc,R4000-RYC006,Equipment Purchase,04/03/2016,10365.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14042607,23048,Straight Plc,R4000-WST001,Equipment Purchase,18/03/2016,15477.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Collection Schemes,14042799,23134,Straight Plc,R4000-RYC006,Equipment Purchase,18/03/2016,6428.80
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Collection Schemes,14043046,23366,Straight Plc,R4000-RYC006,Equipment Purchase,18/03/2016,2018.52
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Collection Schemes,14043411,23534,Straight Plc,R4000-RYC006,Equipment Purchase,18/03/2016,8737.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14043745,24957,Streetmaster (South Wales) Limited,R2500-OPS001,Fixtures and Fittings - Purchases,31/03/2016,796.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Council Tax Leaflet,14043634,COUNCIL TAX LEAFLET CREDIT DISTRIBUTION,Stroud District Council,R9100-LTC003,Contributions - County Council,24/03/2016,5097.61
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Land & Property presale costs,14043729,7070711,Sweett (UK) Limited,C1005-CAP401,Surveyors Fees,31/03/2016,9300.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14043292,005004 inv,System Six Design & Build,R2008-FIE040,R & M of Build - Reactive Repairs,18/03/2016,750.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Municipal Offices,14043318,5007,System Six Design & Build,R2500-ADB101,Fixtures and Fittings - Purchases,18/03/2016,897.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14043321,5036,System Six Design & Build,R2500-FIE040,Fixtures and Fittings - Purchases,18/03/2016,550.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14043367,14001,Teleshore UK Limited,R4401-CCM001,Services - Fees and Charges,18/03/2016,2381.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14043377,DEBT104608,Tewkesbury Borough Council,R4400-PLP101,Services - Professional Fees,18/03/2016,10500.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14043376,DEBT104609,Tewkesbury Borough Council,R4400-PLP101,Services - Professional Fees,18/03/2016,3500.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cultural - Service Management and Support Services,14042652,7001682X,The Cheltenham Trust,R5001-CSM001,TPP - Major External Contractors,04/03/2016,80636.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cultural - Service Management and Support Services,14043412,70018190,The Cheltenham Trust,R5001-CSM001,TPP - Major External Contractors,18/03/2016,80636.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Economic Development,14043638,PROMOTING CHELTENHAM FUND,The Cheltenham Trust,R6280-ECD001,Grants,31/03/2016,5114.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,General Fund Balance Sheet,14043248,CHILDCARE VOUCHERS DEDUCTIONS FROM PAYROLL,The Midcounties Co-operative,B6170-BAL100,Short Term Revenue Creditors (incl RIA) - Other entities and individuals,18/03/2016,3410.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14043474,3036,The Rock,R6280-GBD001,Grants,24/03/2016,539.58
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Adaptations for the Disabled (CBC),14043640,REDACTED,The Surveying Practice - Client Account,C1107-CAH028,Building Works,24/03/2016,21835.90
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Adaptations for the Disabled (CBC),14043166,REDACTED,The Surveying Practice - Client Account,C1107-CAH028,Building Works,04/03/2016,1237.52
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Adaptations for the Disabled (CBC),14043162,REDACTED,The Surveying Practice - Client Account,C1107-CAH028,Building Works,04/03/2016,6460.58
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Adaptations for the Disabled (CBC),14043342,REDACTED,The Surveying Practice - Client Account,C1107-CAH028,Building Works,18/03/2016,7791.03
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Adaptations for the Disabled (CBC),14043453,REDACTED,The Surveying Practice - Client Account,C1107-CAH028,Building Works,18/03/2016,23539.15
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Disabled Facility Grants,14043341,REDACTED,The Surveying Practice - Client Account,C5000-CAP221,Grants,18/03/2016,6335.42
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Disabled Facility Grants,14043471,REDACTED,The Surveying Practice - Client Account,C5000-CAP221,Grants,24/03/2016,8879.06
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Adaptations for the Disabled (CBC),14043470,REDACTED,The Surveying Practice - Client Account,C1107-CAH028,Building Works,24/03/2016,7903.78
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Adaptations for the Disabled (CBC),14043451,REDACTED,The Surveying Practice - Client Account,C1107-CAH028,Building Works,18/03/2016,8405.51
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Disabled Facility Grants,14043472,REDACTED,The Surveying Practice - Client Account,C5000-CAP221,Grants,24/03/2016,9538.65
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Disabled Facility Grants,14043165,REDACTED,The Surveying Practice - Client Account,C5000-CAP221,Grants,04/03/2016,8492.33
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Civic Expenses,14043008,I205821,Thomas Fattorini Limited,R4401-DRM009,Services - Fees and Charges,18/03/2016,4934.60
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14041398,INV62102,Triangle Lift Services Limited,R2041-HRA100,R & M of Build Lifts,04/03/2016,3518.75
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Alarms,14043070,3IN/10275453,Tunstall Healthcare (UK) Limited,R4000-SPP002,Equipment Purchase,04/03/2016,1175.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14043208,60007970,Ubico Limited,R5001-WST001,TPP - Major External Contractors,11/03/2016,100665.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Trade Waste,14043208,60007970,Ubico Limited,R5001-TRW001,TPP - Major External Contractors,11/03/2016,43815.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Centres,14043208,60007970,Ubico Limited,R5001-RYC004,TPP - Major External Contractors,11/03/2016,43681.67
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14043208,60007970,Ubico Limited,R5001-OPS001,TPP - Major External Contractors,11/03/2016,43088.33
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Highways Agency Verges & Trees,14043208,60007970,Ubico Limited,R5001-ESR001,TPP - Major External Contractors,11/03/2016,23720.83
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14043208,60007970,Ubico Limited,R5001-OPS002,TPP - Major External Contractors,11/03/2016,49405.83
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Arle Road Nursery Operations,14043208,60007970,Ubico Limited,R5001-OPS101,TPP - Major External Contractors,11/03/2016,14624.17
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Street Cleaning,14043208,60007970,Ubico Limited,R5001-STC001,TPP - Major External Contractors,11/03/2016,76410.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Public Conveniences,14043208,60007970,Ubico Limited,R5001-REG019,TPP - Major External Contractors,11/03/2016,6239.17
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14043208,60007970,Ubico Limited,R2071-HRA110,Open Spaces and Grassed Areas,11/03/2016,27755.67
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bring Sites,14043208,60007970,Ubico Limited,R5001-RYC005,TPP - Major External Contractors,11/03/2016,11303.33
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Collection Schemes,14043208,60007970,Ubico Limited,R5001-RYC006,TPP - Major External Contractors,11/03/2016,115078.33
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Green Waste,14043208,60007970,Ubico Limited,R5001-RYC002,TPP - Major External Contractors,11/03/2016,25513.33
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bulking Facility,14043365,60008038,Ubico Limited,R5001-RYC008,TPP - Major External Contractors,18/03/2016,117495.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,GO ICT Centre of Excellence,14043187,2000000146,Unit4 Business Software,R4539-SUP101,IT - Consultancy,11/03/2016,1100.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,GO ICT Centre of Excellence,14043406,2000000238,Unit4 Business Software,R4539-SUP101,IT - Consultancy,18/03/2016,17125.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14042460,CHL00237 080116,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,18/03/2016,2472.99
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14043490,CHL00242,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,31/03/2016,2469.42
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bulky Household Waste,14043221,16-Mar,Vision 21,R4401-WST004,Services - Fees and Charges,24/03/2016,3343.75
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Ubico Intercompany Account,14043726,IZ52890,Vodafone Limited,R4500-HLD102,Comms - Purchase of Equipment,31/03/2016,690.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,2020 Vision,14043475,33118696,West Oxfordshire District Council,R4400-COR102,Services - Professional Fees,31/03/2016,13181.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,2020 Vision,14043475,33118696,West Oxfordshire District Council,R4400-COR102,Services - Professional Fees,31/03/2016,10434.62
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,2020 Vision,14043475,33118696,West Oxfordshire District Council,R4400-COR102,Services - Professional Fees,31/03/2016,9897.93
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,2020 Vision,14043475,33118696,West Oxfordshire District Council,R4400-COR102,Services - Professional Fees,31/03/2016,5433.76
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,2020 Vision,14043475,33118696,West Oxfordshire District Council,R4400-COR102,Services - Professional Fees,31/03/2016,7665.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,2020 Vision,14043475,33118696,West Oxfordshire District Council,R4400-COR102,Services - Professional Fees,31/03/2016,14000.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14043414,167,Woodcraft UK,R4011-CCM001,Goods For Resale,18/03/2016,668.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14043415,168,Woodcraft UK,R4011-CCM001,Goods For Resale,18/03/2016,612.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14043450,Albemark 110316,Albemarle Orchard Garden,R6280-GBD001,Grants,31/03/2016,1095.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14043452,Big Local Trust 110316,Big Local Trust (BIG),R6280-GBD001,Grants,24/03/2016,20342.57
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14043437,DH/RD/649170,BPE Solicitors LLP,R4400-FIE040,Services - Professional Fees,24/03/2016,900.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Building Control - Fee Earning Work,14043473,ACCOM & TRAVEL EXPENSES 01.12.15 - 15.02.16,REDACTED,R1399-BUC001,Other employee expenses,24/03/2016,1265.44
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Rent Control,14043333,Rent Refund (REDACTED),REDACTED,R9910-HRA900,Refund of Overpiad Rent,11/03/2016,1311.15
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Rent Control,14043171,008939 00 4,REDACTED,R9910-HRA900,Refund of Overpiad Rent,04/03/2016,3024.38
