Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,System Transaction Number,Amount
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Boards,London Probation Trust,LONDON PROBATION TRUST,4025644,"12,000,000.00"
Ministry of Justice,NOMS,5/13/2011,Contracted-out Probation Boards,London Probation Trust,LONDON PROBATION TRUST,4008661,"10,000,000.00"
Ministry of Justice,NOMS,5/16/2011,WIP - Acquisitions,Estates Capacity,KIER REGIONAL LTD,4000627,"6,562,299.91"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Probation Trusts,Staffordshire & West Midlands Probation Trust,STAFFORDSHIRE AND WEST MIDLANDS PROBATION TRUST,3998277,"4,266,666.67"
Ministry of Justice,NOMS,5/25/2011,Contract IT Maintenance,MoJ ICT,STERIA LTD,3983676,"4,082,616.71"
Ministry of Justice,NOMS,9/5/2011,Contracted-out Probation Trusts,Greater Manchester Probation Trust,GREATER MANCHESTER PROBATION TRUST,3998091,"3,994,333.34"
Ministry of Justice,NOMS,12/5/2011,Contracted-out operation of prisons and detention centres,Altcourse,FAZAKERLEY PRISON SERVICES LTD,4000393,"3,325,140.00"
Ministry of Justice,NOMS,9/5/2011,Contracted-out Electronic Monitoring,National Operations Group,G4S CARE & JUSTICE SERVICES LTD,3995336,"3,277,720.37"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Merseyside Probation Trust,MERSEYSIDE PROBATION TRUST,3998273,"3,170,000.00"
Ministry of Justice,NOMS,11/5/2011,Contracted-out Probation Trusts,West Yorkshire Probation Trust,WEST YORKSHIRE PROBATION TRUST,3972705,"3,125,000.00"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Greater Manchester Probation Trust,GREATER MANCHESTER PROBATION TRUST,4025925,"3,029,516.00"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,West Yorkshire Probation Trust,WEST YORKSHIRE PROBATION TRUST,4023306,"3,000,000.00"
Ministry of Justice,NOMS,3/5/2011,Accruals - Goods & services,MOJ Shared Services NOMS Delivery,J P MORGAN EUROPE LTD,3992695,"2,854,794.98"
Ministry of Justice,NOMS,10/5/2011,Contracted-out operation of prisons and detention centres,Forest Bank,AGECROFT PRISON MANAGEMENT LTD,4000035,"2,802,873.97"
Ministry of Justice,NOMS,12/5/2011,Contracted-out operation of prisons and detention centres,Parc,BRIDGEND CUSTODIAL SERVICES LTD,3999959,"2,738,160.00"
Ministry of Justice,NOMS,5/25/2011,Contract IT Maintenance,MoJ ICT,STERIA LTD,3983675,"2,599,928.30"
Ministry of Justice,NOMS,5/25/2011,Contracted-out Computer Services,Quantum,HP ENTERPRISE SERVICES UK LTD,3994740,"2,574,656.59"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Northumbria Probation Trust,NORTHUMBRIA PROBATION TRUST,4000544,"2,319,750.00"
Ministry of Justice,NOMS,10/5/2011,Contracted-out operation of prisons and detention centres,Dovegate,MORETON PRISON SERVICES LTD,3995103,"2,314,017.17"
Ministry of Justice,NOMS,10/5/2011,Contracted-out operation of prisons and detention centres,Bronzefield,ASHFORD PRISON SERVICES LIMITED,3998229,"2,294,230.34"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Thames Valley Probation Trust,THAMES VALLEY PROBATION TRUST,4025623,"2,182,083.33"
Ministry of Justice,NOMS,12/5/2011,Contracted-out operation of prisons and detention centres,Ashfield,PUCKLECHURCH CUSTODIAL SERVICES LTD,3995102,"2,112,240.00"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Probation Trusts,Kent Probation Trust,KENT PROBATION TRUST,4003322,"2,000,000.00"
Ministry of Justice,NOMS,5/16/2011,Contracted-out Probation Trusts,Merseyside Probation Trust,MERSEYSIDE PROBATION TRUST,3978538,"2,000,000.00"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Lancashire Probation Trust,LANCASHIRE PROBATION TRUST,4020449,"2,000,000.00"
Ministry of Justice,NOMS,3/5/2011,"Prisoner Compensation over £5,000",Chief Operating Officers Office,TREASURY SOLICITORS,3988993,"1,998,000.00"
Ministry of Justice,NOMS,12/5/2011,Contracted-out operation of prisons and detention centres,Lowdham Grange,LOWDHAM GRANGE PRISON SERVICES LTD,3995106,"1,944,314.63"
Ministry of Justice,NOMS,5/26/2011,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),RELIANCE SECURE TASK MANAGEMENT,4001897,"1,926,199.00"
Ministry of Justice,NOMS,12/5/2011,Contracted-out operation of prisons and detention centres,Doncaster,SERCO LTD,4002899,"1,740,858.78"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),SERCO LTD,3998039,"1,699,089.59"
Ministry of Justice,NOMS,5/26/2011,Payroll Services,HOPS Payroll Charge,DWP - JOB CENTRE PLUS,4020956,"1,596,355.49"
Ministry of Justice,NOMS,5/16/2011,WIP - Acquisitions,Estates Capacity,WATES CONSTRUCTION LTD,4003570,"1,589,358.85"
Ministry of Justice,NOMS,4/5/2011,Contracted-out Probation Trusts,Essex Probation Trust,ESSEX PROBATION TRUST,3966371,"1,550,507.17"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Probation Trusts,Essex Probation Trust,ESSEX PROBATION TRUST,4008276,"1,550,507.17"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),G4S CARE & JUSTICE SERVICES LTD,3994471,"1,538,557.16"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Probation Trusts,Wales Probation Trust,WALES PROBATION TRUST,3966206,"1,524,666.67"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Probation Trusts,Devon and Cornwall Probation Trust,DEVON AND CORNWALL PROBATION TRUST,3977084,"1,516,110.67"
Ministry of Justice,NOMS,4/5/2011,Contracted-out Probation Trusts,Surrey & Sussex Probation Trust,SURREY & SUSSEX PROBATION TRUST,3984782,"1,500,000.00"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Probation Trusts,Northumbria Probation Trust,NORTHUMBRIA PROBATION TRUST,3966119,"1,500,000.00"
Ministry of Justice,NOMS,11/5/2011,Contracted-out Probation Trusts,Nottinghamshire Probation Trust,NOTTINGHAMSHIRE PROBATION TRUST,3980361,"1,500,000.00"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),SERCO LTD,3998000,"1,428,363.77"
Ministry of Justice,NOMS,12/5/2011,Contracted-out operation of prisons and detention centres,Rye Hill,ONLEY PRISON SERVICES LTD,4003343,"1,389,922.66"
Ministry of Justice,NOMS,3/5/2011,Contracted-out Prison Shop,Chief Operating Officers Office,EXEL EUROPE1 LTD,3986821,"1,369,280.00"
Ministry of Justice,NOMS,10/5/2011,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,3997246,"1,355,344.67"
Ministry of Justice,NOMS,5/13/2011,Contracted-out Probation Trusts,Thames Valley Probation Trust,THAMES VALLEY PROBATION TRUST,3981224,"1,350,819.44"
