CPS outcomes by principal offence category gloucestershire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,72,87.8%,10,12.2%
C Sexual Offences,5,71.4%,2,28.6%
D Burglary,11,91.7%,1,8.3%
E Robbery,2,66.7%,1,33.3%
F Theft And Handling,64,95.5%,3,4.5%
G Fraud And Forgery,5,83.3%,1,16.7%
H Criminal Damage,12,100.0%,0,0.0%
I Drugs Offences,33,100.0%,0,0.0%
J Public Order Offences,28,100.0%,0,0.0%
K All Other Offences (excluding Motoring),9,100.0%,0,0.0%
L Motoring Offences,158,90.3%,17,9.7%
Admin Finalisations,0,0.0%,5,100.0%
TOTAL,399,90.9%,40,9.1%
