CPS outcomes by principal offence category gloucestershire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,69,86.3%,11,13.8%
C Sexual Offences,7,77.8%,2,22.2%
D Burglary,14,87.5%,2,12.5%
E Robbery,3,75.0%,1,25.0%
F Theft And Handling,46,85.2%,8,14.8%
G Fraud And Forgery,3,100.0%,0,0.0%
H Criminal Damage,19,79.2%,5,20.8%
I Drugs Offences,17,94.4%,1,5.6%
J Public Order Offences,25,83.3%,5,16.7%
K All Other Offences (excluding Motoring),13,92.9%,1,7.1%
L Motoring Offences,110,88.7%,14,11.3%
Admin Finalisations,0,0.0%,4,100.0%
TOTAL,326,85.8%,54,14.2%
