CPS outcomes by principal offence category Devon and Cornwall October 2010,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,100.00%,0,0.00%
B Offences Against The Person,235,85.50%,40,14.50%
C Sexual Offences,14,82.40%,3,17.60%
D Burglary,36,87.80%,5,12.20%
E Robbery,8,100.00%,0,0.00%
F Theft And Handling,275,94.20%,17,5.80%
G Fraud And Forgery,18,100.00%,0,0.00%
H Criminal Damage,82,88.20%,11,11.80%
I Drugs Offences,134,95.70%,6,4.30%
J Public Order Offences,186,83.40%,37,16.60%
K All Other Offences (excluding Motoring),97,85.10%,17,14.90%
L Motoring Offences,460,92.20%,39,7.80%
Admin Finalisations,0,0.00%,8,100.00%
TOTAL,"1,546",89.40%,183,10.60%
