CPS outcomes by principal offence category DyfedPowys,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,61,77.20%,18,22.80%
C Sexual Offences,6,75.00%,2,25.00%
D Burglary,13,86.70%,2,13.30%
E Robbery,1,33.30%,2,66.70%
F Theft And Handling,78,89.70%,9,10.30%
G Fraud And Forgery,6,100.00%,0,0.00%
H Criminal Damage,32,80.00%,8,20.00%
I Drugs Offences,75,97.40%,2,2.60%
J Public Order Offences,56,78.90%,15,21.10%
K All Other Offences (excluding Motoring),11,91.70%,1,8.30%
L Motoring Offences,379,83.50%,75,16.50%
Admin Finalisations,0,0.00%,8,100.00%
TOTAL,718,83.50%,142,16.50%
