A3131. Expenditure Over Threshold Report (AP),,,,,,,,,
,,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,VAT Registration Number,Purchase Invoice Number
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Equip Maint Contracts,Wheelchair Serv Adults WS,AJ MOBILITY LTD,18252066,"35,359.91",423146777,B515791
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Services Received - NHSTs,Caravelle Ward WS,SURREY&SUSSEX HEALTHCARE NHS TRUST,19033666,179.36,654968483,11951575
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Services Received - NHSTs,Crawley UTC WS,SURREY&SUSSEX HEALTHCARE NHS TRUST,19033666,"18,277.00",654968483,11951575
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Services Received - NHSTs,Horizon Unit WS,SURREY&SUSSEX HEALTHCARE NHS TRUST,19033666,512.20,654968483,11951575
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Services Received - NHSTs,Horsham Hosp MIU WS,SURREY&SUSSEX HEALTHCARE NHS TRUST,19033666,"7,395.19",654968483,11951575
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Services Received - NHSTs,Viking Ward WS,SURREY&SUSSEX HEALTHCARE NHS TRUST,19033666,489.16,654968483,11951575
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Limbs,Prosthetics SRCB,OTTO BOCK HEALTHCARE PLC,19069083,"59,065.84",228421281,233000398
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Limbs,Prosthetics SRCB,OTTO BOCK HEALTHCARE PLC,19069086,"59,065.84",228421281,233000397
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Limbs,Prosthetics SRCB,OTTO BOCK HEALTHCARE PLC,19069097,"59,065.84",228421281,233000403
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Patients Appl: Repairs,Mgt & Adm SRCB,OTTO BOCK HEALTHCARE PLC,19069781,"25,417.36",228421281,233000400
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Home Loans,Community Equipment WS,WEST SUSSEX COUNTY COUNCIL,19092603,"613,833.34",193604455,8001156064
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,19092680,"45,208.70",654434729,1017040278
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,19092772,"35,803.05",654434729,1017042990
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Contr Photocopier Rental,Managed Print Service,RIGHT DOCUMENT SOLUTIONS LTD,19092803,"158,253.74",618184140,157620
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Income tax - Current,Balance Sheet,INLAND REVENUE CIS,19140924,"1,134,083.97",,334PM00021540217
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,National Insurance - Curr,Balance Sheet,INLAND REVENUE CIS,19140924,"1,660,174.57",,334PM00021540217
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Stat Adoption Pay - Curr,Balance Sheet,INLAND REVENUE CIS,19140924,-513.64,,334PM00021540217
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Statutory Mat Pay - Curr,Balance Sheet,INLAND REVENUE CIS,19140924,"-51,148.63",,334PM00021540217
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Statutory Pat Pay - Curr,Balance Sheet,INLAND REVENUE CIS,19140924,-770.46,,334PM00021540217
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Continence Products,Bladder and Bowel Home Delivery,PAUL HARTMANN LTD,19150024,"28,324.53",362341768,71392310
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,External Consultancy Fees,Adults East Set Up Costs,BRIGHTON & HOVE INTERGRATED CARE SERVICE,19150041,"32,020.08",,BICS360
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,External Consultancy Fees,Adults East Set Up Costs,BRIGHTON & HOVE INTERGRATED CARE SERVICE,19150043,"32,020.08",,BICS361
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Arun West PaC Team,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,101.85,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Arundel D Hosp WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,"1,610.70",,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Bognor PaC Team,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,494.55,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Bognor WM MIU WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,507.15,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Chanctonbury PaC Team,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,102.90,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Chronic Pain WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,311.85,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Dental SCD Brighton,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,71.40,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Don Baines Ward WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,"2,378.25",,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Horizon Unit WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,"4,942.35",,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Horsham Comm Nurse Team,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,10.50,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Horsham Hosp MIU WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,-218.40,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,IC Crawley & Horsham WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,-164.85,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,IC South WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,54.60,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,IV Nurses Coastal,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,219.45,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,L'hampton East PaC Team,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,59.85,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,L'hampton West PaC Team,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,431.55,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Lancing PaC Team,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,72.45,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Lane Bray Ward WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,"25,833.15",,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Leslie Smith Ward WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,"2,356.20",,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,MSK - PCIS (Crawley) WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,119.70,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,MSK - PCIS (W) WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,921.90,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Macmillan WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,1.05,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Midhurst C Hosp WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,486.15,,WSH1500019288
Department of Health,Sussex Community NHS Foundation Trust,6/30/2016,Drugs,Occupational Health WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19150060,934.50,,WSH1500019288
