_id,OA Code,Multiple Deprivation Measure Rank,Income Domain Score,Income Domain Rank,Employment Domain Score (18-59/64 years),Employment Domain Rank (18-59/64 years),Crime and Disorder Domain Rank,Proximity to Services Domain Rank,Travel time to a GP premises (minutes),Travel time to an Accident and Emergency hospital (minutes),Travel time to a dentist (minutes),Travel time to a pharmacist (minutes),Travel time to an optician (minutes),Travel time to Job Centre or Jobs & Benefits Off (mins),Travel time to a Post Office (minutes),Travel time to a supermarket / food store (minutes),Travel time to a large service centre (minutes),Travel time to a Council Leisure Centre or sports fac (mins),Travel time to financial services (minutes),Travel time to other general services (minutes),Population Estimate (NIMDM 2010)
154,95BB020008,614,0.49,697,0.27,327,3033,3346,1.27,4.67,1.82,1.61,1.61,1.82,1.61,0.88,1.61,2.33,1.27,1.17,140
155,95BB020009,4175,0.05,4674,0.04,4836,2055,1413,3.14,4.43,3.72,2.91,3.14,4.78,3.14,2.91,3.14,2.57,2.91,2.44,285
156,95BB020010,1619,0.31,1659,0.17,1505,2085,4579,0.6,4.86,1.03,0.91,1.03,1.03,1.16,0.24,1.16,1.48,0.48,0.55,200
157,95BB030001,1926,0.3,1733,0.16,1703,3411,903,5.38,17.88,5.38,1.88,5.38,11.27,1.88,1.88,13.23,12.92,1.88,3.42,250
158,95BB030002,3497,0.13,3559,0.09,3518,2531,958,5.52,18,5.52,1.44,5.52,11.32,1.44,1.44,13.3,12.97,1.44,3.36,290
159,95BB030003,3246,0.16,3070,0.1,3189,3552,906,4.83,18.74,5.31,1.69,5.31,12,1.69,1.69,14.06,13.71,1.69,3.57,315
160,95BB030004,4307,0.06,4436,0.04,4715,4689,852,5.7,17.62,5.7,2.17,5.7,10.95,2.17,2.17,12.89,12.58,2.17,3.59,320
161,95BB030005,3771,0.09,4034,0.08,3829,4158,446,4.83,23.39,4.83,4.18,4.83,16.59,4.18,4.18,18.53,16.99,4.18,4.39,395
162,95BB030006,3360,0.09,4099,0.11,2889,4074,355,4.23,26.56,5.46,4.23,5.46,19.91,4.23,4.23,21.78,18.03,4.23,4,470
163,95BB030007,1766,0.27,1956,0.15,1840,2343,777,1.01,23.95,9.09,1.01,9.09,17.46,1.01,1.01,19.19,18.72,1.01,2.22,530
164,95BB030008,2938,0.13,3461,0.11,2848,3633,787,0.92,23.72,9.64,0.92,9.64,17.15,0.92,0.92,18.87,18.38,0.92,2.06,375
165,95BB030009,2492,0.16,3113,0.14,2115,4429,745,1.13,23.65,9.92,1.13,9.92,17.04,1.13,1.13,18.76,18.27,1.13,2.19,405
